input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,content_type,final_url
aws.zaproxy.org,,200,296,,,,,,,,,,,,,,,,,,,,80,http://aws.zaproxy.org:80,http,EC2ws,GET,169.254.169.254,/,1461574410,169.254.169.254,,28,False,,,,text/plain,
news.zaproxy.org,,200,260,raw.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,raw.githubusercontent.com,cloudflare,443,https://news.zaproxy.org:443,https,,GET,104.21.1.121,/,631524574,2606:4700:3037::ac43:8135,Varnish,11,False,True,True,"GitHub, Inc.",text/plain,https://raw.githubusercontent.com/zaproxy/zap-admin/master/files/news/dev.xml
tel.zaproxy.org,,200,,tel.zaproxy.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T10:58:57Z,2023-10-02T10:58:56Z,CN=zaproxy.org,zaproxy.org,*.zaproxy.org,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a65a08cde75c3b5cdbc50f275a1b1760,cf569d8dcb97ff91db62f3fefcfda4eba9fb132ac037516d9d428d056b5b9f5c,True,ctls,tel.zaproxy.org,cloudflare,443,https://tel.zaproxy.org:443,https,cloudflare,GET,104.21.1.121,/,631524574,2606:4700:3035::6815:179,HTTP/3,1,False,True,,,,
