input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_,tls_mismatched
*.facebook.com,Facebook - log in or sign up,200,59153,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2023-06-07T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d9042802b89bce6c0ddede3ad948e9d1,c671960d6f022d5b4ffd12de4ef79f2250f34701ec5e17b9925d8be1de475388,ctls,m.facebook.com,443,https://facebook.com:443,https,text/html,GET,157.240.203.35,/,142313513,2a03:2880:f176:84:face:b00c:0:25de,HTTP/3,20,False,,,,www.facebook.com,True,https://m.facebook.com/?wtsid=rdr_0X4VGpuf0wRvpRiJV,"Meta Platforms, Inc.",
*.linkedin.com,,429,24558,www.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,www.linkedin-measure.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7eb3cbac015363672717f482f365b968,06a0e72c9d2e7adc582c43dce02611f8552d976ef1f1674a0e46ad1af1c32865,ctls,www.linkedin.com,443,https://linkedin.com:443,https,text/html,GET,13.107.42.14,/,-696586294,2620:1ec:21::14,,5,False,,,,,,https://www.linkedin.com/,LinkedIn Corporation,
ar.empuls.io,منصة مشاركة الموظفين الكل في واحد | ينبض,200,387791,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://ar.empuls.io:443,https,text/html,GET,151.139.128.11,/,653968035,151.139.128.10,Weglot,1394,False,,,,,,https://www.empuls.io/ar/,,
de.empuls.io,Die All-in-One-Plattform für Mitarbeiterengagement | Empuls,200,393432,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://de.empuls.io:443,https,text/html,GET,151.139.128.11,/,995516304,151.139.128.10,Weglot,1394,False,,,,,,https://www.empuls.io/de/,,
empuls.io,The All-In-One Employee Engagement Platform | Empuls,200,390659,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://empuls.io:443,https,text/html,GET,99.83.190.102,/,1470219591,75.2.70.75,Weglot,1476,False,,,,,,https://www.empuls.io/,,
es.empuls.io,La plataforma de compromiso de los empleados todo en uno | Empuls,200,393051,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://es.empuls.io:443,https,text/html,GET,151.139.128.10,/,-463840143,151.139.128.11,Weglot,1394,False,,,,,,https://www.empuls.io/es/,,
fl.empuls.io,The All-In-One Employee Engagement Platform | Empuls,200,390659,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://fl.empuls.io:443,https,text/html,GET,151.139.128.11,/,1470219591,151.139.128.10,Weglot,1476,False,,,,,,https://www.empuls.io/,,
fr.empuls.io,La plateforme tout-en-un d'engagement des employés | Empuls,200,393813,www.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T12:37:25Z,2023-07-11T12:37:24Z,CN=fr.empuls.io,fr.empuls.io,www.empuls.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ffc1cb7117a2ce2e42fe676f1ee44e9,058178ee0bbae7bbb19ecc362dfd5435e81176e8f56fe15bacf49cac82cda8c8,ctls,www.empuls.io,443,https://fr.empuls.io:443,https,text/html,GET,151.139.128.11,/,1256331241,151.139.128.10,Weglot,1394,False,,,,,,https://www.empuls.io/fr/,,
fwdkim1.empuls.io,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://fwdkim1.empuls.io:80,http,text/html,GET,13.225.78.40,/,194352007,13.225.78.58,Amazon Web Services,20,False,cloudfront,CloudFront,True,,,,,
help.empuls.io,Table of Contents - empuls,200,308970,help.empuls.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T06:47:15Z,2023-08-06T06:47:14Z,CN=help.empuls.io,help.empuls.io,help.empuls.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,123d1d25ace9d7f8c929dbc5772c21d6,54721aa54cf94d229807cf253475e0f7e7ab8e3c8696214fa8dedd19570bf836,ctls,help.empuls.io,443,https://help.empuls.io:443,https,text/html,GET,104.18.2.117,/,1819720765,2606:4700::6812:375,HSTS,1109,False,cloudflare,cloudflare,True,player.vimeo.com,,,,
