new,host,ttl,a,soa,status_code,cname,ns,has_internal_ips,internal_ips,mx,aaaa,txt,caa,cdn,cdn-name
[x],api-dmmo-st2.bpost.cloud,900,,"{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
[x],bpost.be,3600,193.191.180.79,"{'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}, {'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}",NOERROR,,"europe1.dnsnode.net, nsp.dnsnode.net, nsu.dnsnode.net",,,,,"v=spf1 include:spf.bpost.be include:spf.protection.outlook.com ip4:37.59.200.184 ip4:137.74.178.133 include:eu.rp.oracleemaildelivery.com include:ipreomail.com -all, amazonses:pxw3m8FvPcyyDBFLPXvORPHHa20IFMH9dz92XpnOvHQ=, amazonses:kcixaoOpp5achxkQ/XlSGNefHv0VsC4oJH9EFWfQDA8=, amazonses:O9zu9jUJ1ZwFPYSXKFgULrmH9cGWkr8BmYc+zbH14h8=, atlassian-domain-verification=tWp/pKrehseAZgXQ9TWU7lqiUcuVdY4PD5tpGAoOJW2o4voWiv8kGanUV6a/l+W8, facebook-domain-verification=vuizo8zc9e1o9b9jdaqz7vxmrmez3q, amazonses:Q6D+t9X4XKDziqXW1Fj7UwX5tTp9fdDDDbNGzy1JIBw=, bnFZdC7m+DuY2spicJLGKvdFbxPJP0knGT7VzobVuZm7/LCpkgXF940NQ3r+zDLND4teFqOCLOS19BqqtFxucg==, google-site-verification=ZUel8LSiv8IqoeF5I0CcWrtO63yI_SkTWIE__hjmHuE, Dynatrace-site-verification=b72374ef-1d86-4eb9-82b9-1e38afdf81dd__r0ncjbiha2s9j0pp57cf1mh08v, amazonses:7iAR7GRKGpMzcsauZJW/ZGsWD+a9G1flrBqCozM647U=, apple-domain-verification=PsFwMScQitY2pLzh, onetrust-domain-verification=ec2a3bd2980645fa9dbb8476f589eaaa",,,
[x],bpost.cloud,60,"18.154.230.15, 18.154.230.142, 18.154.230.117, 18.154.230.59","{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,inbound-smtp.eu-west-1.amazonaws.com,,,,,
[x],ip213-171-203-31.pbiaas.com,3600,213.171.203.31,"{'name': 'pbiaas.com', 'ns': 'ns-ionos.ui-dns.com', 'mailbox': 'dnsadmin.ionos.com', 'serial': 2017340735, 'refresh': 600, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'pbiaas.com', 'ns': 'ns-ionos.ui-dns.com', 'mailbox': 'dnsadmin.ionos.com', 'serial': 2017340735, 'refresh': 600, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'pbiaas.com', 'ns': 'ns-ionos.ui-dns.com', 'mailbox': 'dnsadmin.ionos.com', 'serial': 2017340735, 'refresh': 600, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'pbiaas.com', 'ns': 'ns-ionos.ui-dns.com', 'mailbox': 'dnsadmin.ionos.com', 'serial': 2017340735, 'refresh': 600, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'pbiaas.com', 'ns': 'ns-ionos.ui-dns.com', 'mailbox': 'dnsadmin.ionos.com', 'serial': 2017340735, 'refresh': 600, 'retry': 3600, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,,,,,,
[x],landmarkglobal-group.com,3136,62.213.218.244,"{'name': 'landmarkglobal-group.com', 'ns': 'ns53.be', 'mailbox': 'hostmaster.landmarkglobal-group.com', 'serial': 2024080806, 'refresh': 7200, 'retry': 7200, 'expire': 604800, 'minttl': 3600}, {'name': 'landmarkglobal-group.com', 'ns': 'ns53.be', 'mailbox': 'hostmaster.landmarkglobal-group.com', 'serial': 2024080806, 'refresh': 7200, 'retry': 7200, 'expire': 604800, 'minttl': 3600}, {'name': 'landmarkglobal-group.com', 'ns': 'ns53.be', 'mailbox': 'hostmaster.landmarkglobal-group.com', 'serial': 2024080806, 'refresh': 7200, 'retry': 7200, 'expire': 604800, 'minttl': 3600}, {'name': 'landmarkglobal-group.com', 'ns': 'ns53.be', 'mailbox': 'hostmaster.landmarkglobal-group.com', 'serial': 2024080806, 'refresh': 7200, 'retry': 7200, 'expire': 604800, 'minttl': 3600}",NOERROR,,"ns53.io, ns53.be",,,landmarkglobalgroup-com03e.mail.protection.outlook.com,,,,,
,1d508a03-bd91-4baa-b1d4-e761494e87c7.bpost.cloud,60,"52.211.254.27, 63.34.232.216","{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
,abo.bpost.be,900,,"{'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}, {'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}, {'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,,,,,
,abt.bpost.cloud,60,"3.164.182.101, 3.164.182.83, 3.164.182.117, 3.164.182.32","{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
,account.bpost.be,3600,193.191.180.73,"{'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}, {'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}, {'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}, {'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}, {'name': 'bpost.be', 'ns': 'nsp.dnsnode.net', 'mailbox': 'hostmaster.bpost.be', 'serial': 2024091613, 'refresh': 3600, 'retry': 1800, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,,,,,
,admin-bpost4me-ac1.bpost.cloud,900,,"{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
,admin-bpost4me-st1.bpost.cloud,60,"13.32.121.26, 13.32.121.47, 13.32.121.114, 13.32.121.71","{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-1215.awsdns-23.org, ns-1620.awsdns-10.co.uk, ns-8.awsdns-01.com, ns-952.awsdns-55.net",,,,,,,,
,admin-bpost4me.bpost.cloud,60,"13.224.103.114, 13.224.103.72, 13.224.103.25, 13.224.103.32","{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-1215.awsdns-23.org, ns-1620.awsdns-10.co.uk, ns-8.awsdns-01.com, ns-952.awsdns-55.net",,,,,,,,
,ai.bpost.be,3600,"52.85.49.123, 52.85.49.54, 52.85.49.87, 52.85.49.47","{'name': 'd2otqm8h9ybp5s.cloudfront.net', 'ns': 'ns-261.awsdns-32.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2otqm8h9ybp5s.cloudfront.net', 'ns': 'ns-261.awsdns-32.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2otqm8h9ybp5s.cloudfront.net', 'ns': 'ns-261.awsdns-32.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,d2otqm8h9ybp5s.cloudfront.net,,,,,,,,,
,aiauth.bpost.be,3600,"18.239.50.84, 18.239.50.69, 18.239.50.4, 18.239.50.36","{'name': 'd291hnnad2qdf6.cloudfront.net', 'ns': 'ns-1750.awsdns-26.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd291hnnad2qdf6.cloudfront.net', 'ns': 'ns-1750.awsdns-26.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd291hnnad2qdf6.cloudfront.net', 'ns': 'ns-1750.awsdns-26.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd291hnnad2qdf6.cloudfront.net', 'ns': 'ns-1750.awsdns-26.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,d291hnnad2qdf6.cloudfront.net,"europe1.dnsnode.net, nsp.dnsnode.net, nsu.dnsnode.net",,,,,,,,
,alb-bcc-ac1.bpost.cloud,300,"34.240.204.253, 63.33.128.87","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,alb-mail01-ac1-we1-mw-bcc-ext-02-510972015.eu-west-1.elb.amazonaws.com,,,,,,,,,
,alb-bcc-dv1.bpost.cloud,300,"52.17.208.86, 3.248.50.54","{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,alb-bcc-np-we1-1659522730.eu-west-1.elb.amazonaws.com,,,,,,,,,
,alb-bcc-pr.bpost.cloud,60,"52.31.153.69, 18.200.207.177","{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
,alb-bcc-st1.bpost.cloud,60,"34.251.25.21, 18.202.127.126","{'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bpost.cloud', 'ns': 'ns-1620.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
