input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_subject_an_,tls_wildcard_certificate,final_url
acceptatie.rest.restintergamma.nl,403 Forbidden,403,520,,443,https://acceptatie.rest.restintergamma.nl:443,https,awselb/2.0,text/html,GET,34.252.167.6,/,2095155567,34.251.36.159,,13,False,,acceptatie.rest.restintergamma.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-02-10T00:00:00Z,2023-07-21T23:59:59Z,CN=rest.intergamma.nl,rest.intergamma.nl,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b82eb1b02d397a4d771b8aa8925d645a,32387ba84f89573e3432a07851fac78ef47b5dd9d1d4132682c10c5a197bd76e,ctls,acceptatie.rest.restintergamma.nl,acceptatie.rest.intergamma.nl,,
adobe-gamma-be.acc.restintergamma.nl,,403,42,cloudfront,80,http://adobe-gamma-be.acc.restintergamma.nl:80,http,,application/json,GET,65.9.66.67,/,768769774,65.9.66.104,Amazon Web Services,1,False,True,adobe-gamma-be.acc.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-10T00:00:00Z,2024-05-09T23:59:59Z,CN=adobe-gamma-be.acc.restintergamma.nl,adobe-gamma-be.acc.restintergamma.nl,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c643d2230772bd936cbfa04f074e13d0,185fd74bb9dfdc57a3e9f0b519b76eaf8b150488c150f7a9cf1a86f343bbfb1f,ctls,adobe-gamma-be.acc.restintergamma.nl,adobe-gamma-be.acc.restintergamma.nl,,https://adobe-gamma-be.acc.restintergamma.nl/
adobe-gamma-be.prd.restintergamma.nl,,403,42,cloudfront,443,https://adobe-gamma-be.prd.restintergamma.nl:443,https,,application/json,GET,143.204.215.4,/,768769774,143.204.215.25,Amazon Web Services,1,False,True,adobe-gamma-be.prd.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-12T00:00:00Z,2024-05-11T23:59:59Z,CN=adobe-gamma-be.prd.restintergamma.nl,adobe-gamma-be.prd.restintergamma.nl,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,01676bef097365df9b01b9a70df86b12,9fffa8267abc04d7235a09c2585975390c12d3e87959abd42d2dca988e14c415,ctls,adobe-gamma-be.prd.restintergamma.nl,adobe-gamma-be.prd.restintergamma.nl,,
adobe-gamma-nl.acc.restintergamma.nl,,403,42,cloudfront,443,https://adobe-gamma-nl.acc.restintergamma.nl:443,https,,application/json,GET,143.204.231.18,/,768769774,143.204.231.5,Amazon Web Services,1,False,True,adobe-gamma-nl.acc.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-10T00:00:00Z,2024-05-08T23:59:59Z,CN=adobe-gamma-nl.acc.restintergamma.nl,adobe-gamma-nl.acc.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fe0e6e566c39ec1a6d7da48bc1547aca,7559a28ba8c20227385259c7ffcab4c6a388bc0592fb66411103fabb1bd6323c,ctls,adobe-gamma-nl.acc.restintergamma.nl,adobe-gamma-nl.acc.restintergamma.nl,,
adobe-gamma-nl.prd.restintergamma.nl,,403,42,cloudfront,80,http://adobe-gamma-nl.prd.restintergamma.nl:80,http,,application/json,GET,18.66.122.102,/,768769774,18.66.122.58,Amazon Web Services,1,False,True,adobe-gamma-nl.prd.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-12T00:00:00Z,2024-05-11T23:59:59Z,CN=adobe-gamma-nl.prd.restintergamma.nl,adobe-gamma-nl.prd.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3dd297d0a42148fa7f9febddf45c73b1,a3ec2f72a489664d9305e315131ddf056bac0c445104e3cd87d3b8a23b12ed0a,ctls,adobe-gamma-nl.prd.restintergamma.nl,adobe-gamma-nl.prd.restintergamma.nl,,https://adobe-gamma-nl.prd.restintergamma.nl/
adobe-karwei-nl.acc.restintergamma.nl,,403,42,cloudfront,443,https://adobe-karwei-nl.acc.restintergamma.nl:443,https,,application/json,GET,108.138.7.56,/,768769774,108.138.7.128,Amazon Web Services,1,False,True,adobe-karwei-nl.acc.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-10T00:00:00Z,2024-05-09T23:59:59Z,CN=adobe-karwei-nl.acc.restintergamma.nl,adobe-karwei-nl.acc.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1afc7e820ea7d7b201f13b2df70ae146,592f65c63bf2a9f44f9661c03512728b73bf27c4b357b528bb952fa38ecbc181,ctls,adobe-karwei-nl.acc.restintergamma.nl,adobe-karwei-nl.acc.restintergamma.nl,,
adobe-karwei-nl.prd.restintergamma.nl,,403,42,cloudfront,443,https://adobe-karwei-nl.prd.restintergamma.nl:443,https,,application/json,GET,13.32.121.90,/,768769774,13.32.121.78,Amazon Web Services,1,False,True,adobe-karwei-nl.prd.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-12T00:00:00Z,2024-05-11T23:59:59Z,CN=adobe-karwei-nl.prd.restintergamma.nl,adobe-karwei-nl.prd.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,04921816c73344629ef26e3c0a951aff,8893ff854c2097c134c94e1559c0a59bbfe41f55d89391ca66a44eef34353425,ctls,adobe-karwei-nl.prd.restintergamma.nl,adobe-karwei-nl.prd.restintergamma.nl,,
auth.squadra.restintergamma.nl,Signin,200,4020,cloudfront,443,https://auth.squadra.restintergamma.nl:443,https,Server,text/html,GET,13.32.27.60,/,282520647,13.32.27.13,HSTS,135,False,True,auth.squadra.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-12-15T23:59:59Z,CN=auth.squadra.restintergamma.nl,auth.squadra.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,32a89f514fc0c065a885ffdc98db9382,caed372ec7ffdf0e68404da08957cbd5bf5e76c73af04074eadf7588232b105b,ctls,auth.squadra.restintergamma.nl,auth.squadra.restintergamma.nl,,
auth.supplier.acc.restintergamma.nl,Signin,200,4020,cloudfront,443,https://auth.supplier.acc.restintergamma.nl:443,https,Server,text/html,GET,18.66.122.49,/,282520647,18.66.122.5,HSTS,135,False,True,auth.supplier.acc.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-22T00:00:00Z,2024-04-18T23:59:59Z,CN=auth.supplier.acc.restintergamma.nl,auth.supplier.acc.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1ddde7fb2f82a7343a00f913629b3d74,293c8c14c3d37d9e7e6d2967aed8d83c2e6e3fa9cf767d2905130dee33ce4e2d,ctls,auth.supplier.acc.restintergamma.nl,auth.supplier.acc.restintergamma.nl,,
auth.supplier.restintergamma.nl,Signin,200,4020,cloudfront,443,https://auth.supplier.restintergamma.nl:443,https,Server,text/html,GET,65.9.95.103,/,282520647,65.9.95.76,HSTS,135,False,True,auth.supplier.restintergamma.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-04T00:00:00Z,2024-05-01T23:59:59Z,CN=auth.supplier.restintergamma.nl,auth.supplier.restintergamma.nl,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5f799c71503adc6353b0d2bf69455833,6de46c51ad1bcde8102821c17c59b4a7d3581b89608d76e44d9ab6a370c2659f,ctls,auth.supplier.restintergamma.nl,auth.supplier.restintergamma.nl,,
enterpriseenrollment.intergamma-test.nl,Microsoft Intune admin center,200,39742,,80,http://enterpriseenrollment.intergamma-test.nl:80,http,,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,intune.microsoft.com,,https://intune.microsoft.com/
enterpriseregistration.intergamma-test.nl,Service,404,1565,azure,443,https://enterpriseregistration.intergamma-test.nl:443,https,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,enterpriseregistration.intergamma-test.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,True,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.intergamma-test.nl,enterpriseregistration.windows.net,True,
hiring-manager.intergamma.cloud,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://hiring-manager.intergamma.cloud:80,http,CloudFront,text/html,GET,108.138.7.48,/,-601422044,108.138.7.76,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
hr.acc.intergamma.cloud,,403,23,cloudfront,80,http://hr.acc.intergamma.cloud:80,http,,application/json,GET,65.9.95.88,/,968070783,65.9.95.36,Amazon Web Services,1,False,True,hr.acc.intergamma.cloud,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-08T00:00:00Z,2024-05-06T23:59:59Z,CN=hr.acc.intergamma.cloud,hr.acc.intergamma.cloud,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6a75b6888cff9e8aed1ee89eafe85ca0,e8a2c2f4254299208dd4688865d703b5f3f92e65e17b8ba317f82afe18a432b7,ctls,hr.acc.intergamma.cloud,hr.acc.intergamma.cloud,,https://hr.acc.intergamma.cloud/
levportal-acc.intergamma.cloud,403 Forbidden,403,118,,80,http://levportal-acc.intergamma.cloud:80,http,awselb/2.0,text/html,GET,52.50.36.167,/,1344368402,54.77.61.241,,7,False,,,,,,,,,,,,,,,,,,,,,,,
log.tiktokv.com,404 Not Found,404,146,,443,https://log.tiktokv.com:443,https,nginx,text/html,GET,23.53.40.193,/,1494302000,23.53.40.187,Nginx,8,False,,log.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,fa46cbd21eb87eeff13f39d42248e3c8,3172f6da82179b1751f393192d0cbf953c1cad7af8dfcf33f61bc937934df83a,ctls,log.tiktokv.com,tiktokv.com,True,
lyncdiscover.intergamma-test.nl,,200,374,,443,https://lyncdiscover.intergamma-test.nl:443,https,,application/json,GET,52.112.192.14,/,675688747,2603:1027:0:2::e,Azure,1,False,,lyncdiscover.intergamma-test.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,True,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.intergamma-test.nl,*.lync.com,True,
mon15-normal-useast1a.tiktokv.com,404 Not Found,404,548,cloudfront,443,https://mon15-normal-useast1a.tiktokv.com:443,https,nginx,text/html,GET,13.32.121.93,/,566218143,2600:9000:2251:fe00:13:48f8:7bc0:93a1,Nginx,14,False,True,mon15-normal-useast1a.tiktokv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-08-22T00:00:00Z,2023-09-22T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",afbd6563119a709e115e8a7c44d8361d,22bb91e07a0ac42d227c020324b119ea2622447a31ecc452681d589897e25e6c,ctls,mon15-normal-useast1a.tiktokv.com,tiktokv.com,True,
proxyconfig.intergamma.cloud,Proxy Config,200,2253,,80,http://proxyconfig.intergamma.cloud:80,http,AmazonS3,text/html,GET,52.218.90.180,/,-300876432,52.218.104.244,Amazon Web Services,84,False,,,,,,,,,,,,,,,,,,,,,,,
rest.restintergamma.nl,403 Forbidden,403,118,,443,https://rest.restintergamma.nl:443,https,awselb/2.0,text/html,GET,34.246.188.76,/,1344368402,34.253.76.24,,7,False,,rest.restintergamma.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-02-10T00:00:00Z,2023-07-21T23:59:59Z,CN=rest.intergamma.nl,rest.intergamma.nl,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b82eb1b02d397a4d771b8aa8925d645a,32387ba84f89573e3432a07851fac78ef47b5dd9d1d4132682c10c5a197bd76e,ctls,rest.restintergamma.nl,acceptatie.rest.intergamma.nl,,
