new,host,a,soa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips,cname
[x],acceptatie.rest.restintergamma.nl,"54.72.174.128, 34.251.36.159, 34.252.167.6","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],adobe-gamma-be.acc.restintergamma.nl,"65.9.66.67, 65.9.66.104, 65.9.66.32, 65.9.66.36","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],adobe-gamma-be.prd.restintergamma.nl,"143.204.215.4, 143.204.215.25, 143.204.215.110, 143.204.215.121","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],adobe-gamma-nl.acc.restintergamma.nl,"143.204.231.5, 143.204.231.94, 143.204.231.18, 143.204.231.37","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],adobe-gamma-nl.prd.restintergamma.nl,"13.249.9.105, 13.249.9.90, 13.249.9.36, 13.249.9.16","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],adobe-karwei-nl.acc.restintergamma.nl,"108.138.199.31, 108.138.199.3, 108.138.199.29, 108.138.199.104","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],adobe-karwei-nl.prd.restintergamma.nl,"13.32.121.12, 13.32.121.103, 13.32.121.78, 13.32.121.90","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],auth.squadra.restintergamma.nl,"18.154.63.68, 18.154.63.32, 18.154.63.43, 18.154.63.31","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],auth.supplier.acc.restintergamma.nl,"18.66.122.78, 18.66.122.5, 18.66.122.49, 18.66.122.4","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],auth.supplier.restintergamma.nl,"99.86.4.29, 99.86.4.27, 99.86.4.37, 99.86.4.91","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],autodiscover.intergamma-test.nl,"52.98.240.8, 52.98.239.200, 52.98.229.120","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"2603:1026:c0e:863::8, 2603:1026:c0e:868::8, 2603:1026:c0e:86c::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com"
[x],enterpriseenrollment.intergamma-test.nl,52.236.189.96,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com"
[x],enterpriseregistration.intergamma-test.nl,20.190.137.40,"internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net"
[x],ext.api.acc.gammabe.intergamma.cloud,,"ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],hiring-manager.intergamma.cloud,,"ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],hr.acc.intergamma.cloud,"108.138.7.28, 108.138.7.24, 108.138.7.56, 108.138.7.54","ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],hr.restintergamma.nl,"143.204.89.110, 143.204.89.70, 143.204.89.120, 143.204.89.14","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],intergamma-test.nl,,"ns-694.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ms42712301.msv1.invalid, intergammatest-nl02e.mail.protection.outlook.com","ns-1165.awsdns-17.org, ns-1860.awsdns-40.co.uk, ns-46.awsdns-05.com, ns-694.awsdns-22.net","v=spf1 include:spf.protection.outlook.com -all, MS=ms42712301",,,,
[x],intergamma.cloud,127.0.0.1,"ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-321.awsdns-40.com, ns-523.awsdns-01.net, ns-1444.awsdns-52.org, ns-1701.awsdns-20.co.uk",,,True,127.0.0.1,
[x],internal-acceptatie.rest.restintergamma.nl,"10.129.46.28, 10.129.46.152, 10.129.45.143","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.129.46.28, 10.129.46.152, 10.129.45.143",
[x],internal-productie.rest.restintergamma.nl,"10.129.46.104, 10.129.45.139, 10.129.46.170","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.129.46.104, 10.129.45.139, 10.129.46.170",
[x],karweioutletstore.nl,46.17.2.152,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,mail.karweioutletstore.nl,"ns1.kpn.net, ns11.kpn.net",v=spf1 a mx ip4:109.70.1.110 ~all,,,,
[x],levportal-acc.intergamma.cloud,"54.77.61.241, 52.50.36.167, 54.229.81.5","ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],levportal.intergamma.cloud,"54.154.160.108, 54.75.53.90, 52.50.61.47","ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],log.tiktokv.com,"2.16.186.16, 2.16.186.17, 2.16.186.26, 2.16.186.8, 2.16.186.40, 2.16.186.42, 2.16.186.34, 2.16.186.27, 2.16.186.32","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,"log.tiktokv.com.edgesuite.net, a2047.r.akamai.net"
[x],lyncdiscover.intergamma-test.nl,52.112.192.14,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,2603:1027::e,,,webdir.online.lync.com
[x],mail.werkenbijkarwei.nl,217.18.74.120,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,,,
[x],mon15-normal-useast1a.tiktokv.com,,,NOERROR,True,cloudfront,,,,,,,d1s4b5kha9t5gv.cloudfront.net
[x],proxy.intergamma.cloud,10.129.66.154,"ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,10.129.66.154,
[x],proxyconfig.intergamma.cloud,"52.218.37.164, 52.218.117.60, 52.92.19.252, 52.218.116.52, 52.218.61.36, 52.92.20.212, 52.218.118.84, 52.218.90.164","ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],rest.restintergamma.nl,"34.246.188.76, 34.253.76.24","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],restintergamma.nl,,"ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],search.tiktokv.com,"104.126.37.130, 104.126.37.178, 104.126.37.170, 104.126.37.154, 104.126.37.123, 104.126.37.177, 104.126.37.146, 104.126.37.137, 104.126.37.171","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,"search.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net"
[x],sip.intergamma-test.nl,52.112.64.11,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,"2603:1037:0:a::b, 2603:1037:0:15::c, 2603:1037:0:1::b, 2603:1037:0:7::b, 2603:1037::b, 2603:1037:0:2::b, 2603:1037:0:5::b, 2603:1037:0:c::f",,,sipdir.online.lync.com
[x],sorry.intergamma.cloud,"99.84.108.7, 99.84.108.115, 99.84.108.101, 99.84.108.45","ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],squadra.acc.restintergamma.nl,"34.251.17.169, 34.252.86.45","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],squadra.restintergamma.nl,"52.208.81.115, 52.211.90.245, 54.77.244.131","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],supplier.acc.restintergamma.nl,"99.86.91.90, 99.86.91.17, 99.86.91.121, 99.86.91.4","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],supplier.restintergamma.nl,"143.204.231.114, 143.204.231.98, 143.204.231.2, 143.204.231.35","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],testrest.restintergamma.nl,"54.72.174.128, 34.251.36.159, 34.252.167.6","ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,acceptatie.rest.restintergamma.nl
[x],webmail.karweioutletstore.nl,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,,,
[x],werkenbijgamma.be,162.55.172.130,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,"ns11.kpn.net, ns1.kpn.net",Facebook-domain-verification=q84ngtco2q4n0o7oniwr737dnpb9ik,2a01:4f8:c010:973c::1,,,
[x],werkenbijkarwei.nl,162.55.172.130,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,mail.werkenbijkarwei.nl,"ns1.kpn.net, ns11.kpn.net",,2a01:4f8:c010:973c::1,,,
[x],www.werkenbijgamma.nl,162.55.172.130,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-120.awsdns-15.com, ns-1337.awsdns-39.org, ns-1744.awsdns-26.co.uk, ns-842.awsdns-41.net",,2a01:4f8:c010:973c::1,,,werkenbijgamma.nl
[x],www.werkenbijkarwei.nl,162.55.172.130,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,2a01:4f8:c010:973c::1,,,
