new,host,a,soa,has_internal_ips,internal_ips,status_code,ns,cdn,cdn-name,cname,aaaa,caa,mx,txt
[x],api-gcp-central.internal.shipt.com,"10.160.0.106, 10.90.255.184","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.160.0.106, 10.90.255.184",NOERROR,,,,,,,,
[x],api-gcp-east-k8s.internal.shipt.com,"10.90.255.184, 10.160.0.106","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.90.255.184, 10.160.0.106",NOERROR,,,,,,,,
[x],api-gcp-east.internal.shipt.com,"10.90.255.184, 10.160.0.106","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.90.255.184, 10.160.0.106",NOERROR,,,,,,,,
[x],api-mesh-k8s.internal.shipt.com,"10.90.255.184, 10.160.0.106","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.90.255.184, 10.160.0.106",NOERROR,,,,,,,,
[x],api-west.internal.shipt.com,"10.160.0.106, 10.90.255.184","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.160.0.106, 10.90.255.184",NOERROR,,,,,,,,
[x],app.internal.shipt.com,"10.160.0.106, 10.90.255.184","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.160.0.106, 10.90.255.184",NOERROR,"ns-1494.awsdns-58.org, ns-1762.awsdns-28.co.uk, ns-213.awsdns-26.com, ns-610.awsdns-12.net",,,,,,,
[x],assets.us-central1.shipt.com,,"ns-1262.awsdns-29.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],ata-uni.us-east-1.shipt.com,"10.20.49.99, 10.20.72.68, 10.20.86.80","ns-372.awsdns-46.com, awsdns-hostmaster.amazon.com",True,"10.20.49.99, 10.20.72.68, 10.20.86.80",NOERROR,,,,,,,,
[x],auth.internal.shipt.com,"10.160.0.106, 10.90.255.184","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.160.0.106, 10.90.255.184",NOERROR,,,,,,,,
[x],beta.internal.shipt.com,"10.160.0.106, 10.90.255.184","ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",True,"10.160.0.106, 10.90.255.184",NOERROR,,,,,,,,
