new,host,ttl,soa,ns,status_code,a,cname,aaaa,txt
[x],cynical.com.np,1800,"{'name': 'cynical.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350984279, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynical.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350984279, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynical.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350984279, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynical.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350984279, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","kay.ns.cloudflare.com, rick.ns.cloudflare.com",NOERROR,,,,"v=spf1 include:spf.protection.outlook.com -all, MS=ms65902115"
[x],cynicaltechnology.com,300,"{'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","kay.ns.cloudflare.com, rick.ns.cloudflare.com",NOERROR,"104.21.57.20, 172.67.158.79",,"2606:4700:3033::6815:3914, 2606:4700:3030::ac43:9e4f","google-site-verification=sn7jDbzCF07jJ9TZMLyUM1yXlURHSEBmLFBVQT8CSnc, v=spf1 include:spf.protection.outlook.com -all"
[x],cynicaltechnology.com.np,300,"{'name': 'cynicaltechnology.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351056144, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351056144, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351056144, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351056144, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351056144, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com.np', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351056144, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","kay.ns.cloudflare.com, rick.ns.cloudflare.com",NOERROR,,,,
,autodiscover.cynical.com.np,300,"{'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024371789, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024519703, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'tm-4.office.com', 'ns': 'ns1-34.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024580027, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",,NOERROR,"52.98.241.184, 52.98.179.40, 52.98.241.200, 40.99.150.40, 40.99.150.104, 52.98.243.8, 52.98.228.56, 52.98.243.40","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:828::8, 2603:1026:c0d:82c::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:c2c::8, 2603:1026:c0d:c1f::8, 2603:1026:c0d:82f::8, 2603:1026:c0d:c1c::8",
,autodiscover.cynicaltechnology.com,300,"{'name': 'tm-4.office.com', 'ns': 'ns1-34.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024303537, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",,NOERROR,"52.97.176.40, 52.97.250.248, 52.97.135.120, 52.97.201.120","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:82b::8, 2603:1026:c0d:c28::8, 2603:1026:c0d:82d::8, 2603:1026:c0d:c1d::8",
,enterpriseenrollment.cynicaltechnology.com,300,"{'name': 'centralus.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'northeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'eastus.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",,NOERROR,20.91.147.72,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpna03.centralus.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpna02.eastus.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com",,
,enterpriseregistration.cynicaltechnology.com,300,"{'name': 'akadns.net', 'ns': 'internal.akadns.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1712104200, 'refresh': 90000, 'retry': 90000, 'expire': 90000, 'minttl': 180}, {'name': 'akadns.net', 'ns': 'internal.akadns.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1712104200, 'refresh': 90000, 'retry': 90000, 'expire': 90000, 'minttl': 180}, {'name': 'trafficmanager.net', 'ns': 'tm1.dns-tm.com', 'mailbox': 'hostmaster.trafficmanager.net', 'serial': 2003080800, 'refresh': 900, 'retry': 300, 'expire': 2419200, 'minttl': 30}, {'name': 'akadns.net', 'ns': 'internal.akadns.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1712104200, 'refresh': 90000, 'retry': 90000, 'expire': 90000, 'minttl': 180}",,NOERROR,"40.126.32.129, 40.126.32.131, 40.126.32.6, 40.126.32.66","enterpriseregistration.windows.net, na.privatelink.msidentity.com, prdf.aadg.msidentity.com, www.tm.f.prd.aadg.akadns.net, www.tm.f.prd.aadg.trafficmanager.net","2603:1027:1:28::, 2603:1027:1:28::15, 2603:1027:1:28::b, 2603:1027:1:28::19, 2603:1027:1:28::3, 2603:1027:1:28::16, 2603:1027:1:28::17, 2603:1027:1:28::18",
,gitlab.cynicaltechnology.com,300,"{'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"172.67.158.79, 104.21.57.20",,,
,workspace.cynical.com.np,300,"{'name': 'ktm.yetiappcloud.com', 'ns': 'ktm.yetiappcloud.com', 'mailbox': 'dns.ktm.yetiappcloud.com', 'serial': 2012301868, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 120}, {'name': 'ktm.yetiappcloud.com', 'ns': 'ktm.yetiappcloud.com', 'mailbox': 'dns.ktm.yetiappcloud.com', 'serial': 2012301868, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 120}, {'name': 'ktm.yetiappcloud.com', 'ns': 'ktm.yetiappcloud.com', 'mailbox': 'dns.ktm.yetiappcloud.com', 'serial': 2012301868, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 120}, {'name': 'ktm.yetiappcloud.com', 'ns': 'ktm.yetiappcloud.com', 'mailbox': 'dns.ktm.yetiappcloud.com', 'serial': 2012301868, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 120}, {'name': 'ktm.yetiappcloud.com', 'ns': 'ktm.yetiappcloud.com', 'mailbox': 'dns.ktm.yetiappcloud.com', 'serial': 2012301868, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 120}",,NOERROR,"45.115.217.5, 45.115.217.4",cynicalsec.ktm.yetiappcloud.com,,
,www.cynicaltechnology.com,300,"{'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cynicaltechnology.com', 'ns': 'kay.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353374786, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"104.21.57.20, 172.67.158.79",,"2606:4700:3030::ac43:9e4f, 2606:4700:3033::6815:3914",
