input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,favicon_path,final_url,a_,tech_,lines,failed,knowledgebase_PageType,knowledgebase_pHash
uacatsdivision.com,UACatsDivision - NFT Cats-Heroes,200,25614,uacatsdivision.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-09T16:19:54Z,2025-05-10T16:19:53Z,CN=uacatsdivision.com,uacatsdivision.com,uacatsdivision.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,711f13e0a986a0a6ec94795aac460f6f,a9d33bdd5e0d2d4061ff08f309af3d7ead8ee36dbc4001e644c2b734ee262dd4,ctls,uacatsdivision.com,443,https://uacatsdivision.com,https,Vercel,text/html,GET,76.76.21.21,/,,/./favicon.ico,,76.76.21.21,Vercel,72,False,other,0
www.uacatsdivision.com,UACatsDivision - NFT Cats-Heroes,200,25614,uacatsdivision.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-09T16:19:54Z,2025-05-10T16:19:53Z,CN=uacatsdivision.com,uacatsdivision.com,uacatsdivision.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,711f13e0a986a0a6ec94795aac460f6f,a9d33bdd5e0d2d4061ff08f309af3d7ead8ee36dbc4001e644c2b734ee262dd4,ctls,uacatsdivision.com,443,https://www.uacatsdivision.com,https,Vercel,text/html,GET,66.33.60.34,/,1023134484,/./favicon.ico,https://uacatsdivision.com/,66.33.60.193,Vercel,72,False,other,0
