input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,cdn_name,tech_,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
111.254.227.betfair.ro,Just a moment...,403,7152,www.betfair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=betfair.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",betfair.com,"Cloudflare, Inc.",api.games.betfair.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f0bd0c05b14a455998b99e2f692c68f,f3b6e7b4cf47031d49a919fee92757ce06e6e62a713d47527928151f24f6a767,ctls,www.betfair.com,443,https://111.254.227.betfair.ro:443,https,cloudflare,text/html,GET,84.20.210.33,/,1099596916,84.20.210.33,87,False,True,,HTTP/3,,,https://www.betfair.com/,,
17-121-112-61.w-con.betfair.com,"Betfair Exchange | Best Odds Online, Back and Lay Betting",200,15084,www.betfair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=betfair.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",betfair.com,"Cloudflare, Inc.",api.games.betfair.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f0bd0c05b14a455998b99e2f692c68f,f3b6e7b4cf47031d49a919fee92757ce06e6e62a713d47527928151f24f6a767,ctls,www.betfair.com,443,https://17-121-112-61.w-con.betfair.com:443,https,cloudflare,text/html,GET,84.20.208.107,/,-1026148817,84.20.208.107,343,False,True,,HTTP/3,,,https://www.betfair.com/exchange/plus/,,
20.betfair.es,Just a moment...,403,7028,www.betfair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=betfair.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",betfair.com,"Cloudflare, Inc.",api.games.betfair.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f0bd0c05b14a455998b99e2f692c68f,f3b6e7b4cf47031d49a919fee92757ce06e6e62a713d47527928151f24f6a767,ctls,www.betfair.com,443,https://20.betfair.es:443,https,cloudflare,text/html,GET,84.20.210.33,/,1099596916,84.20.210.33,87,False,True,,HTTP/3,,,https://www.betfair.com/,,
20.betfair.ro,Just a moment...,403,7102,www.betfair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=betfair.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",betfair.com,"Cloudflare, Inc.",api.games.betfair.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f0bd0c05b14a455998b99e2f692c68f,f3b6e7b4cf47031d49a919fee92757ce06e6e62a713d47527928151f24f6a767,ctls,www.betfair.com,443,https://20.betfair.ro:443,https,cloudflare,text/html,GET,84.20.210.33,/,1099596916,84.20.210.33,87,False,True,,HTTP/3,,,https://www.betfair.com/,,
22.229.betfair.es,Just a moment...,403,7057,www.betfair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=betfair.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",betfair.com,"Cloudflare, Inc.",api.games.betfair.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f0bd0c05b14a455998b99e2f692c68f,f3b6e7b4cf47031d49a919fee92757ce06e6e62a713d47527928151f24f6a767,ctls,www.betfair.com,443,https://22.229.betfair.es:443,https,cloudflare,text/html,GET,84.20.210.33,/,1099596916,84.20.210.33,87,False,True,,HTTP/3,,,https://www.betfair.com/,,
3.push.skybet.com,Invalid URL,400,209,3.push.skybet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-03T13:48:44Z,2024-02-03T13:47:44Z,"CN=3.push.skybet.com, O=Hestview Limited, L=Leeds, ST=West Yorkshire, C=GB, businessCategory=Private Organization, jurisdictionCountry=GB, serialNumber=01100741, businessCategory=Private Organization, jurisdictionCountry=GB",3.push.skybet.com,Hestview Limited,3.push.testdr.skybet.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,2c1621a122efe794479f14275335d1ea,c9ab96f0f088681595898303de77aa1aef2ba2b289e727014ea1eea43fe7ebe2,ctls,3.push.skybet.com,443,https://3.push.skybet.com:443,https,AkamaiGHost,text/html,GET,2.20.142.34,/,-38786300,2.20.143.64,8,False,,,,,,,,
3.push.staging.skybet.com,Error,404,139,3.push.staging.skybet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T00:00:00Z,2024-06-04T23:59:59Z,"CN=*.staging.sbgservices.com, O=Hestview Limited, ST=West Yorkshire, C=GB",*.staging.sbgservices.com,Hestview Limited,test-adfs.sbgpeople.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ea6e0d6d5a3a3b1546f54495f9a7433a,e71f7ee1d1db7eed19d7daca6cbe8af6503ae9232ed5b3c5f999601632f15bf1,ctls,3.push.staging.skybet.com,443,https://3.push.staging.skybet.com:443,https,(REDACTED),text/html,GET,23.201.243.247,/,1593207841,23.201.243.247,11,False,True,,Envoy,,True,,,
3.push.test4.skybet.com,Error,404,139,3.push.test4.skybet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T00:00:00Z,2024-06-04T23:59:59Z,"CN=*.staging.sbgservices.com, O=Hestview Limited, ST=West Yorkshire, C=GB",*.staging.sbgservices.com,Hestview Limited,test-adfs.sbgpeople.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ea6e0d6d5a3a3b1546f54495f9a7433a,e71f7ee1d1db7eed19d7daca6cbe8af6503ae9232ed5b3c5f999601632f15bf1,ctls,3.push.test4.skybet.com,443,https://3.push.test4.skybet.com:443,https,(REDACTED),text/html,GET,23.201.243.247,/,1593207841,23.201.243.247,11,False,True,,Envoy,,True,,,
360-security-antivirus-free.it.betfair.ro,Just a moment...,403,7140,www.betfair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=betfair.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",betfair.com,"Cloudflare, Inc.",api.games.betfair.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f0bd0c05b14a455998b99e2f692c68f,f3b6e7b4cf47031d49a919fee92757ce06e6e62a713d47527928151f24f6a767,ctls,www.betfair.com,443,https://360-security-antivirus-free.it.betfair.ro:443,https,cloudflare,text/html,GET,84.20.210.33,/,1099596916,84.20.210.33,87,False,True,,HTTP/3,,,https://www.betfair.com/,,
4njbets-qa.us.betfair.com,403,403,134,4njbets-qa.us.betfair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T21:09:55Z,2023-07-30T22:03:08Z,CN=4njbets-qa.us.betfair.com,4njbets-qa.us.betfair.com,,service-qa.us.betfair.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,9f351d015e673bcd52b0e34d9fb56a7e,e18b5e2c64134513e72fafe6f89c824ac37587b43a2bcab3b24e6ea24519a9af,ctls,4njbets-qa.us.betfair.com,443,https://4njbets-qa.us.betfair.com:443,https,,text/html,GET,130.211.16.110,/,1723221432,130.211.16.110,1,False,,google,HTTP/3,True,,,,
