new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,has_internal_ips,internal_ips,ptr,caa
[x],111.254.227.betfair.ro,84.20.210.33,"rdr.betfair.com, rdr.lb.betfair.com, ie2-rdr.betfair.com, ie1-rdr.betfair.com","udns1.ultradns.net, domains.paddypower.com",NOERROR,,,,,,,,,,
[x],16.acyl.m.ppmail1.paddypower.it,81.92.115.142,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,,,"v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all, spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all",,,"smtp1.emv2.com, smtp2.emv2.com",,,,
[x],16.faderm.ppmail1.paddypower.it,81.92.115.142,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,,,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,,"smtp2.emv2.com, smtp1.emv2.com",,,,
[x],16.lousem.ppmail1.paddypower.it,81.92.115.142,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,,,,,"d.ns.emailvision.net, b.ns.emailvision.net, a.ns.emailvision.net, c.ns.emailvision.net","smtp2.emv2.com, smtp1.emv2.com",,,,
[x],16.sever.m.ppmail1.paddypower.it,81.92.115.142,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,,,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,,"smtp2.emv2.com, smtp1.emv2.com",,,,
[x],16.tewed.m.ppmail1.paddypower.it,81.92.115.142,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,,,"v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all, spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all",,,"smtp1.emv2.com, smtp2.emv2.com",,,,
[x],17-121-112-61.w-con.betfair.com,84.20.208.107,"rdr.betfair.com, rdr.lb.betfair.com, ie1-rdr.betfair.com, ie2-rdr.betfair.com","udns1.ultradns.net, domains.paddypower.com",NOERROR,,,,,,,,,,
[x],2.0-1-okta-ios-auth-api-client-securews.push.test4.sbgsvc.skybet.com,,f8da8a2cd6d2e09806296d585520832a.gwpjclltnz.acm-validations.aws,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"63123f5cdddb4c1cbe76d7c56d4f5221, 8fc2ed381c404215bedc36e3f40be05a",,,,,,,
[x],2.0-1-okta-ios-auth-api-live-webapps.push.test4.sbgsvc.skybet.com,,f8da8a2cd6d2e09806296d585520832a.gwpjclltnz.acm-validations.aws,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"63123f5cdddb4c1cbe76d7c56d4f5221, 8fc2ed381c404215bedc36e3f40be05a",,,,,,,
[x],2.0-1-okta-ios-auth-manage-client-mails.push.test4.sbgsvc.skybet.com,,f8da8a2cd6d2e09806296d585520832a.gwpjclltnz.acm-validations.aws,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"63123f5cdddb4c1cbe76d7c56d4f5221, 8fc2ed381c404215bedc36e3f40be05a",,,,,,,
[x],2.push.skybet.com,"52.18.166.156, 34.248.150.249, 52.19.254.7, 34.255.24.252, 34.252.120.189, 52.18.197.17, 52.214.131.46, 34.255.82.175",2.ws.push.sbgsvc.skybet.com,"ns-640.awsdns-16.net, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=bcap-push,external-dns/resource=service/live-push/websocket",,,,,,,
[x],2.push.testdr.skybet.com,"52.18.254.114, 52.212.109.66, 54.170.186.196",2.ws.push.testdr.sbgsvc.skybet.com,"ns-75.awsdns-09.com, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=bcap-push,external-dns/resource=service/testdr-push/websocket",,,,,,,
[x],2.ws.0-1-okta-ios-auth-api-client-secure-push.test4.sbgsvc.skybet.com,,f8da8a2cd6d2e09806296d585520832a.gwpjclltnz.acm-validations.aws,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"8fc2ed381c404215bedc36e3f40be05a, 63123f5cdddb4c1cbe76d7c56d4f5221",,,,,,,
[x],2.ws.pus12node-express-okta-idp.test4.sbgsvc.skybet.com,,f8da8a2cd6d2e09806296d585520832a.gwpjclltnz.acm-validations.aws,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"63123f5cdddb4c1cbe76d7c56d4f5221, 8fc2ed381c404215bedc36e3f40be05a",,,,,,,
