new,host,ttl,a,soa,status_code,mx,ns,txt
[x],eslint.org,20,"35.169.59.174, 54.161.234.33","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,"alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com","dns1.p04.nsone.net, dns2.p04.nsone.net, dns3.p04.nsone.net, dns4.p04.nsone.net","v=spf1 include:spf.improvmx.com ~all, google-site-verification=oKVXXUUEHqMBD-TTYSoV0ehQR40BwaIfeqY60DXlOGc"
,archive.eslint.org,20,"35.156.224.161, 18.192.94.96","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,cn.eslint.org,20,"18.192.231.252, 3.70.101.28","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,de.eslint.org,180,"18.192.231.252, 3.70.101.28","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,docs.eslint.org,180,"3.72.140.173, 18.192.231.252","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,es.eslint.org,20,"18.192.94.96, 3.72.140.173","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,eslint-github-bot.eslint.org,2638,143.198.15.63,"{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,fr.eslint.org,20,"35.169.59.174, 54.161.234.33","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,github-bot.eslint.org,3600,143.198.15.63,"{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
,hi.eslint.org,20,"18.192.231.252, 3.72.140.173","{'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'eslint.org', 'ns': 'dns1.p04.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664761817, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,
