input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,content_type,csp_domains_,tls_mismatched,final_url
0274accb-0486-4ff2-a889-89eda01ff7c1.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://0274accb-0486-4ff2-a889-89eda01ff7c1.edge1-test.pingone.com:80,http,CloudFront,GET,108.156.2.26,/,1703718727,2600:9000:2204:5e00:9:8d52:d8c0:93a1,Amazon Web Services,20,False,True,,,text/html,,,
0377fcf6-8915-4ae3-bf6b-ccb5d4d8a8a2.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://0377fcf6-8915-4ae3-bf6b-ccb5d4d8a8a2.edge1.pingone.com:80,http,CloudFront,GET,99.86.4.58,/,-1855122581,2600:9000:2057:f200:5:219a:dcc0:93a1,Amazon Web Services,20,False,True,,,text/html,,,
1823d1df-8a43-4b12-983c-da569a5030a9.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://1823d1df-8a43-4b12-983c-da569a5030a9.edge1.pingone.com:80,http,CloudFront,GET,65.9.66.105,/,1548614208,2600:9000:206f:9c00:18:9bc5:9580:93a1,Amazon Web Services,20,False,True,,,text/html,,,
253aapi-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,650431,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,ctls,www.pingidentity.com,,443,https://253aapi-staging.pingone.com:443,https,,GET,52.11.201.206,/,-780928015,3.17.229.99,Java,33,False,,Ping Identity Corporation,True,text/html,,,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html
253aapps-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,650431,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,ctls,www.pingidentity.com,,443,https://253aapps-staging.pingone.com:443,https,,GET,3.17.229.99,/,-780928015,44.240.2.215,Java,33,False,,Ping Identity Corporation,True,text/html,,,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html
253aconsole-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,650431,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,ctls,www.pingidentity.com,,443,https://253aconsole-staging.pingone.com:443,https,,GET,3.17.229.99,/,-780928015,3.129.185.94,Java,33,False,,Ping Identity Corporation,True,text/html,,,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html
28940b17-e4aa-4f7b-a048-5c3956fe2789.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://28940b17-e4aa-4f7b-a048-5c3956fe2789.edge1-test.pingone.com:80,http,CloudFront,GET,18.66.97.58,/,-802829808,2600:9000:2394:d600:1:1de5:5a40:93a1,Amazon Web Services,20,False,True,,,text/html,,,
2a879d7c-5e4d-4d62-abec-b4dd94aad63a.edge1-test.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://2a879d7c-5e4d-4d62-abec-b4dd94aad63a.edge1-test.pingone.com:80,http,CloudFront,GET,18.66.97.79,/,1209006637,2600:9000:21c7:ea00:1e:31dc:d3c0:93a1,Amazon Web Services,20,False,True,,,text/html,,,
32686c78-0fdd-4392-846a-52a6edd0eba9.edge1.pingone.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://32686c78-0fdd-4392-846a-52a6edd0eba9.edge1.pingone.com:80,http,CloudFront,GET,52.222.236.42,/,324443542,2600:9000:223e:fc00:6:f724:6d80:93a1,Amazon Web Services,20,False,True,,,text/html,,,
3aapi-staging.pingone.com,Single Sign-On (SSO) Solution | Ping Identity,200,650431,www.pingidentity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",*.pingidentity.com,pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3eecd511703206354cdff54e0acb2526,e74318fcddd439a3b2f8bda949367810577d92cbe786d5951e2dc54dfb52a1b4,ctls,www.pingidentity.com,,443,https://3aapi-staging.pingone.com:443,https,,GET,52.11.201.206,/,-780928015,44.241.84.41,Java,33,False,,Ping Identity Corporation,True,text/html,,,https://www.pingidentity.com/en/platform/capabilities/single-sign-on.html
