new,host,ttl,a,soa,status_code,aaaa,ns
[x],citex.info,300,,"{'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3035::ac43:a521, 2606:4700:3031::6815:b27",
[x],citex.io,300,"172.67.211.163, 104.21.37.184","{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3031::6815:25b8, 2606:4700:3032::ac43:d3a3","keira.ns.cloudflare.com, lennon.ns.cloudflare.com"
,callback.citex.io,300,47.74.12.78,"{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,
,computing.citex.io,300,47.243.95.228,"{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,
,fstream.citex.io,1800,,"{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,
,openapi.citex.io,295,,"{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,
,res.citex.io,300,"172.67.211.163, 104.21.37.184","{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,
,stream.citex.info,300,,"{'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.info', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363812672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3035::ac43:a521, 2606:4700:3031::6815:b27",
,stream.citex.io,300,"104.21.37.184, 172.67.211.163","{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3031::6815:25b8, 2606:4700:3032::ac43:d3a3",
,test1.citex.io,485,,"{'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'citex.io', 'ns': 'keira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2363735339, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,
