input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,final_url
aaron.duckduckgo.com,Sign in to your account,200,38609,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://aaron.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVNdj9owEHy%2FXxHlPeQ7AQuQKKgq0rWHgLuHvlQbe8NZTezUdnr0358duMJJPRopijTemZ0db6Ya2qYji948iy3%2B6lGbO887to3QZDia%2Bb0SRILmmghoURNDyW7x9Z4ko4h0ShpJZeO%2FI93mgNaoDJfCkdarmb96fPgRIStLmmYZJAWkVZ5XUVEk9QRYCjGySTpO4iJPIwtXaQl0HNdZlUwKGBcUsyxzWk%2BotJWd%2BbbLoK11j2uhDQhjwShJg6gMknwfpSSLSZp9d1UrOzIXYAbmszGdJmHYyAMXo5ZTJbWsjRQNFziisg3LZDyeJBAFGYNJkMVxFlR5HAd5Upc5YlrRlIUuhMSJb875fOKCcXG4HUx1KtLky36%2FCTYPu72TWLzFtZRC9y2qHarfnOLj9v7it9cYnDyznv5070EOdoHq0J9bGc%2BbOldkCEXN%2F0ts0QADA%2BE0vOZdlDryzU6wXm1kw%2BmfAXfPZ6laMB8PGo%2FiAeEsqIdS0gvdIeU1R%2Bb%2FlVk0jXxZKgSDM9%2BoHn0vfNf8vKzIhtW12Rg8Gm8p2w4U1%2B4u8QjUnGe%2FzH9dvmzsLm6xnt9cV0qoq7Pwxn5epGLuVpHa3nsF1rxU5hzSP8VPrsMbtud3b8fX%2F%2BH8FQ%3D%3D&RelayState=MbMXlT94dbUfuK3EBYsq8sdv88eo9TQU2Enj7HeY
about.duckduckgo.com,About DuckDuckGo,200,264835,https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,duckduckgo.com,443,https://about.duckduckgo.com:443,https,nginx,text/html,GET,40.114.177.156,/,-1623315920,40.114.177.156,React,97,False,,azure,True,https://duckduckgo.com/about
ac.duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67263,https://*.duckduckgo.com,ac.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,ac.duckduckgo.com,443,https://ac.duckduckgo.com:443,https,nginx,text/html,GET,40.114.177.156,/,-1750099437,40.114.177.156,React,95,False,,azure,True,
asana.duckduckgo.com,Sign in to your account,200,38622,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://asana.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVPBjtowEL3vV0S5hzhO0hALkCioKtK2i4DtYS%2BVsces1cRObadL%2F752YAsrdamlyNF43ps3z%2BOJpW3TkXnvntUGfvZg3V0UHdtGWTIcTePeKKKplZYo2oIljpHt%2FMs9wSNEOqOdZrqJ34BuY6i1YJzUKoBWy2m8fHz4zgVmNBc5LZlAuEKiynCRMSgRExwqDiX9MAZR7OsaoZrjclxgwfCYocL%2FCBG4voGxnnYa%2ByoDt7U9rJR1VDkfRDhPUJXgcodyUmQkL55C1tK3LBV1A%2FLZuc6SNG30QapRK5nRVgunVSMVjJhu0wqPxzWmKCk4rZMiy4pkX2ZZUmJRlQD5nuU8DSbgQL4%2B%2B%2FNRKi7V4bYx%2B1OSJZ93u3WyftjuAsX81a6FVrZvwWzB%2FJIMHjf3F729heSkmffsR%2FgOepBLmU3jmaeJoklQRQZTzOy%2FwBYc5dTRdJJe4y5MHfnqO1gt17qR7PcQD%2BuTNi117zeajbIhInkihlTSK9sBk0ICj%2F%2FSzJtGvywMUAfT2Jke4ih9U%2Fw8rMCH0fXeODi6aKHbjhppw13CkTJ37v3S%2F3X6ovGzuAExuzmujLCQ58Nrv71ow8OtAvO1d4Z68dq4s0n%2FJD%2BpTm%2FInt29Hl%2B%2Fw9kf&RelayState=CDnVV1YorCkt00rRckEc28kneMPBbEAADeiYxUh6
ase-ip-2.duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67263,https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,ase-ip-2.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,ase-ip-2.duckduckgo.com,443,https://ase-ip-2.duckduckgo.com:443,https,nginx,text/html,GET,20.43.161.151,/,-1750099437,20.43.161.151,React,95,False,,azure,True,
ase-rjain1.duckduckgo.com,Sign in to your account,200,38799,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://ase-rjain1.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVNdj5swEHy%2FX4F4J5ivA6wkUpqoaqRrDyVcH%2FpSGXvJWQWb2qaX%2FvuzSa7JSW1qCVmsd2Znx%2Bu5Jn034NVonsUOfo6gzZ3nHftOaDwdLfxRCSyJ5hoL0oPGhuL96vMDjmcID0oaSWXnvwPdxhCtQRkuhQNtNwt%2F8%2FT4vQRW3NM0zQqE0gTlaUNZVtIMEiBNkTf2pynjPIlJStr7LCrTElFoadQgaBBBjusrKG1pF76tMnFrPcJWaEOEsUEUJwHKgzirUYLTCCfJN5e1sS1zQcyEfDZm0DgMO3ngYtZzqqSWrZGi4wJmVPZhHhdFGRMUpIyUQRpFadBkURRkcZtnAElDExY6E2JHXp39%2BcAF4%2BJw25jmlKTxp7qugupxXzuK1Ztdayn02IPag%2FrFKTztHi56Rw3BSTMb6Q%2F3HeQkl1Ad%2BktL43lzpwpPpqjlf4E9GMKIIeE8vMZdmAb8xXaw3VSy4%2FT3FHfro1Q9Mf9uNJpFU4SzoJ1S8Sj0AJS3HJj%2Fh2bVdfJlrYAYWPhGjeB74bvi52EFNo2u9cbA0Xhr2Q9Ece3uEo6EmnPvl%2F6v09edncUdtMub40oxdXk2XNntRSrmbhWorV0rYsVLZc4m%2FZX8pDq8IXt593Z8%2FQ6Xrw%3D%3D&RelayState=NTGbDecFJrbNubIWV4kMerNlkzutnLOqRqYvLFJ4
audio.duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67147,https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,audio.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,audio.duckduckgo.com,443,https://audio.duckduckgo.com:443,https,nginx,text/html,GET,40.114.178.124,/,-1750099437,40.114.178.124,React,95,False,,azure,True,
aue-bgonzalez1.duckduckgo.com,Sign in to your account,200,38624,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://aue-bgonzalez1.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVPRbpswFH3vVyDeCRhDIFYSKUs0LVK3Rknah71Mxr6k1sBmtlmzv69N0iWV1gwJIV2fc%2B65x5epoW3TkUVvn%2BUWfvVg7F0QHNtGGjIczcJeS6KoEYZI2oIhlpHd4us9SUcJ6bSyiqkmfEe6zaHGgLZCSU9ar2bh6vHhRz1G46yEskAoR0VFyzLDDKM6RwA8w0WFAEFVsYqPMUZswlI6HucZr1CBEsyR13oCbZzsLHRdBm1jelhLY6m0rpikOEqKKM33CSYZIjj77lErN7KQ1A7MZ2s7Q%2BK4UQchR61gWhlVWyUbIWHEVBsXaVlOUppEGaeTKEMoi6ocoShP6yIHwBXDPPYhpF58c87nk5BcyMPtYKoTyJAv%2B%2F0m2jzs9l5i8RbXUknTt6B3oH8LBo%2Fb%2B4vf3kB08sx79tO%2FBzXYpczE4dzJBMHUuyJDKHr%2BX2ILlnJqaTyNr3kXpY58cxOsVxvVCPZnqPvns9IttR8PikZoqAge1QOU9NJ0wEQtgId%2FZRZNo16WGqiFWWh1D2EQv2t%2BXlbgw%2Bq6bCwcbbBUbUe1MP4u4UiZPc9%2Bmf8avmzcLm6hnt9cV0aYx7nyxn1elOb%2BVoG53ntNnXml7Tmkf4qfXMc3bM%2Fv3o6v%2F8P5Kw%3D%3D&RelayState=7Ujzz2T6D8Km5uADZrKBvKzemAgi2uU4phoOJkkq
aue-jbrendel1.duckduckgo.com,Sign in to your account,200,38661,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,80,http://aue-jbrendel1.duckduckgo.com:80,http,,text/html,GET,40.88.50.215,/,,40.88.50.215,HSTS,95,False,,azure,True,https://login.microsoftonline.com/728892a0-4da9-4114-b511-52f75ee3bc3d/saml2?SAMLRequest=hVNdj5swEHy%2FX4F4J4D5jJVEShNVjXTtRUmuD32pFnvJWQWb2qZ3%2FfeHSa7JSW2KhJDWM7Oz42VmoG06uuztk9zhzx6NvfO8l7aRho5Hc7%2FXkiowwlAJLRpqGd0vP99TMolop5VVTDX%2BO9JtDhiD2golHWmznvvrx4fvOSkZshqqOgVSYzEtiiTjeRmTelqyMkZeQY414RCVOa94QkgS5dM4y4EBIcxpfUVtBtm5P3QZtY3pcSONBWmHYkSSICoCkh2ihKYxTdJvDrUeRhYS7Mh8srYzNAwbdRRy0gqmlVG1VbIREidMtWFBynJKIApSDtMgjeM0qLI4DjJSFxliUrGEhy4E4sS353w%2BCMmFPN4OpjqBDP10OGyD7cP%2B4CSWb3GtlDR9i3qP%2Bpdg%2BLi7v%2FjtDQYnz7xnP9x7VKNdYCb0F4OM582cKzqGohf%2FJbZogYOFcBZe8y5KHf0yTLBZb1Uj2O%2Bx7p6PSrdg%2Fz1oPInHiuBBPUJpL02HTNQCuf9HZtk06nmlESzOfat79L3wXfPzsiIfV3fIxuKL9Vaq7UAL4%2B4SX4DZ8%2ByX%2Ba%2Fhq2bYxR3Wi5vryihzuKG8HT7PSnN3q8iG3gcNg3ml7Tmkv4qfXIc3bC%2Fu3o6v%2F8PFKw%3D%3D&RelayState=b1ZzEqXYL5SFqp6SvyORwOo4vnqZxYIZlxf5BnZW
beta.duckduckgo.com,"DuckDuckGo — Privacy, simplified.",200,67263,https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,beta.duckduckgo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=*.duckduckgo.com, O=Duck Duck Go\, Inc., L=Paoli, ST=Pennsylvania, C=US",*.duckduckgo.com,"Duck Duck Go, Inc.",duckduckgo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c4a51898e2996a7297c91742d235334d,1f4c02c361b63be016749da639b50c19eb09d8848b02a9df5ca7374e414f7840,True,ctls,beta.duckduckgo.com,443,https://beta.duckduckgo.com:443,https,nginx,text/html,GET,40.114.177.156,/,-1750099437,40.114.177.156,React,95,False,,azure,True,
