input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url,csp_domains_,tls_mismatched
*.ethyca.com,"Ethyca - Compliance for GDPR, CCPA, CPRA, VCDPA, GPC, CPA, CTDPA | Ethyca",200,339033,ethyca.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-16T16:25:02Z,2023-08-14T16:25:01Z,CN=ethyca.com,ethyca.com,ethyca.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ae04ba973aebe921fb5a9dc84852788,14c22ec87ea00bb46ffa4b3f3256252a62632e2e2de12892f00e6507caba1d94,,ctls,ethyca.com,,443,https://ethyca.com:443,https,Vercel,text/html,GET,76.76.21.21,/,710338636,76.76.21.21,Vercel,375,False,,,,,
1pass-scim.casper.tools,1Password SCIM bridge,200,559,1pass-scim.casper.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-23T00:00:00Z,2024-05-22T23:59:59Z,CN=1pass-scim.casper.tools,1pass-scim.casper.tools,1pass-scim.casper.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f345b9954ea4ed11b03d47d122e9c140,c3e33b060953dfe8a63c5f4734845fd833fb7248326a1e0a4e76a7582db14d51,,ctls,1pass-scim.casper.tools,,443,https://1pass-scim.casper.tools:443,https,,text/html,GET,44.209.19.74,/,104012657,3.232.186.131,,1,False,,,https://1pass-scim.casper.tools/app/,https://w3.org,
arcade.casper.com,Bedtime Arcade,200,660,arcade.casper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-23T20:49:40Z,2023-08-21T20:49:39Z,CN=arcade.casper.com,arcade.casper.com,arcade.casper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cddf2fb95b8c9b421980609b4b87d9cd,eaead5bbb6679a7a7b5c48c4513b099f602797b711f105fdfd638f3571e5f704,,ctls,arcade.casper.com,,443,https://arcade.casper.com:443,https,GitHub.com,text/html,GET,185.199.108.153,/,1181440715,2606:50c0:8001::153,Varnish,25,False,,,,,
artifactory.casper.tools,503 Service Temporarily Unavailable,503,162,artifactory.casper.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,True,ctls,artifactory.casper.tools,,443,https://artifactory.casper.tools:443,https,awselb/2.0,text/html,GET,52.205.175.19,/,1862162275,52.205.175.19,,7,False,,,,,
b2b.casper.com,BedPost,200,2893,b2b.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3c041ae1436c4c024e9909f99438fc7d,23bbe4f5f0539ce61075c7819c77a1d747c719280935595ab903e7cd3c617725,True,ctls,b2b.casper.com,cloudflare,443,https://b2b.casper.com:443,https,cloudflare,text/html,GET,104.17.224.52,/,-207347361,2606:4700::6811:e034,Ruby on Rails,56,False,True,"Cloudflare, Inc.",https://b2b.casper.com/sign_in,https://sentry.io/api/1384371/csp-report/?sentry_key=0ebd9118f0f7412e9a4307b088dbd7e8,
bedpost.casper.tools,BedPost,200,2488,bedpost.casper.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-09T23:59:59Z,CN=casper.com,casper.com,*.casper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,be0d43e37348f198098f05f8d8ecf9fb,0f8a19aa03d9645e4b880b6b529b59345d4819c75c6ddf50f9ec6c1df0f7e603,True,ctls,bedpost.casper.tools,,443,https://bedpost.casper.tools:443,https,nginx/1.18.0,text/html,GET,3.224.254.240,/,-1794586080,44.208.117.203,Ruby on Rails,61,False,,,https://bedpost.casper.tools/sign_in,https://use.fontawesome.com/releases/v5.0.13/js/all.js,True
booking.casper.com,The Best Bed for Better Sleep  | Casper®,200,1965310,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,True,ctls,legacy.casper.com,fastly,443,https://booking.casper.com:443,https,,text/html,GET,151.101.129.131,/,1456915341,151.101.193.131,Varnish,815,False,True,,https://legacy.casper.com/m/,,
ca-stores.casper.com,Casper Mattress Stores Near You | Casper® Sleep Shop,200,143775,ca-stores.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=ca-stores.casper.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",ca-stores.casper.com,ca-stores.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab6c75879d79ca3776130ca8a7aed531,e9e3928cb2bad48898ca5d0c54183fab116270f64b7056f9580336d81511aa05,,ctls,ca-stores.casper.com,cloudflare,443,https://ca-stores.casper.com:443,https,cloudflare,text/html,GET,104.18.112.52,/,-1466839786,2606:4700::6812:7434,HTTP/3,1,False,True,"Cloudflare, Inc.",,,
capi.casper.tools,,403,42,capi.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,True,ctls,capi.casper.tools,cloudfront,443,https://capi.casper.tools:443,https,,application/json,GET,13.32.99.42,/,768769774,13.32.99.41,Amazon Web Services,1,False,True,,,,
casper.com,The Best Bed for Better Sleep | Casper,200,150558,casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-25T23:59:59Z,"CN=casper.com, O=Casper Sleep Inc., L=New York, ST=New York, C=US",casper.com,www.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ebe9ff833e72f61bf2dd9e8f6668b489,4828e11371e16f123bd41594c8031477ee966c3db80df2e063983e169b6bed3d,,ctls,casper.com,cloudflare,443,https://casper.com:443,https,cloudflare,text/html,GET,104.17.225.52,/,1299828188,2606:4700::6811:e034,Salesforce Commerce Cloud,2940,False,True,Casper Sleep Inc.,,,
consent.casper.com,,200,4630,consent.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-06-08T23:59:59Z,CN=consent.casper.com,consent.casper.com,consent.casper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ee6dba3e06c4972563ea9c457a5a584d,d9a2bbbf86cd1ceded48d8fd7e73c1e8a1ab6ab3b27bb85dc3e5c361e6d06bb6,,ctls,consent.casper.com,,443,https://consent.casper.com:443,https,,text/html,GET,35.174.224.109,/,-935689242,44.209.185.123,React,1,False,,,,,
dev.casper.com,401 - Authorization Required.,401,1306,dev.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3c041ae1436c4c024e9909f99438fc7d,23bbe4f5f0539ce61075c7819c77a1d747c719280935595ab903e7cd3c617725,True,ctls,dev.casper.com,cloudflare,443,https://dev.casper.com:443,https,cloudflare,text/html,GET,104.17.225.52,/,1299828188,2606:4700::6811:e134,Salesforce Commerce Cloud,24,False,True,"Cloudflare, Inc.",,,
docs.casper.tools,403 Forbidden,403,303,,,,,,,,,,,,,,,,,,,,80,http://docs.casper.tools:80,http,AmazonS3,text/html,GET,52.216.236.106,/,1537434745,52.216.208.141,Amazon Web Services,14,False,,,,,
enterpriseenrollment.casper.com,Microsoft Intune admin center,200,40944,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.casper.com:443,https,,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,Microsoft Corporation,https://intune.microsoft.com/,,
fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:58Z,2023-09-25T08:23:57Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,976b6808d8d77f9e191dc5ef853faac3,4f008dd111d8e72e59f4c8d3ca02bbf5a1477d0aa290fe426f74e36799ade73d,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.185.106,/,-606046040,2a00:1450:4001:810::200a,HTTP/3,1,False,,,,,
fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:57Z,2023-09-25T08:23:56Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3fccc39381a19ebf3cd39b539221dd29,650f9dd06c8ea335c94b5eaa983924e84775b2ce310c699e1a47c36e9fe7cc84,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.185.227,/,302920777,2a00:1450:4001:812::2003,HTTP/3,12,False,,,,,
image.mail.casper.com,Access Denied,403,273,image.mail.casper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-26T00:00:00Z,2023-10-27T23:59:59Z,"CN=akamai-san153.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",akamai-san153.exacttarget.com,image.act.crd.org,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,4c21a7ac5e95fb8245ec2917a04f1fde,cb163b36b014c3a4c0d2b53c9eb55f6dd3fa853411f346c50c4d0cd21f437e9d,,ctls,image.mail.casper.com,,443,https://image.mail.casper.com:443,https,AkamaiGHost,text/html,GET,184.86.251.4,/,1103724802,2a02:26f0:3500:1b::1724:a398,,10,False,,"SALESFORCE.COM, INC.",,,
