new,host,ttl,a,cname,soa,status_code,cdn,cdn-name,aaaa,caa
[x],api.white.market,300,"104.26.15.226, 172.67.72.49, 104.26.14.226",,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],control.white.market,300,,,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"2606:4700:20::681a:ee2, 2606:4700:20::681a:fe2, 2606:4700:20::ac43:4831",
[x],csf.white.market,300,"104.26.14.226, 104.26.15.226, 172.67.72.49",,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"2606:4700:20::681a:ee2, 2606:4700:20::ac43:4831, 2606:4700:20::681a:fe2",
[x],maintenance-res.white.market,300,"172.67.72.49, 104.26.15.226, 104.26.14.226",,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],media.white.market,300,,,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"2606:4700:20::ac43:4831, 2606:4700:20::681a:ee2, 2606:4700:20::681a:fe2",
[x],ph.white.market,300,,,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"2606:4700:20::681a:ee2, 2606:4700:20::ac43:4831, 2606:4700:20::681a:fe2",
[x],promo.white.market,300,"67.199.248.13, 67.199.248.12",cname.bitly.com,"{'name': 'bitly.com', 'ns': 'ns-880.awsdns-46.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitly.com', 'ns': 'ns-880.awsdns-46.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitly.com', 'ns': 'ns-880.awsdns-46.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bitly.com', 'ns': 'ns-880.awsdns-46.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"letsencrypt.org, ;"
[x],qr.white.market,300,35.190.68.223,custom.branded-qr.app,"{'name': 'branded-qr.app', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 5, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'branded-qr.app', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 5, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'branded-qr.app', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 5, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'branded-qr.app', 'ns': 'ns-cloud-a1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 5, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,True,google,,
[x],white.market,300,"104.26.15.226, 172.67.72.49, 104.26.14.226",,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"2606:4700:20::681a:fe2, 2606:4700:20::681a:ee2, 2606:4700:20::ac43:4831","comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, ssl.com"
[x],www.white.market,300,"104.26.14.226, 104.26.15.226, 172.67.72.49",,"{'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'white.market', 'ns': 'maxim.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356620672, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"2606:4700:20::ac43:4831, 2606:4700:20::681a:ee2, 2606:4700:20::681a:fe2",
