input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,final_url,tls_wildcard_certificate,tls_mismatched,csp_domains_,tls_subject_org_,tls_expired
account.dji.com,member-center-fe,200,8705,account.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,account.dji.com,cloudfront,443,https://account.dji.com:443,https,Jetty(9.4.18.v20190429),GET,108.138.17.76,/,-593164903,108.138.17.102,Jetty:9.4.18,1,False,True,text/html,,True,,findspot.dji.com,,
account.djicdn.com,,403,263,account.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,ctls,account.djicdn.com,cloudfront,443,https://account.djicdn.com:443,https,AmazonS3,GET,13.32.27.117,/,-342272319,2600:9000:211e:4a00:1d:4662:3240:93a1,Amazon Web Services,2,False,True,application/xml,,True,,,,
accounts.dji.com,"DJI Store - Official Store for DJI Drones, Gimbals and Accessories (United States)",200,941529,store.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,store.dji.com,cloudfront,80,http://accounts.dji.com:80,http,openresty,GET,65.9.95.89,/,1253011228,65.9.95.37,OpenResty,61,False,True,text/html,https://store.dji.com,True,,,,
active.dji.com,,500,353,active.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,active.dji.com,,80,http://active.dji.com:80,http,,GET,34.200.171.108,/,2046913785,3.218.167.76,,1,False,,application/json,https://active.dji.com/,True,,https://csp.djicdn.com/_/http-sec-report,,
admin.djivideos.com,,403,118,admin.djivideos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:13:14Z,2024-04-11T12:33:32Z,CN=*.djivideos.com,*.djivideos.com,djivideos.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",bafb806982940be9e9a61e830f1f404a,46504b2459679749835b32ba04f7eedbb27c05c392286d3ee75708b42cd76486,ctls,admin.djivideos.com,,443,https://admin.djivideos.com:443,https,,GET,47.111.204.88,/,1957996489,47.111.204.88,HSTS,2,False,,application/json,,True,,https://csp.djicdn.com/_/http-sec-report,,
aeroscope.djiservice.org,System,200,1055,aeroscope.djiservice.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,ctls,aeroscope.djiservice.org,,443,https://aeroscope.djiservice.org:443,https,Tengine,GET,163.181.92.232,/,345653727,79.133.177.230,Tengine,1,False,,text/html,,True,,,,
ag.dji.com,"DJI Agriculture - Better Growth, Better Life",200,236177,ag.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,ctls,ag.dji.com,cloudfront,443,https://ag.dji.com:443,https,nw,GET,18.66.112.34,/,700799878,2600:9000:223f:2e00:e:1faa:b300:93a1,HSTS,54,False,True,text/html,,True,,https://*.dji.com,,
ag2-api.dji.com,您所访问的页面不存在,200,24977,ag2-api.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,ag2-api.dji.com,,443,https://ag2-api.dji.com:443,https,,GET,223.4.221.70,/,-1840324437,223.4.221.70,HSTS,483,False,,text/html,,True,,trc-events.taboola.com,,
ag2.dji.com,,200,1208,agms.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,agms.dji.com,,443,https://ag2.dji.com:443,https,Tengine,GET,114.55.105.185,/,-88258409,114.55.105.185,Tengine,5,False,,text/html,https://agms.dji.com/,True,,,,
agfe.djicdn.com,,404,297,agfe.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,ctls,agfe.djicdn.com,,80,http://agfe.djicdn.com:80,http,Tengine,GET,163.181.92.226,/,1878705580,163.181.92.232,Tengine,10,False,,application/xml,https://agfe.djicdn.com/,True,,,,
agms-us.dji.com,,200,1208,agms-us.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,ctls,agms-us.dji.com,,80,http://agms-us.dji.com:80,http,Tengine,GET,163.181.56.171,/,657370677,163.181.56.170,Tengine,5,False,,text/html,https://agms-us.dji.com/,True,,,,
anime.robomaster.com,Robomasters：The Animated Series,200,2222,anime.robomaster.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T08:56:27Z,2023-06-26T08:56:27Z,CN=*.robomaster.com,*.robomaster.com,robomaster.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a39199d403c9a99b43528a50b66b16b7,7e0c1cb069e7d1f57beee4fe7df93c93e5c2b5276b818249853db13c4b945be9,ctls,anime.robomaster.com,,443,https://anime.robomaster.com:443,https,Tengine,GET,163.181.92.228,/,-978308832,163.181.92.232,Tengine,45,False,,text/html,,True,,,,
