input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,webserver,csp_domains_,final_url,tech_,cdn_name,cdn
00-elearning00000-okta-idp-assetsuction-town.web-security-academy.net,Client Error: Forbidden,403,109,,,,,,,,,,,,,,,,,,,80,http://00-elearning00000-okta-idp-assetsuction-town.web-security-academy.net:80,http,text/html,GET,34.246.129.62,/,1330636586,79.125.84.16,1,False,,,,,,,
00-elearning00000-okta-idp-assetsuction-townmanager.web-security-academy.net,Client Error: Forbidden,403,109,,,,,,,,,,,,,,,,,,,80,http://00-elearning00000-okta-idp-assetsuction-townmanager.web-security-academy.net:80,http,text/html,GET,34.246.129.62,/,1330636586,79.125.84.16,1,False,,,,,,,
00000-okta-idpsvc-legacy.web-security-academy.net,Client Error: Forbidden,403,109,00000-okta-idpsvc-legacy.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,00000-okta-idpsvc-legacy.web-security-academy.net,443,https://00000-okta-idpsvc-legacy.web-security-academy.net:443,https,text/html,GET,34.246.129.62,/,1330636586,79.125.84.16,1,False,,,,,,,
007.web-security-academy.net,Client Error: Forbidden,403,109,007.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,007.web-security-academy.net,443,https://007.web-security-academy.net:443,https,text/html,GET,34.246.129.62,/,1330636586,79.125.84.16,1,False,,,,,,,
00api-okta.ac7a1ff11fhkg2adf9hkg0fc6775005f00f0.web-security-academy.net,Client Error: Forbidden,403,109,00api-okta.ac7a1ff11fhkg2adf9hkg0fc6775005f00f0.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,00api-okta.ac7a1ff11fhkg2adf9hkg0fc6775005f00f0.web-security-academy.net,443,https://00api-okta.ac7a1ff11fhkg2adf9hkg0fc6775005f00f0.web-security-academy.net:443,https,text/html,GET,34.246.129.62,/,1330636586,79.125.84.16,1,False,True,,,,,,
01-wdps-okta-alt12id.ssl339360.web-security-academy.net,Client Error: Forbidden,403,109,01-wdps-okta-alt12id.ssl339360.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,01-wdps-okta-alt12id.ssl339360.web-security-academy.net,443,https://01-wdps-okta-alt12id.ssl339360.web-security-academy.net:443,https,text/html,GET,34.246.129.62,/,1330636586,79.125.84.16,1,False,True,,,,,,
0a07001d0365d4f282865c0b00f800d3.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a07001d0365d4f282865c0b00f800d3.web-security-academy.net:80,http,text/html,GET,79.125.84.16,/,625809182,34.246.129.62,1,False,,,,,,,
0a0a002a03d9c68681975c4800c40077.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a0a002a03d9c68681975c4800c40077.web-security-academy.net:80,http,text/html,GET,79.125.84.16,/,,34.246.129.62,1,False,,,,,,,
0a0d00d304a169a980051c1100e100f4.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a0d00d304a169a980051c1100e100f4.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a0d00d304a169a980051c1100e100f4.web-security-academy.net,443,https://0a0d00d304a169a980051c1100e100f4.web-security-academy.net:443,https,text/html,GET,79.125.84.16,/,-615546368,34.246.129.62,1,False,,,,,,,
0a12003a033a17c2c0402d1e003200ca.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a12003a033a17c2c0402d1e003200ca.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a12003a033a17c2c0402d1e003200ca.web-security-academy.net,443,https://0a12003a033a17c2c0402d1e003200ca.web-security-academy.net:443,https,text/html,GET,79.125.84.16,/,-1985223246,34.246.129.62,1,False,,,,,,,
0a1200410393bd7bc0af2a6f002a008a.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a1200410393bd7bc0af2a6f002a008a.web-security-academy.net:80,http,text/html,GET,79.125.84.16,/,,34.246.129.62,1,False,,,,,,,
0a140048047b901f801a0d5000ef003a.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a140048047b901f801a0d5000ef003a.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a140048047b901f801a0d5000ef003a.web-security-academy.net,443,https://0a140048047b901f801a0d5000ef003a.web-security-academy.net:443,https,text/html,GET,79.125.84.16,/,-1342693676,79.125.84.16,1,False,,,,,,,
0a1c000e03c81415c36eca93009c005f.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a1c000e03c81415c36eca93009c005f.web-security-academy.net:80,http,text/html,GET,34.246.129.62,/,-915434942,79.125.84.16,1,False,,,,,,,
0a1c006b04354a98c0250376003800cf.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a1c006b04354a98c0250376003800cf.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a1c006b04354a98c0250376003800cf.web-security-academy.net,443,https://0a1c006b04354a98c0250376003800cf.web-security-academy.net:443,https,text/html,GET,79.125.84.16,/,-1597760169,34.246.129.62,1,False,,,,,,,
0a2300fc0362c2ccc1c99f7a006d0076.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a2300fc0362c2ccc1c99f7a006d0076.web-security-academy.net:80,http,text/html,GET,79.125.84.16,/,848310416,34.246.129.62,1,False,,,,,,,
0a2c00860440c730c01a0db900b10090.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a2c00860440c730c01a0db900b10090.web-security-academy.net:80,http,text/html,GET,34.246.129.62,/,1151062096,79.125.84.16,1,False,,,,,,,
0a3400c003eaecee80ef671d00600099.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a3400c003eaecee80ef671d00600099.web-security-academy.net:80,http,text/html,GET,79.125.84.16,/,756305177,34.246.129.62,1,False,,,,,,,
0a3f00aa03f5e2edc0c9b2b5004b0084.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a3f00aa03f5e2edc0c9b2b5004b0084.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a3f00aa03f5e2edc0c9b2b5004b0084.web-security-academy.net,443,https://0a3f00aa03f5e2edc0c9b2b5004b0084.web-security-academy.net:443,https,text/html,GET,34.246.129.62,/,,79.125.84.16,1,False,,,,,,,
0a4500bd047b987bc04052bd0056000b.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a4500bd047b987bc04052bd0056000b.web-security-academy.net:80,http,text/html,GET,79.125.84.16,/,-220816852,79.125.84.16,1,False,,,,,,,
0a4600c604cce6ef8224838900340034.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a4600c604cce6ef8224838900340034.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a4600c604cce6ef8224838900340034.web-security-academy.net,443,https://0a4600c604cce6ef8224838900340034.web-security-academy.net:443,https,text/html,GET,79.125.84.16,/,,34.246.129.62,1,False,,,,,,,
0a4900ac04c448f7c03676090006008f.web-security-academy.net,Server Error: Gateway Timeout,504,197,,,,,,,,,,,,,,,,,,,80,http://0a4900ac04c448f7c03676090006008f.web-security-academy.net:80,http,text/html,GET,34.246.129.62,/,,34.246.129.62,1,False,,,,,,,
0a560062047aa5b6c00b1dd3002e001b.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a560062047aa5b6c00b1dd3002e001b.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a560062047aa5b6c00b1dd3002e001b.web-security-academy.net,443,https://0a560062047aa5b6c00b1dd3002e001b.web-security-academy.net:443,https,text/html,GET,34.246.129.62,/,1989494908,79.125.84.16,1,False,,,,,,,
0a5900c803e7570586b76cb9008600bd.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a5900c803e7570586b76cb9008600bd.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a5900c803e7570586b76cb9008600bd.web-security-academy.net,443,https://0a5900c803e7570586b76cb9008600bd.web-security-academy.net:443,https,text/html,GET,79.125.84.16,/,-1432641539,34.246.129.62,1,False,,,,,,,
0a5d00b20352768dc1b15cad00c2001b.web-security-academy.net,Server Error: Gateway Timeout,504,197,0a5d00b20352768dc1b15cad00c2001b.web-security-academy.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=*.web-security-academy.net,*.web-security-academy.net,*.3.h1-web-security-academy.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,693906b8f4c264ed45e86eb41dfbf385,94a3b63f74b3a7a28ffccc0d247560e603dd407cb6123036c613e307745c3da2,True,ctls,0a5d00b20352768dc1b15cad00c2001b.web-security-academy.net,443,https://0a5d00b20352768dc1b15cad00c2001b.web-security-academy.net:443,https,text/html,GET,34.246.129.62,/,1594880591,79.125.84.16,1,False,,,,,,,
