new,host,ttl,a,ns,txt,caa,status_code,has_internal_ips,internal_ips
[x],temp.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],tempvideo-mobilemaster-backups-www-test.mail.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],test198269612596-3.tu-chemniz.de,600,104.247.82.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],tor299-389-pda.www.tu-chemniz.de,3600,,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],tor61-77-vzb.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],tu-chemniz.de,60,195.46.39.1,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],ugxb.atl-prd-agg-04b.tu-chemniz.de,2204,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],upload-8.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],v1-26.emap.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],vat1.local.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],vbi-redash-na.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],web-frontend-pr-9474.tu-chemniz.de,2013,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],www.careers.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],www.dict.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],www.stura.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],www.tu-chemniz.de,3600,"13.248.158.159, 76.223.21.9","ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],yep.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],zego-qa-bo-377-add-ola-partners-landing-pa.cms.tu-chemniz.de,600,104.247.82.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
