new,host,ttl,a,ns,txt,caa,status_code,has_internal_ips,internal_ips
[x],cms.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],code.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],compute.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],conf.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],confshop.tu-chemniz.de,600,104.247.82.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],content.tu-chemniz.de,518,185.53.178.54,,v=spf1 -all,,NOERROR,,
[x],core.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,,NOERROR,,
[x],cuda-m01.tu-chemniz.de,2883,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],dashboard.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],dataa184-27-251-82.cms.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],delivery-253-eu-central-1.tu-chemniz.de,409,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],delivery-72-eu-west-1.tu-chemniz.de,3600,,,,letsencrypt.org,NOERROR,,
[x],developer.tu-chemniz.de,2384,,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],developers.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],dict.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],drupal.tu-chemniz.de,283,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],ecx-cppm-01.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],edge-iglite-p42-shv-01-hel3.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],edge-z-p3-shv-01-muc2.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],edgesnaptu-http-p2-shv-01-iad3.tu-chemniz.de,60,195.46.39.1,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],elasticbeanstalkbeta-filesstatscorporate.tu-chemniz.de,60,195.46.39.1,,,,NOERROR,,
[x],emap.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],engineering.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],epbyminsa0083.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],extbasiccnap01.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],faq.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],gsp41-e507.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],gsp78-bm23-s20.tu-chemniz.de,3600,,,v=spf1 -all,,NOERROR,,
[x],h-135-207-14-80.emap.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],h-135-207-142-43.cms.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],h-135-207-228-73.gsp78-bm23-s20.tu-chemniz.de,594,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],h-135-207-229-78.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],h-135-207-35-11.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],hostmaster.access.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.ads.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,True,127.0.0.4
[x],hostmaster.app.tu-chemniz.de,600,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.asset.tu-chemniz.de,600,127.0.0.4,,v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.assets.tu-chemniz.de,522,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.backend.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,True,127.0.0.4
[x],hostmaster.backup.tu-chemniz.de,60,195.46.39.1,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],hostmaster.beta.tu-chemniz.de,600,127.0.0.4,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,True,127.0.0.4
[x],hostmaster.blogs.tu-chemniz.de,600,127.0.0.4,,v=spf1 -all,,NOERROR,True,127.0.0.4
[x],hostmaster.build.tu-chemniz.de,600,127.0.0.4,,,,NOERROR,True,127.0.0.4
