input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_expired,tls_subject_org_,tls_subject_an_,tls_issuer_org_,tls_wildcard_certificate,csp_domains_,cdn_name,cdn,final_url
admin.range.co,Range,200,1869,admin.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,admin.range.co,443,https://admin.range.co:443,https,Range Static,text/html,GET,13.32.121.67,/,-48844432,13.32.121.103,HSTS,35,False,,,*.range.co,Amazon,True,https://s.ytimg.com,cloudfront,True,
d.sales.range.co,,204,,d.sales.range.co,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-31T17:12:43Z,2023-06-29T17:12:42Z,CN=d.sales.range.co,d.sales.range.co,"CN=R3, O=Let's Encrypt, C=US",R3,a4c64594d686bf0054c13c9345a41b06,8cc8a5690223c18c8f306c35fa714d586f3ef78534cb7761cf61e8acc97c99d7,ctls,d.sales.range.co,443,https://d.sales.range.co:443,https,,,GET,18.235.9.115,/,-1840324437,54.85.128.104,HSTS,1,False,,,d.sales.range.co,Let's Encrypt,,,,,
faq.range.co,Range Help Center,200,24609,faq.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,faq.range.co,443,https://faq.range.co:443,https,nginx,text/html,GET,13.225.78.84,/,-1840324437,13.225.78.86,Nginx,22,False,,,*.range.co,Amazon,True,https://*.intercom.com,cloudfront,True,https://faq.range.co/en/
gfx.range.co,Image Charts | Instantly create beautiful charts,200,98651,www.image-charts.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-30T20:50:12Z,2023-06-28T20:50:11Z,CN=www.image-charts.com,www.image-charts.com,"CN=R3, O=Let's Encrypt, C=US",R3,757828672e136270ab954224aa5e0a29,8530c0c0a621072bc2dd036e439f4ca2ee64ef23bddb46bde491ce98644b4f10,ctls,www.image-charts.com,443,https://gfx.range.co:443,https,,text/html,GET,13.32.99.9,/,-1515243286,13.32.99.39,Webflow,223,False,,,www.image-charts.com,Let's Encrypt,,,cloudfront,True,https://www.image-charts.com
go.range.co,404 Not Found,404,564,go.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,go.range.co,443,https://go.range.co:443,https,nginx,text/html,GET,13.32.27.109,/,1506877856,13.32.27.111,Nginx,14,False,,,*.range.co,Amazon,True,,cloudfront,True,
help.range.co,Help Center | Range,200,177218,www.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,www.range.co,443,https://help.range.co:443,https,Range Static,text/html,GET,18.66.112.49,/,41230965,18.66.112.7,webpack,3,False,,,*.range.co,Amazon,True,https://app.intercom.io,cloudfront,True,https://www.range.co/help
https://in.range.co/csp,,400,15,in.range.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,in.range.co,443,https://in.range.co:443/csp,https,,text/plain,GET,44.195.218.233,/csp,2112037956,54.211.197.30,,1,False,,,*.range.co,Amazon,True,,,,
icebreaker.range.co,Icebreaker | Over 300 Free Icebreaker Questions,200,3796,icebreaker.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,icebreaker.range.co,443,https://icebreaker.range.co:443,https,Range Static,text/html,GET,18.66.122.94,/,-178012041,18.66.122.89,HSTS,4,False,,,*.range.co,Amazon,True,https://in.range.co/csp,cloudfront,True,
imprimeriemm-2.test.oceanet.eu,403 Forbidden,403,209,imprimeriemm-2.test.oceanet.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,True,2016-12-01T10:10:55Z,2026-11-29T10:10:55Z,CN=imprimeriemm-2.pulsation.fr,imprimeriemm-2.pulsation.fr,CN=imprimeriemm-2.pulsation.fr,imprimeriemm-2.pulsation.fr,ccab1514151e8408dde6821546d793d7,1f6043e75555de57715d956d145a4c3dc41987f1f2d25528e1e6b4f6d8dd8f46,ctls,imprimeriemm-2.test.oceanet.eu,443,https://imprimeriemm-2.test.oceanet.eu:443,https,Apache,text/html,GET,84.239.65.35,/,-2034643550,84.239.65.35,Apache,10,False,,,,,,,,,
in.range.co,,200,13,in.range.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,in.range.co,443,https://in.range.co:443,https,,text/plain,GET,44.195.218.233,/,2112037956,54.211.197.30,,1,False,,,*.range.co,Amazon,True,,,,
labs.range.co,Range Labs,200,422,labs.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,labs.range.co,443,https://labs.range.co:443,https,Range Static,text/html,GET,18.66.97.93,/,-869689145,18.66.97.15,Sanity,15,False,,,*.range.co,Amazon,True,js.hscollectedforms.net,cloudfront,True,
leadtime.range.co,,409,16,,,,,,,,,,,,,,,,,,80,http://leadtime.range.co:80,http,cloudflare,text/plain,GET,104.18.23.42,/,1000520165,2606:4700::6812:172a,Cloudflare,1,False,,,,,,,cloudflare,True,
meet.range.co,Range,200,1867,meet.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,meet.range.co,443,https://meet.range.co:443,https,Range Static,text/html,GET,18.64.141.7,/,2003151670,18.64.141.77,HSTS,35,False,,,*.range.co,Amazon,True,https://googleads.g.doubleclick.net,cloudfront,True,
msteams.range.co,Range,200,1873,msteams.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,msteams.range.co,443,https://msteams.range.co:443,https,Range Static,text/html,GET,143.204.215.52,/,-565164223,143.204.215.46,HSTS,35,False,,,*.range.co,Amazon,True,https://in.range.co/csp,cloudfront,True,
mta-sts.range.co,,200,30,mta-sts.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,mta-sts.range.co,443,https://mta-sts.range.co:443,https,Range Static,text/html,GET,13.32.99.122,/,-633644759,13.32.99.106,HSTS,3,False,,,*.range.co,Amazon,True,https://i.ytimg.com,cloudfront,True,
mysql.oceanet.eu,403 Forbidden,403,202,mysql.oceanet.eu,443,True,tls10,TLS_RSA_WITH_AES_128_CBC_SHA,,True,2014-04-12T23:47:13Z,2017-07-02T21:39:24Z,"CN=*.oceanet-technology.com, OU=Provided by SSL247, O=OCEANET TECHNOLOGY, L=Saint Herblain, ST=Loire Atlantique, C=FR, serialNumber=IVb4GufOlv2XLg8gn/nn08y3/earOOHQ",*.oceanet-technology.com,"CN=GeoTrust SSL CA, O=GeoTrust\, Inc., C=US",GeoTrust SSL CA,ff7fda2b7f659277d105d507584b88e2,4b58c6d99a8f0274208c311386c724bc10ff4a3e2827d1ee7bf0cb26207b6b7d,ctls,mysql.oceanet.eu,443,https://mysql.oceanet.eu:443,https,Apache,text/html,GET,80.74.64.27,/,1493760859,80.74.64.27,Apache,9,False,True,OCEANET TECHNOLOGY,oceanet-technology.com,"GeoTrust, Inc.",True,,,,
policy.range.co,Range — Terms and Policies,200,2451,policy.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,policy.range.co,443,https://policy.range.co:443,https,Range Static,text/html,GET,18.66.97.99,/,-944386453,18.66.97.127,Sanity,81,False,,,*.range.co,Amazon,True,https://*.twitter.com,cloudfront,True,
rt.range.co,,200,16,rt.range.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,rt.range.co,443,https://rt.range.co:443,https,,text/plain,GET,44.207.253.26,/,-1489980837,3.215.241.1,,1,False,,,*.range.co,Amazon,True,,,,
seg-cdn.range.co,,404,49,seg-cdn.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,seg-cdn.range.co,443,https://seg-cdn.range.co:443,https,AmazonS3,text/plain,GET,18.66.122.99,/,138222360,18.66.122.114,Amazon Web Services,2,False,,,*.range.co,Amazon,True,,cloudfront,True,
www.oceanet.eu,403 Forbidden,403,199,www.oceanet.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,True,2013-10-09T11:57:20Z,2023-10-17T11:57:20Z,"CN=default.nbs-test.com, ST=75000, C=FR",default.nbs-test.com,"CN=default.nbs-test.com, ST=75000, C=FR",default.nbs-test.com,2e7d7f3620bdd8ed8af3d9bdcf749097,5722d495f551c4bd122da1b3c250faf826aa0387376aa92bcb0961366c69fc08,ctls,www.oceanet.eu,443,https://www.oceanet.eu:443,https,nginx,text/html,GET,185.4.44.101,/,-780928015,185.4.44.101,Varnish:6.1,8,False,,,,,,,,,
www.range.co,Range | Team Communication Software,200,220511,www.range.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-01T00:00:00Z,2023-10-02T23:59:59Z,CN=range.co,range.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,98e37b6b8f23bf2e297ea5d478185ae0,e0f68709debc812018b973443a1a605f559cadad3548a0afefa5f959d7ce1d6b,ctls,www.range.co,443,https://www.range.co:443,https,Range Static,text/html,GET,108.138.7.112,/,1186883295,108.138.7.23,webpack,1,False,,,*.range.co,Amazon,True,https://*.hubspot.com,cloudfront,True,
