new,host,a,soa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,cname,mx,ns,txt
[x],010-v3-client.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],17-58-101-14.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],336-7.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],47-66.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],avayaess3avp.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bcg3ct.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],buyingportal-fr.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],classofservice-e2e.md-in-62.hostgator.in,,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],core.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cpdev.hostgator.in,172.16.189.79,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,172.16.189.79,,,,
[x],ctds-preprod.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dav.gibo.hostgator.in,"162.215.2.16, 162.215.3.14, 162.215.3.16, 162.215.2.14","andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,"us2.dav.mailhostbox.com, us3.webmail.mailhostbox.com",,,
[x],dyzx.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],h-135-197-241-81.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],h-135-207-142-47.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],h-135-207-63-62.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],https-instabridge-com12.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],in-6.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ipv4-c003-eug001-lightspeed-isp.md-in-62.hostgator.in,,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],jhsf.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],logs.md-in-62.hostgator.in,103.53.43.36,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
