input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,cdn_name,cdn,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,final_url
api.hummingbird.co,Hummingbird,200,14274,api.hummingbird.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-21T00:00:00Z,2024-05-20T23:59:59Z,"CN=hummingbird.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",hummingbird.co,*.hummingbird.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7aef31d6402638eeba6856bdad95e1da,51ecbbcda3cb136c73e99274d6f928739deb9740478defa6c6da156500b97a73,ctls,api.hummingbird.co,443,https://api.hummingbird.co:443,https,cloudflare,text/html,GET,172.67.37.28,/,531593155,2606:4700:10::6816:137,Ruby on Rails,48,False,fonts.gstatic.com,cloudflare,True,True,,"Cloudflare, Inc.",https://api.hummingbird.co/auth/sign-in
api.sandbox.hummingbird.co,Hummingbird,200,15135,api.sandbox.hummingbird.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-04-18T23:59:59Z,"CN=hummingbird.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",hummingbird.co,hummingbird.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6978dd7972a99a32f8ef5dd8b838862a,540ffa5813be6c75174f075fec109abf742fe132027ed3f05ad1b2bfda3df5cc,ctls,api.sandbox.hummingbird.co,443,https://api.sandbox.hummingbird.co:443,https,cloudflare,text/html,GET,172.67.37.28,/,531593155,2606:4700:10::6816:37,Ruby on Rails,85,False,hummingbird.us2app.churnzero.net,cloudflare,True,,,"Cloudflare, Inc.",https://api.sandbox.hummingbird.co/auth/sign-in
api.staging.hummingbird.co,Hummingbird,200,14279,api.staging.hummingbird.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-04-18T23:59:59Z,"CN=hummingbird.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",hummingbird.co,api.staging.hummingbird.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",75d054bc28572171f59290ecf3a4b7e4,e2552109509c2868d782e5930dc5851affcdbafe45b349475d5c030c47e3be60,ctls,api.staging.hummingbird.co,443,https://api.staging.hummingbird.co:443,https,cloudflare,text/html,GET,104.22.0.55,/,531593155,2606:4700:10::ac43:251c,Ruby on Rails,48,False,fonts.gstatic.com,cloudflare,True,,,"Cloudflare, Inc.",https://api.staging.hummingbird.co/auth/sign-in
archive.docs.hummingbird.co,Password Protection,401,3551,archive.docs.hummingbird.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T22:10:07Z,2023-09-01T22:10:06Z,CN=archive.docs.hummingbird.co,archive.docs.hummingbird.co,archive.docs.hummingbird.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fe8515e9c8beb8415b62f7da423e19de,fde21e47ac7dc42d5284160144cbaa73422d4ac7d946dcb85d70d85a632ba263,ctls,archive.docs.hummingbird.co,443,https://archive.docs.hummingbird.co:443,https,Netlify,text/html,GET,35.156.224.161,/,1221297125,2a05:d014:275:cb01::c8,Netlify,134,False,,,,,,,
beta.docs.hummingbird.co,Hummingbird,200,14274,app.hummingbird.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-21T00:00:00Z,2024-05-20T23:59:59Z,"CN=hummingbird.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",hummingbird.co,*.hummingbird.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7aef31d6402638eeba6856bdad95e1da,51ecbbcda3cb136c73e99274d6f928739deb9740478defa6c6da156500b97a73,ctls,app.hummingbird.co,443,https://beta.docs.hummingbird.co:443,https,cloudflare,text/html,GET,104.18.3.117,/,819196943,2606:4700::6812:375,Ruby on Rails,48,False,fonts.gstatic.com,cloudflare,True,True,,"Cloudflare, Inc.",https://app.hummingbird.co/auth/sign-in
email.recruiting.hummingbird.co,,404,19,email.recruiting.hummingbird.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T20:25:39Z,2023-09-09T20:25:38Z,CN=email.recruiting.hummingbird.co,email.recruiting.hummingbird.co,email.recruiting.hummingbird.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,94056ae77aab984393244cb10a61f28d,32714a78b860993e61a9b215fdf48dcd16873f8dfc1a8538a06a2ce9917ecb0b,ctls,email.recruiting.hummingbird.co,443,https://email.recruiting.hummingbird.co:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,,google,True,,,,
growth.hummingbird.co,,204,,growth.hummingbird.co,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-11T19:08:51Z,2023-09-09T19:08:50Z,CN=growth.hummingbird.co,growth.hummingbird.co,growth.hummingbird.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d956333970ea745960fc963d55f284ee,3554d371aaf86c21d24da06b655f6a9ff172ee322aa5b01b4d31875f87958fbb,ctls,growth.hummingbird.co,443,https://growth.hummingbird.co:443,https,,,GET,54.144.52.150,/,-1840324437,52.54.201.11,HSTS,1,False,,,,,,,
help.hummingbird.co,General - Hummingbird Help Center,200,145913,help.hummingbird.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T03:50:16Z,2023-10-04T03:50:15Z,CN=help.hummingbird.co,help.hummingbird.co,help.hummingbird.co,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,f542e661d6581388a04760f0781e4de6,f89ab3d15c72dd9b26320192a563f6e40cbc0fabc59183080087c85bcd8ed2c7,ctls,help.hummingbird.co,443,https://help.hummingbird.co:443,https,cloudflare,text/html,GET,104.18.2.117,/,1677033242,2606:4700::6812:375,HTTP/3,1072,False,*.intercom-attachments-5.com,cloudflare,True,,,,
https://ajax.googleapis.com/ajax/libs/jquery/,Error 404 (Not Found)!!1,404,1578,ajax.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7f788b7c7e4fd6cca34ea1266e90216c,34ce8d965483353d15d17e6813cc68da1fb1b8344b5fe78e48b33f6bde169573,ctls,ajax.googleapis.com,443,https://ajax.googleapis.com:443/ajax/libs/jquery/,https,sffe,text/html,GET,172.217.16.138,/ajax/libs/jquery/,302920777,2a00:1450:4001:82a::200a,HTTP/3,12,False,,,,True,,,
https://api-iam.intercom.io/,Making Internet Business Personal | Intercom,200,938063,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,443,https://api-iam.intercom.io:443,https,nginx,text/html,GET,34.204.129.135,/,-1840324437,34.195.16.93,Nginx,12,False,epsilon-cloudfront.6sense.com,,,True,,,https://www.intercom.com/
