input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
*.chromatic.com,"Chromatic: Storybook deployment, review, and test",200,310121,www.chromatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T03:17:27Z,2023-08-10T03:17:26Z,CN=www.chromatic.com,www.chromatic.com,,www.chromatic.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3fda36357680377f38f4c3866a75f0b0,50314b15bc2de9f5c9348d4b61f58fe51496b4ecaead6debd9b0fe5a9877d1e4,,ctls,www.chromatic.com,,443,https://chromatic.com:443,https,Cowboy,text/html,GET,34.201.80.84,/,-31483516,54.91.6.89,Heroku,20,False,,,https://api-us-east-1.graphcms.com,https://www.chromatic.com/
6055632.e.smartmockups.com,404 Not Found,404,162,6055632.e.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-07T23:59:59Z,CN=l.e.smartmockups.com,l.e.smartmockups.com,,6055632.e.smartmockups.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ff74520dbe208633468930e71548deb0,ca10eb15a7e3559e4499313439d6ce4ace49c303d48e470afd716ae6776be080,,ctls,6055632.e.smartmockups.com,cloudfront,443,https://6055632.e.smartmockups.com:443,https,nginx,text/html,GET,13.32.99.109,/,190856733,2600:9000:2251:c000:6:26d7:7000:93a1,Nginx,8,False,True,,,
api.smartmockups.com,,403,23,api.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-11T23:59:59Z,CN=api.smartmockups.com,api.smartmockups.com,,api.smartmockups.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4179853bc1d6c8383d923119753439f9,9b00631c2d59ec1c7f31ccd24a719828cb41f5c7d83a04560ee4fa478ac12abb,,ctls,api.smartmockups.com,cloudfront,443,https://api.smartmockups.com:443,https,,application/json,GET,99.86.4.107,/,968070783,99.86.4.118,Amazon Web Services,1,False,True,,,
auth.smartmockups.com,Signin,200,4020,auth.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=auth.smartmockups.com,auth.smartmockups.com,,auth.smartmockups.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1c74426bae50e34aaf8e27b8273b3b28,a49890bfd4abea4f96652cdfa3b7697a361b9baabcc45c0b049528fc1b2e4b8a,,ctls,auth.smartmockups.com,cloudfront,443,https://auth.smartmockups.com:443,https,Server,text/html,GET,13.32.99.81,/,1101154029,2600:9000:2251:a400:1f:148:d600:93a1,HSTS,135,False,True,,,
beta.smartmockups.com,,404,50,beta.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2024-01-21T23:59:59Z,"CN=*.netlify.app, O=Netlify\, Inc, L=San Francisco, ST=California, C=US",*.netlify.app,"Netlify, Inc",netlify.app,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,417633b3103244c3b5c76867e4b088ec,28df772cfa74243dc43f799c904905b2525b8b50541551edcd7cd9730d114610,True,ctls,beta.smartmockups.com,google,443,https://beta.smartmockups.com:443,https,Netlify,text/plain,GET,34.141.48.9,/,-623382008,2a05:d014:275:cb01::c8,Netlify,1,False,True,True,,
blog.smartmockups.com,Create stunning product mockups easily and online - Smartmockups,200,264964,smartmockups.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-19T09:13:15Z,2023-06-17T09:13:14Z,CN=smartmockups.com,smartmockups.com,,smartmockups.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1353b832752c2b00c04ac50a03c8203c,a6aefef3f1f41ed462c6ed6bb7a8a292302feaa24cd744ef5dbf6a0d5f29bf66,,ctls,smartmockups.com,cloudflare,443,https://blog.smartmockups.com:443,https,Vercel,text/html,GET,104.18.7.251,/,1933241219,2606:4700::6812:7fb,Vercel,47,False,True,,*.chromatic.com,https://smartmockups.com
dev-api.smartmockups.com,,403,23,dev-api.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-11-10T23:59:59Z,CN=dev-api.smartmockups.com,dev-api.smartmockups.com,,dev-api.smartmockups.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,00ea7f3b08b07bb77555ba59f27cca79,5feb2fcf04721b8975f4a830b3c62ef4396e0e5467bef9cb2a6d746e40b2c19d,,ctls,dev-api.smartmockups.com,cloudfront,443,https://dev-api.smartmockups.com:443,https,,application/json,GET,18.66.97.82,/,968070783,18.66.97.38,Amazon Web Services,1,False,True,,,
help.smartmockups.com,Smartmockups | Knowledge Hub,200,14112,help.smartmockups.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-21T19:45:36Z,2023-06-19T19:45:35Z,CN=help.smartmockups.com,help.smartmockups.com,,help.smartmockups.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,02ff70ae26f7c599138ee01e40c58755,625d80a2536e44c82fd5ca4e7b23d0e8fda92f933eec5d7405011fdfc5df4aa5,,ctls,help.smartmockups.com,,443,https://help.smartmockups.com:443,https,openresty,text/html,GET,34.225.25.191,/,-1530239662,3.218.35.185,Scala,331,False,,,,
images-mockups-private.smartmockups.com,,403,16,images-mockups-private.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",577aae30e95ec910a9b089d63ca9c87d,d6c6837964f052d375861a5fe76bb0dc351f6be39e05559bc70db60eb4c27c1b,True,ctls,images-mockups-private.smartmockups.com,cloudflare,443,https://images-mockups-private.smartmockups.com:443,https,cloudflare,text/plain,GET,104.18.7.251,/,1253481126,2606:4700::6812:6fb,Cloudflare,1,False,True,,,
images-public.smartmockups.com,"imgix - Image Processing On-Demand, Served By CDN",200,3811,images-public.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",577aae30e95ec910a9b089d63ca9c87d,d6c6837964f052d375861a5fe76bb0dc351f6be39e05559bc70db60eb4c27c1b,True,ctls,images-public.smartmockups.com,cloudflare,443,https://images-public.smartmockups.com:443,https,cloudflare,text/html,GET,104.18.6.251,/,285775083,2606:4700::6812:6fb,Cloudflare,53,False,True,,,
l.e.smartmockups.com,404 Not Found,404,564,l.e.smartmockups.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-07T23:59:59Z,CN=l.e.smartmockups.com,l.e.smartmockups.com,,6055632.e.smartmockups.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ff74520dbe208633468930e71548deb0,ca10eb15a7e3559e4499313439d6ce4ace49c303d48e470afd716ae6776be080,,ctls,l.e.smartmockups.com,cloudfront,443,https://l.e.smartmockups.com:443,https,nginx,text/html,GET,13.32.99.126,/,1506877856,2600:9000:2251:5e00:6:26d7:7000:93a1,Nginx,14,False,True,,,
smartmockups.com,Create stunning product mockups easily and online - Smartmockups,200,264964,smartmockups.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-19T09:13:15Z,2023-06-17T09:13:14Z,CN=smartmockups.com,smartmockups.com,,smartmockups.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1353b832752c2b00c04ac50a03c8203c,a6aefef3f1f41ed462c6ed6bb7a8a292302feaa24cd744ef5dbf6a0d5f29bf66,,ctls,smartmockups.com,,443,https://smartmockups.com:443,https,Vercel,text/html,GET,76.76.21.21,/,670157159,76.76.21.21,Vercel,47,False,,,*.chromatic.com,
www.smartmockups.com,Create stunning product mockups easily and online - Smartmockups,200,264964,smartmockups.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-19T09:13:15Z,2023-06-17T09:13:14Z,CN=smartmockups.com,smartmockups.com,,smartmockups.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1353b832752c2b00c04ac50a03c8203c,a6aefef3f1f41ed462c6ed6bb7a8a292302feaa24cd744ef5dbf6a0d5f29bf66,,ctls,smartmockups.com,,443,https://www.smartmockups.com:443,https,Vercel,text/html,GET,76.76.21.93,/,670157159,76.76.21.123,Vercel,47,False,,,*.chromatic.com,https://smartmockups.com/
