input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_
*.intercom-sheets.com,Making Internet Business Personal | Intercom,200,941414,sjs.bizographics.com,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom-sheets.com:443,https,nginx,text/html,GET,3.222.214.125,/,-1840324437,https://www.intercom.com/,44.193.135.177,React,12,False,,,
*.sanity.studio,,400,43,,sanity.studio,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-21T21:09:07Z,2023-10-19T21:09:06Z,CN=sanity.studio,sanity.studio,sanity.studio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,67d57fe425a9c0a909d2f5d70038d726,0b3bd097de2f6b54a3a4259ece3cc6ce3e902e854d1602b0fe73fcc77eaa7617,True,ctls,sanity.studio,google,443,https://sanity.studio:443,https,,,GET,130.211.18.97,/,129555362,,130.211.18.97,HTTP/3,1,False,True,,
1password-scim.infra.coda.io,1Password SCIM Bridge Login,200,1164,,1password-scim.infra.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-12-01T23:59:59Z,CN=infra.coda.io,infra.coda.io,*.infra.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bbad0f8e3ce2529774bb1eed27145b84,35e246b91f6457040e8e19482d07349a4670376cff013610be997fb566fc4496,True,ctls,1password-scim.infra.coda.io,,443,https://1password-scim.infra.coda.io:443,https,,text/html,GET,54.69.68.118,/,104012657,,35.167.2.38,,34,False,,,
adhoc.coda.io,,200,61,,adhoc.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-08T00:00:00Z,2024-08-05T23:59:59Z,CN=adhoc.coda.io,adhoc.coda.io,*.adhoc.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,20f3aa4b1bb1a4caafcc730d4269c692,f7e86414ff707609eac70e580aa95342116ef4ea79c33b3d1ad613b8c2fa1b64,True,ctls,adhoc.coda.io,,443,https://adhoc.coda.io:443,https,openresty/1.21.4.2,text/html,GET,52.89.25.142,/,282114877,,35.83.84.30,OpenResty:1.21.4.2,8,False,,,
admin.staging.coda.io,"Coda Project, Inc - Sign In",200,21471,fonts.gstatic.com,coda.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,True,ctls,coda.okta.com,,443,https://admin.staging.coda.io:443,https,nginx,text/html,GET,34.218.213.94,/,125528688,https://coda.okta.com/app/coda_codaadminstaging_1/exkcmtdu9ShjjnXuW2p6/sso/saml?SAMLRequest=nVPBctowEP0Vj%2B7YFpSUaIAMhemUmbT1gJt2emEUaQlKLMnVyjH5%2B8oGJxwSDlys0e7Te7tv1%2BObvS6iZ3CorJkQGqfkZjpGrouSzSq%2FMyv4VwH6KMAMsjYxIZUzzHJUyAzXgMwLtp59v2X9OGWls94KW5BouZiQzXDIKR1ut4IKMbqSn8ToHkh01wmGFwGIWMHSoOfGh1DaH%2FTSUS%2BlOf3M%2BgOW0viaDv6SKDtSf1FGKvNwvo77AwjZtzzPetnPdU6iRehEGe5b6Z33JbIkEVby2D55HgurE16WbWTTfLjUqinrIRBtaAL7J6G9rK7Xu8dH86f63S%2BvEkSbNLaQaIYIruGeW4OVBrcG96wE%2FFrdvqm1lPGRM261lU0KG64HmoP7rPXEndh%2BvlveaZNpoxSE6rp%2B6%2Bq9ysfJiVA38x%2BBebnIbKHEyyUz%2F2qd5v5jNI1pG1Gyt22hDDRXxUxKB4jBw6Kw9dwB9zAh3lVAkq604yaCbPcyeOxhf9Fezq0uuVPYLAHsufCd56fE8yJYuoLtJRM4CxNMNNQhnIWjtk42aw0iNJY7brC0zh9H814900PuAztes6f%2F7vQ%2F,44.235.205.80,Nginx,496,False,,,"Okta, Inc."
airflow-head.data.coda.io,Sign In - Airflow,200,17842,,airflow-head.data.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-10-14T23:59:59Z,CN=data.coda.io,data.coda.io,*.data.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,aa496f49adb77082550d74cc3bda900c,f1e96c7628e862e0488528f60e81b05cbc9413fb78dcb29fef966a233cef9b67,True,ctls,airflow-head.data.coda.io,,443,https://airflow-head.data.coda.io:443,https,gunicorn,text/html,GET,34.208.251.213,/,888856922,https://airflow-head.data.coda.io/login/?next=https%3A%2F%2Fairflow-head.data.coda.io%2Fhome,34.214.49.230,gunicorn,351,False,,,
airflow-staging.data.coda.io,Sign In - Airflow,200,17842,,airflow-staging.data.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-10-14T23:59:59Z,CN=data.coda.io,data.coda.io,*.data.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,aa496f49adb77082550d74cc3bda900c,f1e96c7628e862e0488528f60e81b05cbc9413fb78dcb29fef966a233cef9b67,True,ctls,airflow-staging.data.coda.io,,443,https://airflow-staging.data.coda.io:443,https,gunicorn,text/html,GET,44.239.122.221,/,888856922,https://airflow-staging.data.coda.io/login/?next=https%3A%2F%2Fairflow-staging.data.coda.io%2Fhome,35.167.101.230,gunicorn,351,False,,,
bazel-cache.dev-infra.coda.io,,401,17,,bazel-cache.dev-infra.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=dev-infra.coda.io,dev-infra.coda.io,*.dev-infra.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f43ac29f496f3772372c33e9e342d74c,1c8f7cee07d3185899751c503ab6106eee655e7b620060836ce744908c6459a8,True,ctls,bazel-cache.dev-infra.coda.io,,443,https://bazel-cache.dev-infra.coda.io:443,https,,text/plain,GET,35.81.106.41,/,797663971,,54.149.193.228,Basic,2,False,,,
blog.coda.io,"The Coda blog: Stories, insights, and the future of work",200,515361,https://cdn.sanity.io,coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-08-10T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ba620e03a8f0233b6d69e302190c44d6,a837a9f09bef3b29f74807d679f1d31464dfaedb1982005a598563716c671311,True,ctls,coda.io,cloudfront,443,https://blog.coda.io:443,https,CloudFront,text/html,GET,108.156.60.75,/,-1840324437,https://coda.io/blog,108.156.60.122,Sanity,2828,False,True,,
blog.head.coda.io,,404,68,https://head.codahosted.io,head.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T00:00:00Z,2024-07-25T23:59:59Z,CN=head.coda.io,head.coda.io,*.head.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9c8bcb651d6e526980e8fee7a2429081,cd7783f4a25379cc4445d135577d13a46c4ce1312e83203190ebb210feee4dbe,True,ctls,head.coda.io,cloudfront,443,https://blog.head.coda.io:443,https,CloudFront,application/json,GET,52.222.139.42,/,-1840324437,https://head.coda.io/blog,52.222.139.107,Sanity,1,False,True,,
