new,host,a,soa,status_code,cdn,cdn-name,ns,aaaa,cname,txt,mx,caa
[x],17-58-97-83.dev.atg.se,,"ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],a-96-118-1-9.dev.atg.se,"143.204.215.51, 143.204.215.6, 143.204.215.2, 143.204.215.79","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],acc.suppliers.atg.se,185.134.13.20,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,
[x],acceptfrancisationenligne.dev.atg.se,"18.244.102.30, 18.244.102.59, 18.244.102.46, 18.244.102.31","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],adminalpha.dev.atg.se,"143.204.215.51, 143.204.215.79, 143.204.215.2, 143.204.215.6","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],administrator.suppliers.atg.se,185.134.13.20,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,
[x],adminmach131-87-141-74.dev.atg.se,"108.156.60.22, 108.156.60.29, 108.156.60.13, 108.156.60.71","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],ads.suppliers.atg.se,185.134.13.20,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,
[x],api-live.dev.atg.se,"13.226.153.91, 13.226.153.39, 13.226.153.21, 13.226.153.28","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],assetsadmin-vps-corporate-gitvpn.dev.atg.se,"18.244.102.31, 18.244.102.30, 18.244.102.59, 18.244.102.46","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],aws.dev.atg.se,"143.204.215.6, 143.204.215.51, 143.204.215.79, 143.204.215.2","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],backoffice.hastsportenshus.atg.se,20.52.182.15,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,"backoffice-goto.msappproxy.net, 9ea3d2f7-a925-4dbe-9b0c-b6005d536673.tenant.runtime.msappproxy.net, cwap-eur2-runtime.routing.msappproxy.net, eur.proxy-2.appproxy.msidentity.com, www.tm.eur.proxy-2.appproxy.trafficmanager.net",,,
[x],backupweb-temp-v1-sales.dev.atg.se,"13.249.9.53, 13.249.9.32, 13.249.9.123, 13.249.9.19","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],bc1qr4d.dev.atg.se,"13.249.9.123, 13.249.9.19, 13.249.9.53, 13.249.9.32","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],bcg3cn.dev.atg.se,"143.204.215.79, 143.204.215.6, 143.204.215.2, 143.204.215.51","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],beta-uhilhpa85.dev.atg.se,"108.156.60.13, 108.156.60.22, 108.156.60.71, 108.156.60.29","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],bid46g9.dev.atg.se,"99.84.208.98, 99.84.208.71, 99.84.208.21, 99.84.208.45","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],chcssd3.dev.atg.se,,"ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
[x],classic.dev.atg.se,"13.226.153.39, 13.226.153.91, 13.226.153.21, 13.226.153.28","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
