input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,tls_subject_org_
acceptfrancisationenligne.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://acceptfrancisationenligne.dev.atg.se:443,https,Server,text/html,GET,143.204.215.79,/,-2085776391,143.204.215.6,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
aws.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://aws.dev.atg.se:443,https,Server,text/html,GET,65.9.95.58,/,744662905,65.9.95.116,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
backoffice.hastsportenshus.atg.se,Sign in to your account,200,202766,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,azure,80,http://backoffice.hastsportenshus.atg.se:80,http,,text/html,GET,20.52.182.15,/,,20.52.182.15,HSTS,174,False,True,,https://login.microsoftonline.com/9ea3d2f7-a925-4dbe-9b0c-b6005d536673/oauth2/authorize?response_type=id_token&client_id=7f839d41-218d-46e4-afa1-1416d8ad58bd&scope=openid&nonce=4e71138d-6950-4c81-87e7-ac9ac3a4f01a&response_mode=form_post&redirect_uri=https%3a%2f%2fbackoffice.hastsportenshus.atg.se%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fbackoffice.hastsportenshus.atg.se%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%228c574528-8b40-4923-ac61-23bf86137262%22%7d%23EndOfStateParam%23,Microsoft Corporation
backupweb-temp-v1-sales.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://backupweb-temp-v1-sales.dev.atg.se:80,http,Server,text/html,GET,65.9.95.58,/,1709082574,65.9.95.111,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
bcg3cn.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://bcg3cn.dev.atg.se:80,http,Server,text/html,GET,143.204.215.51,/,1881534959,143.204.215.79,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
beta-uhilhpa85.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://beta-uhilhpa85.dev.atg.se:80,http,Server,text/html,GET,143.204.215.6,/,118126541,143.204.215.2,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
dayg.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://dayg.dev.atg.se:80,http,Server,text/html,GET,143.204.215.79,/,-493156743,143.204.215.6,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
demo-gcppostgresql-db2-corp.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://demo-gcppostgresql-db2-corp.dev.atg.se:443,https,Server,text/html,GET,65.9.95.116,/,-385211265,65.9.95.111,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
devusers.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,80,http://devusers.dev.atg.se:80,http,Server,text/html,GET,143.204.215.2,/,1655856447,143.204.215.51,HSTS,163,False,True,True,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,
dmh-dev.aws.atg.se,,200,,dmh-dev.aws.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-05-04T23:59:59Z,CN=dmh-dev.aws.atg.se,dmh-dev.aws.atg.se,dmh-dev.aws.atg.se,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bcbd5599d687189a68091e986b7765b9,ff6812625e57c56c309c50b816c9eb644cfe845876b506effe1908ec1fd9e386,ctls,dmh-dev.aws.atg.se,cloudfront,80,http://dmh-dev.aws.atg.se:80,http,Apache,text/html,GET,52.222.236.31,/,-1840324437,2600:9000:223e:a400:b:6609:780:93a1,Apache,1,False,True,,https://dmh-dev.aws.atg.se/,
