new,host,ttl,soa,status_code,a,cname,aaaa,ns,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,caa
[x],3001-01.vienna-qa-prtg.playtech.com,86400,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,212.166.106.74,,,,,,,,,,
[x],3001.vienna-qa-prtg.playtech.com,43200,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,,,,,,,,,,,
[x],3002-01.vienna-qa-prtg.playtech.com,3600,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,,,,,,,,,,,
[x],_spf0.playtech.com,1081,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,,,,,,,,,,,
[x],admin.ibcdemo.playtech.com,3600,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,,,,,,,,,,,
[x],admin1.playtech.com,900,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,69.50.71.12,,,,,,,,,,
[x],admin2.playtech.com,3600,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,,,,,,,,,,,
[x],agent.ibcdemo.playtech.com,900,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,178.255.12.225,,,,,,,,,,
[x],aovpn.playtech.com,28800,"{'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}, {'name': 'playtech.com', 'ns': 'pdns1.ultradns.net', 'mailbox': 'dns.playtech.com', 'serial': 2017013726, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 43200}",NOERROR,176.113.94.168,,,,,,,,,,
[x],api.marketplace.playtech.com,300,"{'name': 'd1t085uw8calxi.cloudfront.net', 'ns': 'ns-376.awsdns-47.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"18.66.122.56, 18.66.122.94, 18.66.122.66, 18.66.122.9",d1t085uw8calxi.cloudfront.net,,"ns-1444.awsdns-52.org, ns-1889.awsdns-44.co.uk, ns-376.awsdns-47.com, ns-622.awsdns-13.net",True,cloudfront,,,,,
