new,host,a,mx,soa,ns,txt,status_code,aaaa,cname,has_internal_ips,internal_ips,cdn,cdn-name,caa
[x],billing-systems.localhost.gulp.ch,"54.195.118.103, 52.48.213.67, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
[x],contacts.dev.gulp.de,"54.194.48.249, 108.128.129.96, 3.250.250.230",,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,,"owncloud.dev.gulp.de, owncloud-2017990434.eu-west-1.elb.amazonaws.com",,,,,
[x],elastic.prod.gulp.de,"10.10.21.150, 10.10.23.247, 10.10.22.209",,"ns-1465.awsdns-55.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,"10.10.21.150, 10.10.23.247, 10.10.22.209",,,
[x],elasticbeanstalklegacy-apius.localhost.gulp.ch,"52.16.150.197, 54.195.118.103, 52.48.213.67",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
[x],ilo-nhhuducs1-23.gulp.ch,"52.48.213.67, 54.195.118.103, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
[x],lef5-2-seb.direkt.gulp.ch,"54.195.118.103, 52.48.213.67, 52.16.150.197",,"ns-818.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,,www.gulp.ch,,,,,
[x],msp-redis.dev.gulp.de,172.31.4.170,,"ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com",,,NOERROR,,"tf-msp-dev-redis.4pxqse.ng.0001.euw1.cache.amazonaws.com, tf-msp-dev-redis-001.4pxqse.0001.euw1.cache.amazonaws.com",True,172.31.4.170,,,
[x],msp-redis.prod.gulp.de,10.10.21.222,,"ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com",,,NOERROR,,"tf-msp-prod-redis.ysev9n.ng.0001.euw1.cache.amazonaws.com, tf-msp-prod-redis-001.ysev9n.0001.euw1.cache.amazonaws.com",True,10.10.21.222,,,
[x],oracle.test.gulp.de,172.31.7.215,,"ns-1705.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,172.31.7.215,,,
[x],www.test.gulp.de,172.31.17.30,,"ns-1705.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,172.31.17.30,,,
