input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,final_url,csp_domains_,tls_subject_org_,tls_mismatched
*.ads.linkedin.com,LinkedIn Ads: Targeted Self-Serve Ads,200,191157,business.linkedin.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2024-10-31T00:00:00Z,2025-04-30T23:59:59Z,"CN=afd.microsites.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",afd.microsites.linkedin.com,www.developer.linkedin.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,49ecbf90e1e9f881b35a79356cd5bef6,3ec50772e6327bf34f2347d0089c61cd8b1db80ab0acee36b09324fb0448473a,,ctls,business.linkedin.com,,443,https://ads.linkedin.com,https,,text/html,GET,144.2.14.25,/,/sc/h/413gphjmquu9edbn2negq413a,2620:119:50e5:101::9002:c19,Java,1635,False,,other,0,1100845724,https://business.linkedin.com/marketing-solutions/ads,cdn.walkme.com,LinkedIn Corporation,
*.getgist.com,"All-in-One Email Marketing Automation, Live Chat, & Help Desk Software",200,158454,getgist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-17T05:37:11Z,2025-04-17T06:37:02Z,CN=getgist.com,getgist.com,*.getgist.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,6e09479e4cff778d0e5d7d491799aea5,ad9b44456970a95a344be6b424c0f9cf04ffc6ed65508fa0783afc6d8d8fd44f,True,ctls,getgist.com,cloudflare,443,https://getgist.com,https,cloudflare,text/html,GET,104.26.13.172,/,/wp-content/themes/convertfox/assets/favicon/apple-touch-icon.png,2606:4700:20::681a:dac,Yoast SEO:24.4,2420,False,True,other,0,2100452479,,,,
*.hotjar.com,Hotjar: Website Heatmaps & Behavior Analytics Tools,200,316312,www.hotjar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-24T00:00:00Z,2025-09-21T23:59:59Z,CN=*.hotjar.com,*.hotjar.com,hotjar.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,8f0136b31c27ac67c6dfb6dd57a892ed,418f3f14767d2306391137b13cf129c3036a6aefb7dd191dabcefc55c1b02fab,True,ctls,www.hotjar.com,,443,https://hotjar.com,https,,text/html,GET,3.167.227.101,/,/images/touch-icon-192x192.png,3.167.227.24,Webpack,701,False,,other,0,139473036,https://www.hotjar.com/,,,
*.spotlightr.com,Video hosting for course creators and e-learning,200,31232,spotlightr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2025-01-30T22:19:06Z,2025-04-30T22:19:05Z,CN=spotlightr.com,spotlightr.com,www.spotlightr.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,02d3e82067ef2a437eb02317519a1267,366b2814521e97de6f7ce20590444ea8b462383d23164ed0b56372ae988ce56f,,ctls,spotlightr.com,,443,https://spotlightr.com,https,Apache/2.4.29 (Ubuntu),text/html,GET,161.35.106.81,/,/favicon.ico,161.35.106.81,WordPress,548,False,,other,0,-1588522332,,,,
accounts.companyhub.com,CompanyHub,200,24483,accounts.companyhub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-15T07:02:32Z,2025-04-15T08:02:07Z,CN=companyhub.com,companyhub.com,*.companyhub.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,e38e0149b0a374d9231091900d5878df,88272771f15e4b66560e75077e3207701f09c1d3a1a6e224c9d2828e12b276e3,True,ctls,accounts.companyhub.com,cloudflare,443,https://accounts.companyhub.com,https,cloudflare,text/html,GET,104.26.10.212,/,/favicon.ico,2606:4700:20::ac43:44d5,Linkedin Ads,558,False,True,nonerror,0,-987236633,https://accounts.companyhub.com/auth/credentials/login?ReturnUrl=%2f,buy.paddle.com,,
analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:36Z,2025-04-21T08:35:35Z,CN=*.google.com,*.google.com,*.developers.google.cn,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,2d4be8c378e3011e2e4d07392b9dc2d9,e5f128dd590140b99c51dd70fc6eab89dce8b60d54f1a0c273694c890035982b,True,ctls,analytics.google.com,google,443,https://analytics.google.com,https,ESF,text/html,GET,216.239.32.181,/,/favicon.ico,2001:4860:4802:36::181,HTTP/3,1,False,True,other,0,,https://analytics.google.com/analytics/web/,http:,,
api-iam.intercom.io,"Customer messaging apps for sales, marketing, and support",404,247876,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-15T00:00:00Z,2026-01-14T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,6b8dbe561b9f0cae1b4af750e28fda60,51adee3fcf0ce0cffa6c62ba1ac318ff7b5682f5b70ab4debfc70312c8188272,True,ctls,www.intercom.com,,443,https://api-iam.intercom.io,https,nginx,text/html,GET,44.205.182.119,/,/xny2w179f4ki/2c7CrUnhSbJDC0VDyO4yn/7c86bd93ffc6444bd2104a0affa96498/favicon.png,18.211.191.12,Nginx,40,False,,other,0,-1735989258,https://www.intercom.com/admins/sign_in,tracking.chilipiper.com,,
api.companyhub.com,CompanyHub,200,24483,accounts.companyhub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-15T07:02:32Z,2025-04-15T08:02:07Z,CN=companyhub.com,companyhub.com,*.companyhub.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,e38e0149b0a374d9231091900d5878df,88272771f15e4b66560e75077e3207701f09c1d3a1a6e224c9d2828e12b276e3,True,ctls,accounts.companyhub.com,cloudflare,443,https://api.companyhub.com,https,cloudflare,text/html,GET,172.67.68.213,/,/favicon.ico,2606:4700:20::681a:bd4,Linkedin Ads,558,False,True,nonerror,0,-987236633,https://accounts.companyhub.com/auth/credentials/login?returnUrl=/,*.hotjar.io,,
api.indicative.com,Error 404 Not Found,404,1318,api.indicative.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-29T19:24:05Z,2025-03-29T20:19:00Z,CN=api.indicative.com,api.indicative.com,api-shared.indicative.com,"CN=WR3, O=Google Trust Services, C=US",WR3,Google Trust Services,a038b297bf2b56b0a9393e7c262d988d,b557952e7260ab3ce6826f0e10f2081e51605a9b03295261cc4aeab5ed2d68c9,,ctls,api.indicative.com,google,443,https://api.indicative.com,https,,text/html,GET,34.98.104.50,/,/favicon.ico,2600:1901:0:cdcd::,HTTP/3,31,False,True,error,0,,,,,
api.spotlightr.com,,200,9,api.spotlightr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2024-07-05T00:00:00Z,2025-08-05T23:59:59Z,CN=*.spotlightr.com,*.spotlightr.com,spotlightr.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,6b134d06b9e10f5e8e6cfd164f7a68bb,47745342fb66be897942e6f25b3b503d49dfee7f836982848788163d452045f8,True,ctls,api.spotlightr.com,,443,https://api.spotlightr.com,https,Apache/2.4.18 (Ubuntu),application/json,GET,208.68.36.121,/,/favicon.ico,208.68.36.121,Ubuntu,1,False,,nonerror,0,,,,,
