new,host,ttl,a,aaaa,mx,soa,ns,status_code,has_internal_ips,internal_ips
[x],api.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],companyhub.com,300,"104.26.10.212, 172.67.68.213, 104.26.11.212","2606:4700:20::681a:bd4, 2606:4700:20::ac43:44d5, 2606:4700:20::681a:ad4","aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","{'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'companyhub.com', 'ns': 'barbara.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357317479, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","barbara.ns.cloudflare.com, cosmin.ns.cloudflare.com",NOERROR,,
[x],dev.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],local.klascement.net,3600,127.0.0.1,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,True,127.0.0.1
[x],mail.klascement.net,3600,83.217.72.248,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],mysql.klascement.net,3600,83.217.72.245,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-admin.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-api.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-dev.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-developers.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-local.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-mail.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-mysql.klascement.net,1800,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stage-www.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stageapi.klascement.net,3600,,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
[x],portal-us-stagedev.klascement.net,60,217.19.231.100,,,"{'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}, {'name': 'klascement.net', 'ns': 'ns3.combell.net', 'mailbox': 'hostmaster.klascement.net', 'serial': 1729068696, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 40000}",,NOERROR,,
