input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,tls_mismatched,cdn_name,cdn,csp_domains_,final_url,tls_expired
sngremote.blackrock.com,Citrix Gateway,200,43784,sngremote.blackrock.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-05-24T15:13:27Z,2023-06-18T15:13:27Z,"CN=remote.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",remote.blackrock.com,"BlackRock Financial Management, Inc.",sydremote.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",53ff428fa95060006841fab112e3f50a,1ffe47d4e7655d9598bd49aa881d0a98906532308fa8bd154d34a6ebb39a0255,,ctls,sngremote.blackrock.com,443,https://sngremote.blackrock.com:443,https,Apache,text/html,GET,69.52.143.68,/,12023395,69.52.143.68,725,False,HSTS,,,,,https://sngremote.blackrock.com/logon/LogonPoint/index.html,
sngremote.glbext.blackrock.com,Citrix Gateway,200,44389,sngremote.glbext.blackrock.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-05-24T15:13:27Z,2023-06-18T15:13:27Z,"CN=remote.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",remote.blackrock.com,"BlackRock Financial Management, Inc.",sydremote.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",53ff428fa95060006841fab112e3f50a,1ffe47d4e7655d9598bd49aa881d0a98906532308fa8bd154d34a6ebb39a0255,,ctls,sngremote.glbext.blackrock.com,443,https://sngremote.glbext.blackrock.com:443,https,Apache,text/html,GET,69.52.144.68,/,12023395,69.52.144.68,718,False,HSTS,True,,,,https://sngremote.glbext.blackrock.com/logon/LogonPoint/index.html,
sourcedefense.blackrock.com,Error,404,149,sourcedefense.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-01-14T23:59:59Z,"CN=*.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",*.blackrock.com,BlackRock Financial Management Inc.,blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3f153ed05547475596eb1c95359331c9,6acfa69ff787f3aa3cdb07f7161e1ec4cc7dd33d62ce70602d4571337ef73488,True,ctls,sourcedefense.blackrock.com,443,https://sourcedefense.blackrock.com:443,https,,text/html,GET,184.30.220.126,/,-187717024,184.30.220.126,11,False,Amazon Web Services,,,,https://sourcedefense.blackrock.com/jEqj/ONv3/9Q/TKdP/Oerg/zYtiwmNQhD/c3wnAQ/WwMvI/AUPZlo,,
sra-aladdinwealth.blackrock.com,,401,5979,sra-aladdinwealth.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-01-14T23:59:59Z,"CN=*.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",*.blackrock.com,BlackRock Financial Management Inc.,blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3f153ed05547475596eb1c95359331c9,6acfa69ff787f3aa3cdb07f7161e1ec4cc7dd33d62ce70602d4571337ef73488,True,ctls,sra-aladdinwealth.blackrock.com,443,https://sra-aladdinwealth.blackrock.com:443,https,akamai/nginx,text/html,GET,184.30.220.126,/,1599100319,184.30.220.126,131,False,Nginx,,,,,,
sra-aladdinwealth.login.blackrock.com,,200,1641,sra-aladdinwealth.login.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T09:59:46Z,2023-10-20T09:59:46Z,"CN=*.login.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",*.login.blackrock.com,"BlackRock Financial Management, Inc.",login.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8cf75f7b67fc3d2af092d49a7845c030,3adfda34417db4579675c3194c6d4ce44f54e051a7f1402d9979a9bf40518292,True,ctls,sra-aladdinwealth.login.blackrock.com,443,https://sra-aladdinwealth.login.blackrock.com:443,https,akamai/nginx,text/html,GET,35.174.232.233,/,-2136522562,35.174.232.233,8,False,Nginx,,,,,,
storytelling.blackrock.com,,503,,storytelling.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-01-14T23:59:59Z,"CN=*.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",*.blackrock.com,BlackRock Financial Management Inc.,blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3f153ed05547475596eb1c95359331c9,6acfa69ff787f3aa3cdb07f7161e1ec4cc7dd33d62ce70602d4571337ef73488,True,ctls,storytelling.blackrock.com,443,https://storytelling.blackrock.com:443,https,awselb/2.0,text/plain,GET,23.201.241.164,/,-1840324437,2a02:26f0:480:5b2::1542,1,False,Akamai Bot Manager,,,,,,
sygvpn.blackrock.com,,200,315,sygvpn.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-27T13:16:30Z,2027-02-10T20:53:53Z,"CN=sg5vpn.blackrock.com, OU=TI, O=BlackRock, C=US",sg5vpn.blackrock.com,BlackRock,remotevpn.blackrock.com,"CN=Corporate Device CA, O=BlackRock Inc., C=US",Corporate Device CA,BlackRock Inc.,12b6409ad766ca016c17d9add205047b,3c0191cadd28476b64d92e9bb1ade7b983f77ed5e7c88ba0570ca52622a42419,,ctls,sygvpn.blackrock.com,443,https://sygvpn.blackrock.com:443,https,,text/html,GET,69.52.144.20,/,-1840324437,69.52.144.20,9,False,HSTS,True,,,,,
test-aladdin-login.blackrock.com,aladdin-preview - Sign In,200,12462,test-aladdin-login.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-30T23:09:43Z,2023-07-29T23:09:42Z,CN=test-aladdin-login.blackrock.com,test-aladdin-login.blackrock.com,,test-aladdin-login.blackrock.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fca37aaf2b67bac1033cb2785a26f236,389d87fc4afaa338d43f3bac7294ee482cf76178a877c610e8b09e4eb091e871,,ctls,test-aladdin-login.blackrock.com,443,https://test-aladdin-login.blackrock.com:443,https,nginx,text/html,GET,13.248.244.122,/,-599803935,76.223.106.8,271,False,Nginx,,,,,,
test-at.blackrock.com,,503,3131,test3.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-26T23:59:59Z,"CN=test3.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",test3.blackrock.com,BlackRock Financial Management Inc.,test3.blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a57eced3a4979326c263135b17a710d6,39fc1ec4fa6bad7ed04c7baa798a954a3112c317e3bceb46931b7d0678d40cd9,,ctls,test3.blackrock.com,443,https://test-at.blackrock.com:443,https,,text/html,GET,104.79.16.223,/,-318718116,104.79.16.223,135,False,,,,,,https://test3.blackrock.com/at/,
test-ca.blackrock.com,,503,3131,test3.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-26T23:59:59Z,"CN=test3.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",test3.blackrock.com,BlackRock Financial Management Inc.,test3.blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a57eced3a4979326c263135b17a710d6,39fc1ec4fa6bad7ed04c7baa798a954a3112c317e3bceb46931b7d0678d40cd9,,ctls,test3.blackrock.com,443,https://test-ca.blackrock.com:443,https,,text/html,GET,23.201.241.164,/,-318718116,23.201.241.164,135,False,,,,,,https://test3.blackrock.com/ca/,
