input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,tech_,cdn_name,cdn,final_url
akamai.indriver.com,inDriver. Offer your fare,200,16099,akamai.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,akamai.indriver.com,443,https://akamai.indriver.com:443,https,nginx,text/html,GET,23.109.150.21,/,566218143,23.109.150.21,1,False,True,webpack,,,
apple.indriver.com,Error 403,403,14695,apple.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,apple.indriver.com,443,https://apple.indriver.com:443,https,nginx/1.20.1,text/html,GET,188.42.196.189,/,-1655655656,188.42.196.15,372,False,True,Nginx:1.20.1,,,
auth.indriver.com,,404,48,auth.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,auth.indriver.com,443,https://auth.indriver.com:443,https,nginx,text/html,GET,23.109.150.17,/,1494302000,23.109.150.18,1,False,True,Nginx,,,
book.indriver.com,inDriver. От Якутска до Кремниевой долины,200,19364,book.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,book.indriver.com,443,https://book.indriver.com:443,https,nginx,text/html,GET,23.109.150.17,/,566218143,23.109.150.16,346,False,True,Nginx,,,
cargo.indriver.com,Loading...,200,67522,cargo.indrive.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T14:15:29Z,2023-08-10T14:15:28Z,CN=cargo.indrive.com,cargo.indrive.com,cargo.indrive.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a835382f1f9ba43f221f4afd99092013,d14e73aea9d5dcf905f0e9674f7f82625186839de09cb00f62b6699b2e5a5c7a,ctls,cargo.indrive.com,443,https://cargo.indriver.com:443,https,QRATOR,text/html,GET,23.109.150.17,/,,23.109.150.18,8,False,,webpack,,,https://cargo.indrive.com/
classified.indriver.com,404 Not Found,404,548,classified.indriver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T08:16:05Z,2023-07-22T08:16:04Z,CN=classified.indriver.com,classified.indriver.com,classified.indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,db6dfc2f78ea39a6534362f413c6f1ac,de7c35eba2398f485cb11bc17e0b15c1ca5bb78e00cd8fe188fc95dd6536a476,ctls,classified.indriver.com,443,https://classified.indriver.com:443,https,QRATOR,text/html,GET,185.104.211.6,/,566218143,185.104.211.6,14,False,,,,,
fddkim.indriver.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://fddkim.indriver.com:80,http,CloudFront,text/html,GET,13.225.78.40,/,-219104130,13.225.78.59,20,False,,Amazon Web Services,cloudfront,True,
groupbuy.indriver.com,inDriver. Grupo de compras,200,40036,groupbuy.indriver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T20:54:58Z,2023-07-18T20:54:57Z,CN=groupbuy.indriver.com,groupbuy.indriver.com,groupbuy.indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,152dde5cbfb395df8b7cd92be6c0104e,0fa69b0ec8c6d78055bfbd85accc88bf3a5aecfb5ec1389f6ff8c0d0498d299c,ctls,groupbuy.indriver.com,443,https://groupbuy.indriver.com:443,https,ddos-guard,text/html,GET,185.215.4.10,/,594890578,185.215.4.10,135,False,,Tilda,,,
groupbuykz.indriver.com,inDriver digital store,200,41211,groupbuykz.indriver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T05:12:50Z,2023-08-09T05:12:49Z,CN=groupbuykz.indriver.com,groupbuykz.indriver.com,groupbuykz.indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f060d20df59bceab64fbbe7031bf6e58,4d3aa6808b7c8ba224f70604a7619a79c6f841f4aea86caa44a1a33d95f574a2,ctls,groupbuykz.indriver.com,443,https://groupbuykz.indriver.com:443,https,ddos-guard,text/html,GET,185.215.4.26,/,594890578,185.215.4.26,199,False,,Tilda,,,
ic.indriver.com,main,200,14949,ic.indriver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T12:05:30Z,2023-07-20T12:05:29Z,CN=ic.indriver.com,ic.indriver.com,ic.indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,11920522dffb6ed089c0a273043c7195,21a34073f2e0b378eb576a5d39ad5957fa0dfc849d4ae6458be8d157747beaac,ctls,ic.indriver.com,443,https://ic.indriver.com:443,https,ddos-guard,text/html,GET,185.215.4.20,/,-641091946,185.215.4.20,67,False,,Tilda,,,
indriver.com,inDrive. Offer your fare,200,11925,indriver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T08:15:54Z,2023-07-05T08:15:53Z,CN=indriver.com,indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f66b4a8f6a84520272804f6bf14a8bbc,d0f4f2c9754dc33bab1c730aa775942f09c6d47660ef9497a8ce971c67d7fd95,ctls,indriver.com,443,https://indriver.com:443,https,QRATOR,text/html,GET,185.104.210.6,/,,185.104.210.6,1,False,,webpack,,,
injob.indriver.com,inDriver Job,200,4383,injob.indriver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T12:16:02Z,2023-07-15T12:16:01Z,CN=injob.indriver.com,injob.indriver.com,injob.indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bac4af10871eb62fb49214df777ddbcd,96a2617cca3ce3b6b6b53fe3c8f80703e5f14de01ad97f198106efa5c85af6b4,ctls,injob.indriver.com,443,https://injob.indriver.com:443,https,QRATOR,text/html,GET,185.104.209.7,/,1960854920,185.104.209.7,37,False,,,,,
lena.indriver.com,Error 403,403,14695,lena.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,lena.indriver.com,443,https://lena.indriver.com:443,https,nginx/1.20.1,text/html,GET,188.42.196.189,/,-1655655656,188.42.196.15,372,False,True,Nginx:1.20.1,,,
promo.indriver.com,inDrive,200,17960,promo.indrive.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T06:40:25Z,2023-07-17T06:40:24Z,CN=promo.indrive.com,promo.indrive.com,promo.indrive.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,30474547b1b3364d488adc6a3f2f8674,2da2e19718faa4caaf8b522f9c61e575c1a3345f68043f95e632987c2fbdb77c,ctls,promo.indrive.com,443,https://promo.indriver.com:443,https,ddos-guard,text/html,GET,23.109.150.18,/,-1340850988,23.109.150.17,58,False,,Tilda,,,https://promo.indrive.com/
redmine.indriver.com,Error 403,403,14695,redmine.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,redmine.indriver.com,443,https://redmine.indriver.com:443,https,nginx/1.20.1,text/html,GET,188.42.196.189,/,-1655655656,188.42.196.15,372,False,True,Nginx:1.20.1,,,
registration.indriver.com,inDriver - Watchdocs,200,3385,registration.indriver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T16:15:44Z,2023-07-31T16:15:43Z,CN=registration.indriver.com,registration.indriver.com,registration.indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,68fa10f9be29baca969865ea8640a1aa,bab6d8080cf60f3b91ddf582c6bb8fff44fb2da562c698f895050df893cb0743,ctls,registration.indriver.com,443,https://registration.indriver.com:443,https,QRATOR,text/html,GET,185.104.211.6,/,-834755510,185.104.211.6,13,False,,Node.js,,,
services.indriver.com,inDrive.Services,200,26187,services.indrive.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T00:15:30Z,2023-08-10T00:15:29Z,CN=services.indrive.com,services.indrive.com,services.indrive.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,69f2b8e0e549c4286792a43ad45794a0,9d75a6fecfde4a308d0457d22fa7528a5acabc506f7208ede1bef7e37ed2d499,ctls,services.indrive.com,443,https://services.indriver.com:443,https,QRATOR,text/html,GET,185.104.211.6,/,-1805353779,185.104.211.6,16,False,,webpack,,,https://services.indrive.com/
share.indriver.com,,404,16,share.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-08T08:43:06Z,2023-07-07T08:43:05Z,CN=share.indriver.com,share.indriver.com,share.indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6ae70ccaf10563c6f8c8abcd057bd82f,87a8d721ea9cad2d5a7a2caae231cf78522ae18452f9389b1e6cb5254a70e3f9,ctls,share.indriver.com,443,https://share.indriver.com:443,https,,text/plain,GET,52.209.121.193,/,786476039,34.246.127.31,2,False,,,,,
sharetrip.indriver.com,inDrive,200,659,sharetrip.indrive.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T09:10:25Z,2023-08-08T09:10:24Z,CN=sharetrip.indrive.com,sharetrip.indrive.com,sharetrip.indrive.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,028ddfe265cbd45b06b5f3b00dd3f1c3,12d69e9f941c71f7297e8c61303ff0e52c574000a3ca7ef9aa9ef3e670095b57,ctls,sharetrip.indrive.com,443,https://sharetrip.indriver.com:443,https,QRATOR,text/html,GET,23.109.150.17,/,354445107,23.109.150.16,1,False,,,,,https://sharetrip.indrive.com/
sm.indriver.com,404 Not Found,404,146,sm.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,sm.indriver.com,443,https://sm.indriver.com:443,https,nginx,text/html,GET,23.109.150.18,/,1494302000,23.109.150.17,8,False,True,Nginx,,,
teammate.indriver.com,inDrive @ Teammate,200,557,teammate.indriver.io,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-03-29T19:07:39Z,2023-06-27T19:07:38Z,CN=*.indriver.io,*.indriver.io,indriver.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,744469b56734ff08503aeef21bfa1161,629730e1744fdd1df76406feecf86858e73315b7e5d6e917d8b9a37378ff8704,ctls,teammate.indriver.io,443,https://teammate.indriver.com:443,https,nginx/1.20.1,text/html,GET,188.42.196.188,/,-101257573,188.42.196.187,1,False,True,Nginx:1.20.1,,,https://teammate.indriver.io/
url-checker.indriver.com,Link Tester,200,5186,url-checker.indriver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-19T23:11:42Z,2023-06-17T23:11:41Z,CN=*.indriver.com,*.indriver.com,indriver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6c077ae3136dbc65798ae020cd4c00b,aaf0dca35d2a2dce20b3125b25a3a476fd423d8833f86f1b61f0bc0329da930b,ctls,url-checker.indriver.com,443,https://url-checker.indriver.com:443,https,nginx,text/html,GET,23.109.150.16,/,566218143,23.109.150.17,117,False,True,Nginx,,,
