new,host,ttl,a,aaaa,cname,soa,status_code,has_internal_ips,internal_ips,ns,cdn,cdn-name
[x],legacy.umn.edu,18000,162.242.219.136,,"legacy.yourwebedition.com, webedition-r1.com","{'name': 'webedition-r1.com', 'ns': 'ns-1454.awsdns-53.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webedition-r1.com', 'ns': 'ns-1454.awsdns-53.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webedition-r1.com', 'ns': 'ns-1454.awsdns-53.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'webedition-r1.com', 'ns': 'ns-1454.awsdns-53.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,"ns-284.awsdns-35.com, ns-731.awsdns-27.net, ns-1454.awsdns-53.org, ns-1615.awsdns-09.co.uk",,
[x],login.umn.edu,2928,134.84.223.72,,idp3-prod-v.shib.umn.edu,"{'name': 'umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],mail.ggnet.umn.edu,18000,192.168.249.201,,dngrp-dev.ggnet.umn.edu,"{'name': 'ggnet.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,True,192.168.249.201,,,
[x],mail.umn.edu,600,134.84.66.28,,,"{'name': 'umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],media.umn.edu,3600,134.84.151.30,,charlotte.cla.umn.edu,"{'name': 'cla.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 48015, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'cla.umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 48015, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'cla.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 48015, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'cla.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 48015, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'cla.umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 48015, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],mta-sts.umn.edu,900,,,,"{'name': 'umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],pay.umn.edu,3600,,"2606:4700::6812:146b, 2606:4700::6812:156b",pay.umn.edu.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],search.umn.edu,3600,"104.18.20.107, 104.18.21.107",,search.umn.edu.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],stats.ggnet.umn.edu,18000,192.168.249.85,,,"{'name': 'ggnet.umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,True,192.168.249.85,,,
[x],telecomb-cn-01-v565.ggnet.umn.edu,18000,,2607:ea00:101:3c04::1,,"{'name': 'ggnet.umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'ggnet.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 114406, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],test.ggnet.umn.edu,18000,,,speedtest.nts.umn.edu,"{'name': 'nts.umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 39098, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'nts.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 39098, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'nts.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 39098, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'nts.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 39098, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'nts.umn.edu', 'ns': 'ns-2.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 39098, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'nts.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 39098, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],web.umn.edu,265,134.84.159.196,,whost.oit.umn.edu,"{'name': 'oit.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 163294, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'oit.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 163294, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'oit.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 163294, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],www.umn.edu,3600,134.84.223.68,,,"{'name': 'umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 128651, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
[x],www1.umn.edu,3600,134.84.223.82,,www1-v.oit.umn.edu,"{'name': 'oit.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 163294, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'oit.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 163294, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'oit.umn.edu', 'ns': 'ns-1.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 163294, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'oit.umn.edu', 'ns': 'ns-3.umn.edu', 'mailbox': 'hostmaster.umn.edu', 'serial': 163294, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,,,,,
