input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,tls_self_signed,final_url
aametrics.aktia.fi,,200,,,,,,,,,,,,,,,,,,,,,80,http://aametrics.aktia.fi:80,http,jag,,GET,63.140.62.160,/,1936786007,63.140.62.135,,1,False,,,,,,
aktia.fi,Henkilöasiakkaat,200,106767,,www.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-02-13T23:59:59Z,"CN=aktia.fi, O=Aktia Bank p.l.c, L=Helsinki, C=FI, serialNumber=2181702-8, businessCategory=Private Organization, jurisdictionCountry=FI, businessCategory=Private Organization, jurisdictionCountry=FI",aktia.fi,www.aktia.fi,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,77d81c0926a5717c2bb0646b5b9c234f,8e3fd96e09a25e017710bb057ada9f56066d48f063674b4b7a9aaaf098052904,ctls,www.aktia.fi,cloudflare,443,https://aktia.fi:443,https,cloudflare,text/html,GET,104.16.212.134,/,1505458210,104.16.212.134,HTTP/3,1443,False,True,,Aktia Bank p.l.c,,,https://www.aktia.fi/
aktiacmg.aktia.fi,,500,,,aktiacmg.aktia.fi,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-29T00:00:00Z,2023-08-29T23:59:59Z,"CN=aktiacmg.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",aktiacmg.aktia.fi,aktiacmg.aktia.fi,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f161e322df9a6424f7e4d4ae479dd1e7,9ccfb30019f3640da54addc0179886475263e4d4f8f6ebbe1dcc10b78569f208,ctls,aktiacmg.aktia.fi,azure,443,https://aktiacmg.aktia.fi:443,https,Microsoft-IIS/10.0,,GET,40.119.155.53,/,-1978763642,40.119.155.53,Windows Server,1,False,True,,Aktia Bank Abp,,,
api.authenticate.aktia.fi,,404,42,,api.authenticate.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-06-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c39fd5c59ddc168983e7de81366a6458,fde4c547a94816dcbeaca5ef22155c3dc24f728aff9eb9654c792b458c06a5f9,ctls,api.authenticate.aktia.fi,cloudflare,80,http://api.authenticate.aktia.fi:80,http,cloudflare,text/plain,GET,104.18.28.36,/,1382809587,2606:4700::6812:1d24,Cloudflare,1,False,True,,"Cloudflare, Inc.",,,https://api.authenticate.aktia.fi:443/
api1.sys-test.authenticate.aktia.fi,,404,42,,api1.sys-test.authenticate.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-06-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7b42dea28015a5af71c9da6361e2c1b0,3a33951f06c024cb67d20835bdf42bca69c969c09f55f534a6cab6471ab65b7e,ctls,api1.sys-test.authenticate.aktia.fi,cloudflare,80,http://api1.sys-test.authenticate.aktia.fi:80,http,cloudflare,text/plain,GET,104.18.28.36,/,1382809587,2606:4700::6812:1d24,Cloudflare,1,False,True,,"Cloudflare, Inc.",,,https://api1.sys-test.authenticate.aktia.fi:443/
app.aktia.fi,Varainhoito,200,4254,,app.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T16:21:34Z,2023-09-20T12:49:07Z,CN=app.aktia.fi,app.aktia.fi,www.app.aktia.fi,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a773dc72d1051deb4a09e21ec1d75a5d,46a10c5b005388d5b21dda305deaa61a7595a899bcf56fdd794070433efa8aef,ctls,app.aktia.fi,azure,443,https://app.aktia.fi:443,https,,text/html,GET,104.40.191.174,/,1505458210,104.40.191.174,Azure,1,False,True,,,,,
archive.aktia.fi,Zefort,200,1931,https://aktia.crm4.dynamics.com/,archive.aktia.fi,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T00:00:00Z,2023-11-16T23:59:59Z,"CN=archive.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",archive.aktia.fi,archive.aktia.fi,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3d1b0ba26961041d7d96727c8ad5fa84,62ff2dd0a623a64408fce1a0b68e83b512b4ee55405431c65d5aa34b64ef5e1b,ctls,archive.aktia.fi,,443,https://archive.aktia.fi:443,https,nginx,text/html,GET,95.217.169.165,/,1878244227,95.217.169.165,Nginx,1,False,,,Aktia Bank Abp,,,
auth.aktia.fi,Aktia - tunnistautuminen,200,12041,,auth.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-20T00:00:00Z,2023-12-20T23:59:59Z,"CN=auth.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI, serialNumber=2181702-8, businessCategory=Private Organization, jurisdictionCountry=FI, businessCategory=Private Organization, jurisdictionCountry=FI",auth.aktia.fi,auth.aktia.fi,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,71d136a6b909a46c1a024f0c1cda6251,22c9e25f8713c156f386c3cf23c0a246b1f64969502bd20b1932c4bba365c709,ctls,auth.aktia.fi,,443,https://auth.aktia.fi:443,https,Aktia,text/html,GET,131.207.49.11,/,1201278879,131.207.49.11,Java,300,False,,,Aktia Bank Abp,,,https://auth.aktia.fi/netbank
connect.aktia.fi,BIG-IP logout page,200,5273,,connect.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-05T00:00:00Z,2024-01-19T23:59:59Z,"CN=*.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI",*.aktia.fi,*.aktia.fi,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,60ac85f326200f03480d4360efd0d6c9,fe781da5b80e50c5f9a4f9733f02123d33f83a0f6050976da03827a827656796,ctls,connect.aktia.fi,,443,https://connect.aktia.fi:443,https,BigIP,text/html,GET,217.152.84.101,/,878647854,217.152.84.101,F5 BigIP,131,False,,,Aktia Bank Abp,True,,https://connect.aktia.fi/my.logout.php3?errorcode=19
ebank.aktia.fi,Virhe/Fel,200,4974,,auth.aktia.fi,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-20T00:00:00Z,2023-12-20T23:59:59Z,"CN=auth.aktia.fi, O=Aktia Bank Abp, L=Helsinki, C=FI, serialNumber=2181702-8, businessCategory=Private Organization, jurisdictionCountry=FI, businessCategory=Private Organization, jurisdictionCountry=FI",auth.aktia.fi,auth.aktia.fi,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,71d136a6b909a46c1a024f0c1cda6251,22c9e25f8713c156f386c3cf23c0a246b1f64969502bd20b1932c4bba365c709,ctls,auth.aktia.fi,,443,https://ebank.aktia.fi:443,https,,text/html,GET,131.207.49.10,/,1201278879,131.207.49.10,Fourthwall:1.10.0,1,False,,,Aktia Bank Abp,,,https://auth.aktia.fi:443/netbank?goto=https%3A%2F%2Febank.aktia.fi%3A443%2Fnetbank%2Fengine
