new,host,a,soa,ns,txt,status_code,cdn,cdn-name,aaaa,cname,has_internal_ips,internal_ips,mx
[x],aegis.dududev.ovo.id,149.129.192.207,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
[x],asset.dududev.ovo.id,"108.138.7.74, 108.138.7.63, 108.138.7.52, 108.138.7.102","ns-1720.awsdns-23.co.uk, awsdns-hostmaster.amazon.com","ns-1117.awsdns-11.org, ns-1720.awsdns-23.co.uk, ns-505.awsdns-63.com, ns-653.awsdns-17.net",,NOERROR,True,cloudfront,"2600:9000:2440:bc00:b:5410:7880:93a1, 2600:9000:2440:f800:b:5410:7880:93a1, 2600:9000:2440:1a00:b:5410:7880:93a1, 2600:9000:2440:2400:b:5410:7880:93a1, 2600:9000:2440:c800:b:5410:7880:93a1, 2600:9000:2440:d000:b:5410:7880:93a1, 2600:9000:2440:ec00:b:5410:7880:93a1, 2600:9000:2440:2200:b:5410:7880:93a1",d1dyfzvr8uf7j6.cloudfront.net,,,
[x],dev-billpay.ovo.id,"108.157.4.69, 108.157.4.63, 108.157.4.46, 108.157.4.90","ns-1725.awsdns-23.co.uk, awsdns-hostmaster.amazon.com","ns-1377.awsdns-44.org, ns-1725.awsdns-23.co.uk, ns-476.awsdns-59.com, ns-935.awsdns-52.net",,NOERROR,True,cloudfront,,d2q1ay4ous3rvg.cloudfront.net,,,
[x],dududev.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",dududev.ovo.id.cdn.cloudflare.net,,,
[x],webview.dududev.ovo.id,"104.18.36.199, 172.64.151.57","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9739, 2606:4700:4400::6812:24c7",webview.dududev.ovo.id.cdn.cloudflare.net,,,
,_spf.ovo.id,,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,v=spf1  ip4:139.255.74.232/29 ip4:103.85.66.40/29 ip4:139.255.74.234 ip4:34.101.124.209 a:smtp02.smtpcorp.ovo.id ~all,NOERROR,,,,,,,
,_spf_knowbe4.ovo.id,,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,v=spf1 ip4:23.21.109.197 ip4:23.21.109.212 ip4:147.160.167.0/26 ~all,NOERROR,,,,,,,
,admin-api.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,google-site-verification=P6D7I30eM3jHSrE46pl2iX79xb1Q1oGa8fdBKcHqpdw,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,admin.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,agw.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",agw.ovo.id.cdn.cloudflare.net,,,
,api-stage.taralite.com,,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,api.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",api.ovo.id.cdn.cloudflare.net,,,
,api.taralite.com,"188.114.99.229, 188.114.98.229","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,,,
,api01.ovo.id,,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,apigw-admin.ovo.id,,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,apigw-prod.taralite.com,34.149.157.174,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,google,,,,,
,apigw.ovo.id,,"ns1.cloudflare.net, dns.cloudflare.com","ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,NOERROR,True,cloudflare,,apigw.ovo.id.cdn.cloudflare.net,,,
,apigw01.cp1.ovo.id,"172.64.150.101, 104.18.37.155","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9665, 2606:4700:4400::6812:259b",apigw01.cp1.ovo.id.cdn.cloudflare.net,,,
,application.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,apply.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,asset.ovo.id,"18.66.97.42, 18.66.97.129, 18.66.97.118, 18.66.97.62","ns-1638.awsdns-12.co.uk, awsdns-hostmaster.amazon.com","ns-1176.awsdns-19.org, ns-1638.awsdns-12.co.uk, ns-485.awsdns-60.com, ns-564.awsdns-06.net",,NOERROR,True,cloudfront,"2600:9000:223c:c00:13:328:5780:93a1, 2600:9000:223c:f200:13:328:5780:93a1, 2600:9000:223c:1e00:13:328:5780:93a1, 2600:9000:223c:bc00:13:328:5780:93a1, 2600:9000:223c:4c00:13:328:5780:93a1, 2600:9000:223c:1a00:13:328:5780:93a1, 2600:9000:223c:c000:13:328:5780:93a1, 2600:9000:223c:8400:13:328:5780:93a1",dvcy0ch8ia066.cloudfront.net,,,
,atlantis.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,auth.dev.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,aws.ovo.id,,"ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com","ns-1210.awsdns-23.org, ns-594.awsdns-10.net, ns-2018.awsdns-60.co.uk, ns-259.awsdns-32.com",,NOERROR,,,,,,,inbound-smtp.us-east-1.amazonaws.com
,bastion.ovo.id,139.255.74.200,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,foreman.ovo.id,,,
,bastion.taralite.com,172.31.235.139,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,True,172.31.235.139,
,bifrost.aws.ovo.id,13.251.93.95,"ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,billpay.ovo.id,"108.138.85.30, 108.138.85.106, 108.138.85.10, 108.138.85.95, 205.251.193.5, 205.251.195.60, 205.251.196.73, 205.251.198.95","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com","ns-261.awsdns-32.com, ns-1631.awsdns-11.co.uk, ns-1097.awsdns-09.org, ns-828.awsdns-39.net",,NOERROR,True,cloudfront,,d1ecds5n7rfmz9.cloudfront.net,,,
,bugbounty.ovo.id,35.219.35.230,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,,,,,
,business.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",business.ovo.id.cdn.cloudflare.net,,,
,cb-test.ovo.id,35.219.69.253,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,google,,,,,
,cb.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",cb.ovo.id.cdn.cloudflare.net,,,
,commander.ovo.id,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",commander.ovo.id.cdn.cloudflare.net,,,
,cp3.ovo.id,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a4.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com",,NOERROR,,,,,,,
,cp6.ovo.id,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a1.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com, ns-cloud-a2.googledomains.com",,NOERROR,,,,,,,
,cp6.taralite.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c1.googledomains.com",,NOERROR,,,,,,,
,cybvpn20.ovo.id,172.65.207.41,"brenda.ns.cloudflare.com, dns.cloudflare.com","ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,NOERROR,True,cloudflare,,"cybvpn20.ovo.id.cdn.cloudflare.net, d400a30a92d44e71b9d1c081e817bd10.pacloudflare.com",,,
,dax-app.taralite.com,,"elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
,delivery.hello.ovo.id,34.117.197.73,"ns11.constellix.com, dns.constellix.com","ns11.constellix.com, ns21.constellix.com, ns31.constellix.com, ns41.constellix.net, ns51.constellix.net, ns61.constellix.net","v=spf1 exists:%{ir}._spf.netcorecloud.net -all, mailru-verification: 0849f61424c0e3d1, _globalsign-domain-verification=NYR_u6XJobjrCWnD4RgHfIeDZ18s2Q5xtsUiLbQqPF",NOERROR,True,google,,lnk.pepipost.net,,,
,dev-admin.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,dev-digisign.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,dev-lender.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,dev-vcc.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,dev-web.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,
,dev.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,developers.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,digisign.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,
,dnstest.cp1.ovo.id,"18.66.147.5, 18.66.147.16, 18.66.147.89, 18.66.147.18","ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com","ns-617.awsdns-13.net, ns-1065.awsdns-05.org, ns-1949.awsdns-51.co.uk, ns-312.awsdns-39.com",,NOERROR,True,cloudfront,"2600:9000:225e:be00:11:4f74:8f40:93a1, 2600:9000:225e:2a00:11:4f74:8f40:93a1, 2600:9000:225e:1800:11:4f74:8f40:93a1, 2600:9000:225e:de00:11:4f74:8f40:93a1, 2600:9000:225e:1c00:11:4f74:8f40:93a1, 2600:9000:225e:e00:11:4f74:8f40:93a1, 2600:9000:225e:6a00:11:4f74:8f40:93a1, 2600:9000:225e:fa00:11:4f74:8f40:93a1",dggiw32ky11z1.cloudfront.net,,,
,endor.ovo.id,139.255.74.219,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
,esb-spring.ovo.id,10.40.192.34,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,True,10.40.192.34,
,esb.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",esb.ovo.id.cdn.cloudflare.net,,,
,foreman.ovo.id,139.255.74.200,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,
