new,host,a,soa,status_code,ns,aaaa,txt,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,ptr,caa
[x],154-100.amazon.com,204.177.154.100,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-110.amazon.com,204.177.154.110,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-120.amazon.com,204.177.154.120,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-130.amazon.com,204.177.154.130,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-140.amazon.com,204.177.154.140,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-150.amazon.com,204.177.154.150,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-160.amazon.com,204.177.154.160,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-170.amazon.com,204.177.154.170,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-180.amazon.com,204.177.154.180,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-190.amazon.com,204.177.154.190,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-20.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-210.amazon.com,204.177.154.210,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-230.amazon.com,204.177.154.230,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-25.amazon.com,204.177.154.25,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-250.amazon.com,204.177.154.250,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-30.amazon.com,204.177.154.30,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-50.amazon.com,204.177.154.50,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-60.amazon.com,204.177.154.60,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
[x],154-70.amazon.com,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,,,
