new,host,soa,txt,status_code,a,aaaa,cdn,cdn-name,cname,ns,has_internal_ips,internal_ips,mx
[x],0upmidg.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],1centerprise8.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],452-24.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],471-69.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],95-7-94.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],aips-services.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],alpha-v2-media-proxy-vpn.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],andchung.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],antsoldier.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],artids.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],asciinema.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,10.250.15.150,,,,,,True,10.250.15.150,
[x],autoreply.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,108.167.151.29,,,,,,,,
[x],br104-ip05.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],br1130.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.111,,,,,,,,
[x],br1132.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.116,,,,,,,,
[x],br1134.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.121,,,,,,,,
[x],br1136.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.126,,,,,,,,
[x],br1140.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.136,,,,,,,,
[x],br1142.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.141,,,,,,,,
[x],br1144.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.146,,,,,,,,
[x],br1146.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.171,,,,,,,,
[x],br1148.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,50.6.138.176,,,,,,,,
[x],br250-ip09.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],chef-development.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],configpublic.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],confluence-uploadstreamingsso-miembros.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],cornellssit.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],dbms-privatenew-oceania.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],dfp3-securecdn.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],donor-ninja.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],dur-inframon.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],e1-spint.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],eleadscapture.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],emilywinck-callrail.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],formularios.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,216.172.188.70,,,,,,,,
[x],freeconnect3.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],gtb.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],h-135-197-236-47.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],h-135-207-177-65.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],h-135-207-216-98.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],h-135-207-255-56.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],hei.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,216.172.188.75,,,,,,,,
