new,host,a,cname,mx,soa,txt,status_code,cdn,cdn-name,aaaa,has_internal_ips,internal_ips,ns
[x],community.zen.ly,"104.18.249.37, 104.18.248.37",zenlyapp.zendesk.com,mail-pod-17.int.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com","pod=17, v=spf1 include:mail.zendesk.com ~all",NOERROR,True,cloudflare,,,,
[x],gdpr.zen.ly,,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,
[x],jira.znly.co,35.244.249.183,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,
[x],rotabanner.zen.ly,0.0.0.0,,,"fake-for-negative-caching.adguard.com, hostmaster.rotabanner.zen.ly",,NOERROR,,,::,True,0.0.0.0,
[x],www.zen.ly,34.120.54.238,zen.ly,"aspmx3.googlemail.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com","ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,"ns-cloud-a3.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a4.googledomains.com"
[x],zendesk1.zen.ly,"162.159.138.6, 162.159.128.7",mail1.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,,
[x],zendesk2.zen.ly,"162.159.138.6, 162.159.128.7",mail2.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,,
[x],zendesk3.zen.ly,"162.159.138.6, 162.159.128.7",mail3.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,,
[x],zendesk4.zen.ly,"162.159.138.6, 162.159.128.7",mail4.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,,
[x],znly.co,"216.239.32.106, 216.239.34.106, 216.239.36.106, 216.239.38.106",,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"2001:4860:4802:32::6a, 2001:4860:4802:34::6a, 2001:4860:4802:36::6a, 2001:4860:4802:38::6a",,,"ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com, ns-cloud-a3.googledomains.com"
