input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_mismatched
admin-api.koho.ca,Attention Required! | Cloudflare,403,4510,admin-api.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-15T00:00:00Z,2023-07-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",admin-api.koho.ca,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dbb17f65cad581f54496e135fae46204,14917526aecd2cc51a713590c8ee08b6011e51eaafc1f33b53549d4030687a78,ctls,admin-api.koho.ca,cloudflare,443,https://admin-api.koho.ca:443,https,cloudflare,text/html,GET,104.18.7.38,/,1684104817,104.18.6.38,HTTP/3,94,False,True,,,,
admin.koho.ca,Attention Required! | Cloudflare,403,4510,admin.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-15T00:00:00Z,2023-07-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",admin.koho.ca,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bac9a9e537f40c718a4cec33dd732913,5af281c59aa7997c23d4dfb447df48bd863cc86a9f0fe5b1ccf080126d9da1a7,ctls,admin.koho.ca,cloudflare,443,https://admin.koho.ca:443,https,cloudflare,text/html,GET,104.18.7.38,/,396657227,104.18.6.38,HTTP/3,94,False,True,,,,
amq.koho.ca,RabbitMQ Management,200,3001,amq.koho.ca,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-04-06T23:59:59Z,CN=amq.koho.ca,amq.koho.ca,,amq.koho.ca,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1cceeaeee0a6b1c936408629ac8ddfab,fd17c76a90ca99e1be7e6d89b61596976fd4db949d03363b0dce79bf098431c6,ctls,amq.koho.ca,,443,https://amq.koho.ca:443,https,Cowboy,text/html,GET,52.27.61.236,/,-1015107330,54.200.206.197,Cowboy,73,False,,,,,
api.koho.ca,,404,68,api.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-15T00:00:00Z,2023-07-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",deaacd32326444a32b62802671be5749,8d9b4b74932b0cde864d0b77bd234a7746cc45263b8f5e1ab42d8a38179f9d46,ctls,api.koho.ca,cloudflare,443,https://api.koho.ca:443,https,cloudflare,application/json,GET,104.18.6.38,/,-809742098,104.18.7.38,HTTP/3,2,False,True,,,,
app.koho.ca,KOHO,200,17823,web.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-02-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1b95abfadf504f63efc4b8398e679abc,f3eef050a30c2a39e5e26c51183a8739433fc750d2464172068553cd123eff49,ctls,web.koho.ca,cloudflare,443,https://app.koho.ca:443,https,cloudflare,text/html,GET,104.18.6.38,/,-362351068,104.18.7.38,HTTP/3,1,False,True,https://static.hotjar.com,,https://web.koho.ca/,
assets.koho.ca,,403,243,assets.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-08-11T23:59:59Z,CN=assets.koho.ca,assets.koho.ca,,assets.koho.ca,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,cf45ca919e022dd95a63209a28125fac,dbd194f71e3ca381e6963c986bde17011ed3d6643e7ed7f7cf62553b13f3750b,ctls,assets.koho.ca,cloudfront,443,https://assets.koho.ca:443,https,AmazonS3,application/xml,GET,52.222.214.82,/,449220469,52.222.214.109,Amazon Web Services,2,False,True,,,,
branding.koho.ca,KOHO Brand Standards | Guidelines for Collaboration,200,61633,branding.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T12:00:12Z,2023-07-12T12:00:11Z,CN=branding.koho.ca,branding.koho.ca,,www.branding.koho.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f9a9ab267d06c166880a3c13cc428a44,6093790780c5a09575e14b2af9c8e149cb8621061c12beb11a4e78c3eac03bda,ctls,branding.koho.ca,google,443,https://branding.koho.ca:443,https,Netlify,text/html,GET,34.141.48.9,/,-942160743,2a05:d014:275:cb00::c8,webpack,72,False,True,"https://fonts.gstatic.com/
",,,
clicks.koho.ca,404 Not Found,404,150,clicks.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-31T23:59:59Z,CN=clicks.koho.ca,clicks.koho.ca,,clicks.koho.ca,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,10e7053e3dbc1d7ef0d922159be534a7,9e86a546a5fc200aafd88edcd0402cd0457796e36f08ff84bc07debe9d5cb8ef,ctls,clicks.koho.ca,cloudfront,443,https://clicks.koho.ca:443,https,msys-http,text/plain,GET,108.138.17.69,/,-1840324437,108.138.17.14,Amazon Web Services,8,False,True,,,,
dispute.koho.ca,This enterprise server is no longer active.,404,2201,dispute.koho.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",dispute.koho.ca,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",62f211db35fdf2ae0407001c54fd19a7,60733eb660cb8939f3a5322503bfc123cdd589132e9d72202f15df8be6eb8bae,ctls,dispute.koho.ca,cloudflare,443,https://dispute.koho.ca:443,https,cloudflare,text/html,GET,104.18.6.38,/,1494302000,104.18.7.38,HTTP/3,39,False,True,/opt/csp-violation-report.php,,,
https://maxcdn.bootstrapcdn.com,The Tudors,200,204,maxcdn.bootstrapcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-30T00:00:00Z,2023-12-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",bootstrapcdn.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",43bf2e015428996a5a19a3bc0dcf7608,a90dcbfa8b2740d5693f93ad771ea7f8fa9afe2e756304e912f763ddb0c287f5,ctls,maxcdn.bootstrapcdn.com,cloudflare,443,https://maxcdn.bootstrapcdn.com:443,https,cloudflare,text/html,GET,104.18.11.207,/,453686924,2606:4700::6812:bcf,HTTP/3,9,False,True,URL='https://www.bootstrapcdn.com/',True,,
