new,host,ttl,soa,status_code,mx,a,aaaa,cname,txt,ns,caa,has_internal_ips,internal_ips
[x],abp.redbull.com,3600,"{'name': 'dscr.akamai.net', 'ns': 'n0dscr.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927022, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscr.akamai.net', 'ns': 'n0dscr.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927024, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"2a02:26f0:d7::58dd:ff99, 2a02:26f0:d7::58dd:ffa8","ssl01.microsites.redbull.edgesuite.net, a1819.dscr.akamai.net",,,,,
[x],ac.redbull.com,3600,"{'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,,80.120.169.240,,,,"pdns91.ultradns.com, pdns91.ultradns.biz, pdns91.ultradns.net, pdns91.ultradns.org, ns15.ultradns2.com, ns15.ultradns2.org",,,
[x],account-admin.redbull.com,43200,"{'name': 'dscr.akamai.net', 'ns': 'n0dscr.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927022, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscr.akamai.net', 'ns': 'n0dscr.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927022, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscr.akamai.net', 'ns': 'n0dscr.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927025, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,"23.216.77.30, 23.216.77.29",,"ssl01.microsites.redbull.edgesuite.net, a1819.dscr.akamai.net",,,,,
[x],account-q.redbullmediahouse.com,3600,"{'name': 'd1na2fvbp5jovd.cloudfront.net', 'ns': 'ns-1775.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1na2fvbp5jovd.cloudfront.net', 'ns': 'ns-1775.awsdns-29.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"900637805536.gigya-api.com, d1na2fvbp5jovd.cloudfront.net",,"ns-449.awsdns-56.com, ns-1362.awsdns-42.org, ns-554.awsdns-05.net, ns-1775.awsdns-29.co.uk",,,
[x],account.redbull.com,51524,"{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927021, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927023, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927023, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1714927023, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,2.19.225.49,,"wildcard.microsites.redbull.edgekey.net, e10816.a.akamaiedge.net",,,,,
[x],account.redbullmediahouse.com,43200,"{'name': 'd3tg7cdoub5huh.cloudfront.net', 'ns': 'ns-1858.awsdns-40.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3tg7cdoub5huh.cloudfront.net', 'ns': 'ns-1858.awsdns-40.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3tg7cdoub5huh.cloudfront.net', 'ns': 'ns-1858.awsdns-40.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3tg7cdoub5huh.cloudfront.net', 'ns': 'ns-1858.awsdns-40.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3tg7cdoub5huh.cloudfront.net', 'ns': 'ns-1858.awsdns-40.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"818618769336.gigya-api.com, d3tg7cdoub5huh.cloudfront.net",,"ns-1425.awsdns-50.org, ns-1858.awsdns-40.co.uk, ns-40.awsdns-05.com, ns-946.awsdns-54.net",,,
[x],accounts.redbull.com,3600,"{'name': 'd119plx5ei9y9t.cloudfront.net', 'ns': 'ns-1894.awsdns-44.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd119plx5ei9y9t.cloudfront.net', 'ns': 'ns-1894.awsdns-44.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd119plx5ei9y9t.cloudfront.net', 'ns': 'ns-1894.awsdns-44.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd119plx5ei9y9t.cloudfront.net', 'ns': 'ns-1894.awsdns-44.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"18.66.196.98, 18.66.196.45, 18.66.196.3, 18.66.196.41",,"172409927491.gigya-api.com, d119plx5ei9y9t.cloudfront.net",,"ns-1894.awsdns-44.co.uk, ns-244.awsdns-30.com, ns-779.awsdns-33.net, ns-1424.awsdns-50.org",,,
[x],acspk1lspe.microsites.redbull.com,3600,"{'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,,80.120.169.226,,,,,,,
[x],ad.redbull.com,3600,"{'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbull.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2016077548, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,redbull-com.mail.protection.outlook.com,,,,"v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all, MS=ms38806944",,,,
[x],admin.fr.redbullmusicacademy.com,3600,"{'name': 'redbullmusicacademy.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2015121952, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbullmusicacademy.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2015121952, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbullmusicacademy.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2015121952, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbullmusicacademy.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2015121952, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbullmusicacademy.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2015121952, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbullmusicacademy.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2015121952, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'redbullmusicacademy.com', 'ns': 'pdns91.ultradns.com', 'mailbox': 'domains.redbull.com', 'serial': 2015121952, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
