input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,final_url
1.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1.staging-airtableblocks.com:443,https,nginx,text/html,GET,3.214.44.127,/,-304007040,44.209.5.109,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
109143-20-6.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://109143-20-6.staging-airtableblocks.com:443,https,nginx,text/html,GET,44.209.101.193,/,-304007040,3.214.44.127,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
111enterprise-bundlesks-vendingtransactions-mq2-okta.data.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://111enterprise-bundlesks-vendingtransactions-mq2-okta.data.staging-airtableblocks.com:443,https,nginx,text/html,GET,54.224.111.89,/,-304007040,44.209.5.109,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
1debit-ks-vendingtransactions-mq2-okta-disabled.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1debit-ks-vendingtransactions-mq2-okta-disabled.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com:443,https,nginx,text/html,GET,44.209.101.193,/,-304007040,54.224.111.89,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
1debit.4ba16751-dreambt-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-dreambt-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com:443,https,nginx,text/html,GET,3.214.44.127,/,-304007040,44.209.101.193,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
1debit.4ba16751-testnoblogsdomain-bcc738dc-this-blogs.panel.okta.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoblogsdomain-bcc738dc-this-blogs.panel.okta.staging-airtableblocks.com:443,https,nginx,text/html,GET,44.209.101.193,/,-304007040,54.224.111.89,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist-us-east-1.panel.okta.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist-us-east-1.panel.okta.staging-airtableblocks.com:443,https,nginx,text/html,GET,44.209.101.193,/,-304007040,44.209.5.109,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.beta-panel.okta.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.beta-panel.okta.staging-airtableblocks.com:443,https,nginx,text/html,GET,54.224.111.89,/,-304007040,44.209.5.109,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-miggaiowski.okta.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-miggaiowski.okta.staging-airtableblocks.com:443,https,nginx,text/html,GET,44.209.101.193,/,-304007040,3.214.44.127,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-my.okta.staging-airtableblocks.com,Airtable,406,1265,,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-06-11T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3bfd507e2516c82dbb31099a2f3c0e5d,d60512b9b5d5b3b7675c38beb2f15390fe6ade984fce242b84913a87d682b987,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-my.okta.staging-airtableblocks.com:443,https,nginx,text/html,GET,54.224.111.89,/,-304007040,44.209.5.109,Nginx,29,False,,True,,True,https://alt.staging-airtableblocks.com:443/
