input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_subject_org_,final_url,tls_self_signed,tls_expired
shir-gw.checkpoint.com,,200,3626,shir-gw.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T06:33:46Z,2024-08-28T06:33:46Z,"CN=shir-gw.checkpoint.com, O=CheckPoint, L=TLV, ST=Israel, C=IL",shir-gw.checkpoint.com,194.29.32.133,"CN=CheckPoint-SubCA-02, DC=ad, DC=checkpoint, DC=com, DC=ad, DC=checkpoint, DC=com",CheckPoint-SubCA-02,,b6a8bb2d9b3668c00de29917c6315a62,67a94207f24a13dd40644757fe5493fd57ac48c5d5155406d9d581ec36db844b,,ctls,shir-gw.checkpoint.com,,443,https://shir-gw.checkpoint.com:443,https,CPWS,text/html,GET,194.29.32.133,/,-993165615,194.29.32.133,HSTS,201,False,,,https:,CheckPoint,https://shir-gw.checkpoint.com/sslvpn/Login/BrowserSupport,,
sigcheck.checkpoint.com,,404,11,sigcheck.checkpoint.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,True,ctls,sigcheck.checkpoint.com,,443,https://sigcheck.checkpoint.com:443,https,AkamaiNetStorage,,GET,2.16.186.82,/,1864250944,2.16.186.66,,2,False,,True,,"Akamai Technologies, Inc.",,,
signatures.checkpoint.com,,200,45,signatures.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T13:24:26Z,2023-08-23T13:24:25Z,CN=signatures.checkpoint.com,signatures.checkpoint.com,signatures.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a92985447c4da8908b016e0e92ebffb2,f13f83d87782090cc36a9bf445941ed5e71e2decc8ffd810dbf51ba61272ec12,,ctls,signatures.checkpoint.com,,443,https://signatures.checkpoint.com:443,https,,text/plain,GET,34.192.12.1,/,1375805447,34.233.65.204,HSTS,1,False,,,,,,,
sip.checkpoint.com,,404,75,sip.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.checkpoint.com,,443,https://sip.checkpoint.com:443,https,RTC/7.0,text/plain,GET,52.112.193.13,/,-152381093,2603:1027:0:48::20,HSTS,4,False,,True,,Microsoft Corporation,,,
smartview-box.kube1.iaas.checkpoint.com,,404,21,smartview-box.kube1.iaas.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-10-29T23:59:59Z,CN=kube1.iaas.checkpoint.com,kube1.iaas.checkpoint.com,*.kube1.iaas.checkpoint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3b007e6dd3151628c86e766c0964880b,64b919853f5eb33a2351c502aee8f0376a5b914e8e71a0be3cdf9b7330ebd0ef,True,ctls,smartview-box.kube1.iaas.checkpoint.com,,443,https://smartview-box.kube1.iaas.checkpoint.com:443,https,,text/plain,GET,3.248.136.62,/,-1669793162,34.254.206.54,HSTS,1,False,,,,,,,
smbclouddeployment.checkpoint.com,Check Point Zero Touch,200,900,smbclouddeployment.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,smbclouddeployment.checkpoint.com,,443,https://smbclouddeployment.checkpoint.com:443,https,Apache/2.4.46 (IUS) OpenSSL/1.0.2k-fips,text/html,GET,209.87.212.225,/,-1221458784,209.87.212.225,OpenSSL:1.0.2k,47,False,,,,,https://smbclouddeployment.checkpoint.com/ZeroTouch/login.jsp,,
smbcloudmgmt.checkpoint.com,Security Management Portal,200,7119,smbcloudmgmt.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,smbcloudmgmt.checkpoint.com,,443,https://smbcloudmgmt.checkpoint.com:443,https,Unknown,text/html,GET,194.29.38.55,/,-297069493,194.29.38.55,Java,241,False,,,,,https://smbcloudmgmt.checkpoint.com/SMC/index.jsp,,
smbmgmtservice.g04.checkpoint.com,,404,15,smbmgmtservice.g04.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,smbmgmtservice.g04.checkpoint.com,,443,https://smbmgmtservice.g04.checkpoint.com:443,https,awselb/2.0,text/plain,GET,15.207.8.86,/,1124559268,3.7.182.80,,1,False,,True,,,,,
smbrelay-prd.checkpoint.com,,404,19,smbrelay-prd.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-04T14:34:49Z,2024-01-05T14:34:48Z,CN=*.smbrelay.checkpoint.com,*.smbrelay.checkpoint.com,smbrelay.checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f35b778552381bf1271059ac661923b4,677d6841c317ba1e77e2d961bd103486ac97ec87d6aa3e548a23e2893ff713c5,True,ctls,smbrelay-prd.checkpoint.com,,443,https://smbrelay-prd.checkpoint.com:443,https,awselb/2.0,text/plain,GET,34.254.23.33,/,-943690907,52.210.58.12,Amazon Web Services,1,False,,True,,,,,
smbrelay.checkpoint.com,Check Point Reach My Device,200,725,smbrelay.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-04T14:34:49Z,2024-01-05T14:34:48Z,CN=*.smbrelay.checkpoint.com,*.smbrelay.checkpoint.com,smbrelay.checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f35b778552381bf1271059ac661923b4,677d6841c317ba1e77e2d961bd103486ac97ec87d6aa3e548a23e2893ff713c5,True,ctls,smbrelay.checkpoint.com,,443,https://smbrelay.checkpoint.com:443,https,Apache,,GET,52.210.58.12,/,-366337701,52.208.21.13,Apache,19,False,,,,,,,
smo.checkpoint.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://smo.checkpoint.com:80,http,CloudFront,text/html,GET,13.225.78.46,/,-1818710740,2600:9000:21f3:6a00:e:90fc:b100:93a1,Amazon Web Services,20,False,True,,,,,,
smp-beta.kube1.iaas.checkpoint.com,Security Management Portal,200,3192,smp-beta.kube1.iaas.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-06-27T23:59:59Z,CN=smp-beta.kube1.iaas.checkpoint.com,smp-beta.kube1.iaas.checkpoint.com,smp-beta.kube1.iaas.checkpoint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b96a097efa3d421228987a0ba020f5ff,6a94c1bbd455c3fe8e8c921685b7a6dc967827e54e9681695db858dc1bb2b3f3,,ctls,smp-beta.kube1.iaas.checkpoint.com,,443,https://smp-beta.kube1.iaas.checkpoint.com:443,https,Apache,text/html,GET,52.209.95.251,/,437615115,34.246.50.40,Apache,1,False,,,*.gstatic.com,,,,
spectral-eu.checkpoint.com,Spectral,200,2919,spectral-eu.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T23:11:52Z,2023-07-27T23:11:51Z,CN=spectral-eu.checkpoint.com,spectral-eu.checkpoint.com,spectral-eu.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,41c94f3690e02bb87e0a0202e856d79a,42bfd0ce9ea8fd63dace3408d1cc8042bd0c2e84fceda87dbe1223ef409df0f4,,ctls,spectral-eu.checkpoint.com,,443,https://spectral-eu.checkpoint.com:443,https,,text/html,GET,52.19.144.210,/,287657013,54.229.255.3,Ionicons,1,False,,,,,,,
spectral-us.checkpoint.com,Spectral,200,2919,spectral-us.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T23:22:41Z,2023-08-24T23:22:40Z,CN=spectral-us.checkpoint.com,spectral-us.checkpoint.com,spectral-us.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b9a73862c92cc88a8ae19de5cced234a,c379f77926e87783b1b736f7f301b0a7f0f820b593149597554d10842866ddef,,ctls,spectral-us.checkpoint.com,,443,https://spectral-us.checkpoint.com:443,https,,text/html,GET,54.70.42.70,/,287657013,52.35.239.208,Ionicons,1,False,,,,,,,
store.checkpoint.com,,202,,www.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,www.checkpoint.com,,443,https://store.checkpoint.com:443,https,CloudFront,text/html,GET,209.87.209.65,/,-1840324437,209.87.209.65,Amazon Web Services,1,False,,,,,https://www.checkpoint.com,,
store.us.checkpoint.com,Product Catalog,200,159675,store.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-05T00:00:00Z,2023-07-13T23:59:59Z,"CN=store.checkpoint.com, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",store.checkpoint.com,store.checkpoint.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7b0e3fd15e3f53301e3003c3de786021,e41fe8adebdb143cb93ff62bbe894d83f16233d5c9fcc4f986ddbf0d33ca5c07,,ctls,store.checkpoint.com,,443,https://store.us.checkpoint.com:443,https,Apache-Coyote/1.1,text/html,GET,209.87.209.65,/,-1840324437,209.87.209.65,Java,4675,False,,,,Check Point Software Technologies Inc.,https://store.checkpoint.com/PricingTool/index2.htm;jsessionid=21157EBDDDC692A47F6A67F82B17B018,,
support.checkpoint.com,,202,,support.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,support.checkpoint.com,cloudfront,443,https://support.checkpoint.com:443,https,CloudFront,text/html,GET,99.86.4.122,/,-1840324437,99.86.4.11,Amazon Web Services,1,False,True,,,,,,
supportcenter.checkpoint.com,,202,,supportcenter.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,supportcenter.checkpoint.com,cloudfront,443,https://supportcenter.checkpoint.com:443,https,CloudFront,text/html,GET,13.32.145.123,/,-1840324437,13.32.145.17,Amazon Web Services,1,False,True,,,,,,
supportcenter.us.checkpoint.com,,202,,supportcenter.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,supportcenter.checkpoint.com,,443,https://supportcenter.us.checkpoint.com:443,https,CloudFront,text/html,GET,209.87.209.101,/,321770859,209.87.209.101,Amazon Web Services,1,False,,,,,https://supportcenter.checkpoint.com/supportcenter/portal,,
supportcontent.checkpoint.com,,202,,supportcontent.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,supportcontent.checkpoint.com,cloudfront,443,https://supportcontent.checkpoint.com:443,https,CloudFront,text/html,GET,99.86.4.122,/,-1840324437,99.86.4.11,Amazon Web Services,1,False,True,,,,,,
tc.us.checkpoint.com,,202,,www.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,www.checkpoint.com,,80,http://tc.us.checkpoint.com:80,http,CloudFront,text/html,GET,209.87.209.211,/,-1840324437,209.87.209.211,Amazon Web Services,1,False,,,,,https://www.checkpoint.com/,,
tcapi.checkpoint.com,400 No required SSL certificate was sent,400,230,tcapi.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,tcapi.checkpoint.com,,443,https://tcapi.checkpoint.com:443,https,Check Point CPWeb,text/html,GET,217.68.13.87,/,272330885,217.68.13.82,HSTS,9,False,,,,,,,
tcapi.g04.checkpoint.com,400 No required SSL certificate was sent,400,230,tcapi.g04.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,tcapi.g04.checkpoint.com,,443,https://tcapi.g04.checkpoint.com:443,https,Check Point CPWeb,text/html,GET,217.68.13.81,/,272330885,217.68.13.87,HSTS,9,False,,True,,,,,
te.checkpoint.com,,404,21,te.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,te.checkpoint.com,,443,https://te.checkpoint.com:443,https,,text/plain,GET,52.30.199.146,/,-1669793162,34.247.43.95,HSTS,1,False,,,,,,,
te.iaas.checkpoint.com,,404,21,te.iaas.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-11-01T23:59:59Z,CN=iaas.checkpoint.com,iaas.checkpoint.com,*.iaas.checkpoint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ad1613120b678a218d237aa203d6ea8d,5e8d349af2677aebcf9ccfaab6fbaeaace9de5bf350e30da7ef9454bdc95b9b5,True,ctls,te.iaas.checkpoint.com,,443,https://te.iaas.checkpoint.com:443,https,,text/plain,GET,35.174.164.193,/,-1669793162,34.204.209.244,HSTS,1,False,,,,,,,
teadv.checkpoint.com,,404,11,teadv.checkpoint.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-01T00:00:00Z,2024-01-02T23:59:59Z,"CN=*.checkpoint.com, O=Check Point Software Technologies Ltd., L=TEL AVIV-Yafo, ST=Tel Aviv District, C=IL",*.checkpoint.com,checkpoint.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17fff3aba9caf43cbe42b8dea1a1985b,f8d0c75c59042691e10b7432b31903427659df52b20ca7bfc4490b6f4bed18da,True,ctls,teadv.checkpoint.com,,443,https://teadv.checkpoint.com:443,https,AkamaiNetStorage,,GET,23.212.220.179,/,1864250944,2a02:26f0:1700:486::38f0,,2,False,,,,Check Point Software Technologies Ltd.,,,
test.portal.checkpoint.com,Check Point Infinity Portal,200,3652,test.portal.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-04-06T23:59:59Z,CN=test.portal.checkpoint.com,test.portal.checkpoint.com,*.test.portal.checkpoint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fa19fda02d8bdd7c93e2797cf53d4206,f7bce1762e07cebb752738671fa9adbf9899e429083168dd654a757b1df8323c,True,ctls,test.portal.checkpoint.com,,443,https://test.portal.checkpoint.com:443,https,,text/html,GET,54.154.128.47,/,76131492,52.48.129.84,HSTS,51,False,,,https://cloudinfra-gw.test.portal.checkpoint.com/csp-report,,,,
threatemulation.checkpoint.com,,200,10416,threatpoint.checkpoint.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,threatpoint.checkpoint.com,,443,https://threatemulation.checkpoint.com:443,https,Apache,text/html,GET,209.87.211.145,/,610609869,209.87.211.145,HSTS,80,False,,,,,https://threatpoint.checkpoint.com/ThreatPortal/emulation,,
threatmap.checkpoint.com,,202,,threatmap.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,threatmap.checkpoint.com,cloudfront,443,https://threatmap.checkpoint.com:443,https,CloudFront,text/html,GET,18.66.122.31,/,-1840324437,18.66.122.63,Amazon Web Services,1,False,True,,,,,,
threatpoint.checkpoint.com,CPR - Check Point Research,200,176243,research.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T17:26:31Z,2023-07-03T17:26:30Z,CN=research.checkpoint.com,research.checkpoint.com,research.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fd27379badeea6efbf199562c6e9b16d,433685fa91acd24cc30f8abf5510c6275a271e475595e6725a9290c163e2984d,,ctls,research.checkpoint.com,,443,https://threatpoint.checkpoint.com:443,https,cloudflare,text/html,GET,209.87.209.53,/,-366337701,209.87.209.53,Yoast SEO:20.8,1110,False,,,,,https://research.checkpoint.com,,
threatwiki.us.checkpoint.com,,404,15,threatwiki.us.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,threatwiki.us.checkpoint.com,,443,https://threatwiki.us.checkpoint.com:443,https,awselb/2.0,text/plain,GET,54.90.97.45,/,1124559268,44.208.78.206,,1,False,,True,,,,,
totalprotection.checkpoint.com,,202,,accounts.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,accounts.checkpoint.com,cloudfront,443,https://totalprotection.checkpoint.com:443,https,CloudFront,text/html,GET,52.222.214.99,/,-1840324437,2600:9000:223d:2200:1d:803f:1200:93a1,Amazon Web Services,1,False,True,,,,https://accounts.checkpoint.com/?TYPE=33554432&REALMOID=06-00074824-fa49-1e65-afa4-8d8cc0a80000&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=xgJ0Ya0bQESqLF7LaF1VbdroAxXpgjJm4Yfk36BZPK7RTpO03mBJSxP3PhJHrrxG&TARGET=-SM-HTTPS%3a%2f%2fiam--sso%2echeckpoint%2ecom%2faffwebservices%2fsecure%2fsecureredirect%3fclient_id%3d00001bed--0f60--1410--8bf2--8d8cc0a80000%26redirect_uri%3dhttps-%3A-%2F-%2Ftotalprotection%2echeckpoint%2ecom-%2Fcallback%26scope%3dopenid%2bemail%2bprofile%2bname%2brole%26response_type%3dcode%26SMPORTALURL%3dg9RAyHiDSvN0QPcZEhWlwKdo2UWX9wTRILeBpjfoAntZ8L2bjxMj-%2BSnjwGbFe2udF0DfGH1oHaxhBeQtzsfQlZpNYIJxhUq2eL6s-%2FKJA62xOZbXE-%2FZjvmHVvIKOkj-%2Fsczgd47zG5guHxEaAREGC6zFvLnJRL3glr,,
training-certifications.checkpoint.com,,202,,training-certifications.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,training-certifications.checkpoint.com,cloudfront,443,https://training-certifications.checkpoint.com:443,https,CloudFront,text/html,GET,99.86.4.59,/,-1840324437,2600:9000:2057:d800:1d:478:80c0:93a1,Amazon Web Services,1,False,True,,,,,,
tthreatcloud-mta-dev-postfix-in.kube1.iaas.checkpoint.com,,404,21,tthreatcloud-mta-dev-postfix-in.kube1.iaas.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-10-29T23:59:59Z,CN=kube1.iaas.checkpoint.com,kube1.iaas.checkpoint.com,*.kube1.iaas.checkpoint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3b007e6dd3151628c86e766c0964880b,64b919853f5eb33a2351c502aee8f0376a5b914e8e71a0be3cdf9b7330ebd0ef,True,ctls,tthreatcloud-mta-dev-postfix-in.kube1.iaas.checkpoint.com,,443,https://tthreatcloud-mta-dev-postfix-in.kube1.iaas.checkpoint.com:443,https,,text/plain,GET,3.248.136.62,/,-1669793162,52.18.161.153,HSTS,1,False,,,,,,,
