input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_subject_org_,final_url,tls_self_signed,tls_expired
register.checkpoint.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://register.checkpoint.com:80,http,CloudFront,text/html,GET,18.164.52.29,/,-669208807,2600:9000:2450:f800:e:90fc:b100:93a1,Amazon Web Services,20,False,True,,,,,,
rep-us.checkpoint.com,,200,44,rep-us.checkpoint.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2017-12-15T00:00:00Z,2019-01-06T12:00:00Z,"CN=rep-us.checkpoint.com, OU=MIS-US, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",rep-us.checkpoint.com,rep-us.checkpoint.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,472827f2a4f917baa3b6119989698ef4,e57969c993ca18a42572c30d5f51e3f01221ab26c3fe2183253553335740138a,,ctls,rep-us.checkpoint.com,,443,https://rep-us.checkpoint.com:443,https,Apache,text/html,GET,209.87.212.180,/,-1840324437,209.87.212.180,Apache,1,False,,,,Check Point Software Technologies Inc.,,,True
rep.checkpoint.com,Error,403,177,rep.checkpoint.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-21T12:11:27Z,2024-01-22T12:11:26Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,675b099405a2711df7a2d32dfd3f4139,08458a1dc918202e24d2582da0e0343e3fe740813c4d1eb26f2dd12c772902a0,True,ctls,rep.checkpoint.com,,443,https://rep.checkpoint.com:443,https,AkamaiGHost,text/html,GET,2.18.161.196,/,1145490631,2a02:26f0:3500:598::43bc,,5,False,,,,,,,
research-stg.checkpoint.com,403 Forbidden,403,146,research-stg.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T14:26:38Z,2023-06-21T14:26:37Z,CN=research-stg.checkpoint.com,research-stg.checkpoint.com,research-stg.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3aeae92f9265d756aa9aeacfd3881454,2f5cb71ee8a733f92696cb36705c1b7bdcfa703f8513d6bf7ebc0ae102dd6586,,ctls,research-stg.checkpoint.com,,443,https://research-stg.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.21,/,-1561873722,141.193.213.20,HTTP/3,8,False,,,,,,,
resources.checkpoint.com,Check Point Resource Library,200,72643,resources.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-10-30T23:59:59Z,CN=resources.checkpoint.com,resources.checkpoint.com,resources.checkpoint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c57ea23f04579c6aef8d64aeb19c9337,15629177a6c0bf7d3eaf04ca4e53831889d19bc2b6ac99025bf7a157e886a0f1,,ctls,resources.checkpoint.com,,443,https://resources.checkpoint.com:443,https,nginx,text/html,GET,52.25.148.210,/,-1624278289,50.112.140.115,WordPress,818,False,,,,,,,
rfe.checkpoint.com,,202,,rfe.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,rfe.checkpoint.com,cloudfront,443,https://rfe.checkpoint.com:443,https,CloudFront,text/html,GET,99.86.4.70,/,-1840324437,2600:9000:2057:0:1d:478:80c0:93a1,Amazon Web Services,1,False,True,,,,,,
rpm-serv-stg.sg.iaas.checkpoint.com,,404,19,rpm-serv-stg.sg.iaas.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T11:41:38Z,2023-08-06T12:35:32Z,CN=rpm-serv-stg.sg.iaas.checkpoint.com,rpm-serv-stg.sg.iaas.checkpoint.com,rpm-serv-stg.sg.iaas.checkpoint.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d675b549fcba21c9a0a61ae615e2e481,54c6c52c8fa240e9a0e7b744df2cfa4a17a0b204eef598fd1704e318e721a11b,,ctls,rpm-serv-stg.sg.iaas.checkpoint.com,google,443,https://rpm-serv-stg.sg.iaas.checkpoint.com:443,https,Google Frontend,text/plain,GET,34.149.146.104,/,-138391155,34.149.146.104,HTTP/3,2,False,True,,,,,,
rpm-serv.sg.iaas.checkpoint.com,,404,19,rpm-serv.sg.iaas.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T11:27:19Z,2023-08-10T12:19:52Z,CN=rpm-serv.sg.iaas.checkpoint.com,rpm-serv.sg.iaas.checkpoint.com,rpm-serv.sg.iaas.checkpoint.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,4b624be21a055a8b7eeaaec165dcfb2c,67d41d60ff014ba0bb271917f8d82c23a8485105441c187dc5fca33215cb46bd,,ctls,rpm-serv.sg.iaas.checkpoint.com,google,443,https://rpm-serv.sg.iaas.checkpoint.com:443,https,Google Frontend,text/plain,GET,34.149.2.17,/,-138391155,34.149.2.17,HTTP/3,2,False,True,,,,,,
rus.checkpoint.com,,202,,www.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,www.checkpoint.com,,443,https://rus.checkpoint.com:443,https,CloudFront,text/html,GET,209.87.209.90,/,-1840324437,209.87.209.90,Amazon Web Services,1,False,,,,,https://www.checkpoint.com/ru/,,
salesloft.checkpoint.com,,204,,salesloft.checkpoint.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T05:38:44Z,2023-08-08T05:38:43Z,CN=salesloft.checkpoint.com,salesloft.checkpoint.com,salesloft.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4a3e9e24d47177ecfe12d6416cb207f7,e043ce4684fa7eed4a47f0c62d66a4ec1c24f780dd2a808177a97055e4a8592a,,ctls,salesloft.checkpoint.com,,443,https://salesloft.checkpoint.com:443,https,,,GET,3.222.7.36,/,-1840324437,3.93.29.37,HSTS,1,False,,,,,,,
