new,host,ttl,a,cname,soa,ns,status_code,cdn,cdn-name,aaaa,mx,txt,caa,has_internal_ips,internal_ips
[x],cp-game.tiktok.com,300,"23.213.161.205, 23.213.161.220, 23.213.161.203, 23.213.161.204, 23.213.161.213, 23.213.161.212, 23.213.161.196, 23.213.161.207, 23.213.161.219","cp-game.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412079, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412081, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412082, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412048, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412078, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
[x],cp-rp.tiktokv.com,600,"23.55.110.65, 23.55.110.44","cp-rp.tiktokv.com.edgesuite.net, a1539.t.akamai.net","{'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731411164, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412082, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412082, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412082, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412082, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
[x],login-eu.www.tiktok.com,300,,"login-eu.www.tiktok.com.edgesuite.net, a973.t.akamai.net","{'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412112, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412114, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412114, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412114, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
[x],login-row.www.tiktok.com,300,"23.202.61.104, 23.202.61.123","login-row.www.tiktok.com.ttdns2.com, login-row.www.tiktok.com.edgesuite.net, a874.t.akamai.net","{'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412108, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412109, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412109, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412109, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'ttdns2.com', 'ns': 'ns1.bytedns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2022082317, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412109, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
[x],lynx.tiktok.com,300,"2.16.238.20, 2.16.238.6","lynx.tiktok.com.ttdns2.com, lynx.tiktok.com.edgesuite.net, a636.t.akamai.net","{'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412109, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412110, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412110, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412110, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412110, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412110, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
[x],rc-verification.tiktokv.com,600,"23.216.132.52, 23.216.132.66, 23.216.132.63, 23.216.132.57, 23.216.132.82, 23.216.132.53, 23.216.132.68, 23.216.132.70, 23.216.132.65","rc-verification.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412018, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412130, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412050, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412048, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412132, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412128, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
[x],tiktok.com,60,"18.66.112.28, 18.66.112.128, 18.66.112.57, 18.66.112.109",,"{'name': 'tiktok.com', 'ns': 'ns-440.awsdns-55.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'tiktok.com', 'ns': 'ns-440.awsdns-55.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'tiktok.com', 'ns': 'ns-440.awsdns-55.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1574.awsdns-04.co.uk, ns-440.awsdns-55.com, ns-722.awsdns-26.net, ns-1475.awsdns-56.org",NOERROR,True,cloudfront,,"mx3.tiktok.com, mx2.tiktok.com, mx1.tiktok.com","apple-domain-verification=hXgMRIDdysM4HJYw, facebook-domain-verification=iec6txjjw8r35xhq5swdem8tpa5mzw, facebook-domain-verification=wo9l655kzm8rfqm1st3qe7gqduoqav, google-site-verification=-pibSb_VhK-cZP1CQSaH7s43WbBkpzjhUwAgyc3YDH4, google-site-verification=2ZTMDlDhN4fD3hIKVj_1LnDKhTvf4NVhT23o-edCEVw, google-site-verification=6qNNoqXIzco_ObM8QE5IZfz2kLnLQkG-llKLL_HudVI, google-site-verification=9aMOY6RF3QT8X2ACpo04BZ4CSdjPWxRJgncABZtHRYY, google-site-verification=StaGWBpu1eRwm0dUSA-24OmzeXAqkQitecePeqLQ0fc, google-site-verification=UlwaFhsh7mBJzb0eTyZBibPg6HQ6doHO8-_tkmjBo4E, google-site-verification=heUwjUSZGdrUk6gp54Bxe8zNWMepAUdI3eECZ7zzNuQ, google-site-verification=ot5hoJ0_9g-FO6j5YX6aoLZpNM7N0y988ua0zsCDr88, google-site-verification=spKY3sgLfx2ShlMQbs-jaGpfyhukOMBQ9fV_cR8yKII, hubspot-developer-verification=YzdjZDc2ZDEtMDRmNS00MWQyLWJlNzUtY2Q4YmQyN2E0NDFl, klaviyo-site-verification=STK9xy, mailru-verification: c0f4705a229bd0c6, v=spf1 include:_spf.google.com include:mail.zendesk.com include:spf.bytedance.com include:mail.stibee.com -all, verification-code-site-edm-va=GkLVdrouyEyNQGsN0X0W, MS=ms14857357, MS=ms80039204, _f3zsp3jcr9843f36xnpbfib409nlhjt, _globalsign-domain-verification=1Ni6hs1g4f-qH0qkRxQIQCeAaV4qeDxB75CccRlHS9",,,
[x],tiktokv.com,19,"184.51.101.126, 184.51.101.136, 184.51.101.178, 184.51.101.25, 184.51.101.127, 184.51.101.14, 184.51.101.161, 184.51.101.179, 184.51.101.160",,"{'name': 'tiktokv.com', 'ns': 'a9-66.akam.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1564169590, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'tiktokv.com', 'ns': 'a9-66.akam.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1564169590, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}, {'name': 'tiktokv.com', 'ns': 'a9-66.akam.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1564169590, 'refresh': 43200, 'retry': 7200, 'expire': 604800, 'minttl': 7200}","a6-65.akam.net, a12-66.akam.net, a13-67.akam.net, a9-66.akam.net, a18-64.akam.net, a1-97.akam.net",NOERROR,,,,,"google-site-verification=cIHowTkT1ekQD2t07MDPtSK7ZcAioqgCRA1Bz3jbRLI, _globalsign-domain-verification=BahbT-Pu-HaLP9bBimZ0MGe-4CPc4Z_MXqKNUajBmF, 9f37d02ce3934f6d8e01d947a8bbe2f3, verify_f0d15c9e32461c26ceb0541423170979, v=spf1 -all",,,
[x],tsr.tiktok.com,244,"2.16.154.59, 2.16.154.97","tsr.tiktok.com.ttdns2.com, tsr.tiktok.com.edgesuite.net, a1555.t.akamai.net","{'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412151, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412152, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412154, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'ttdns2.com', 'ns': 'ns1.bytedns.com', 'mailbox': 'dnsadmin.bytedance.com', 'serial': 2022082317, 'refresh': 3600, 'retry': 1200, 'expire': 86400, 'minttl': 300}, {'name': 't.akamai.net', 'ns': 'n0t.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412154, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
[x],ttwid.us.tiktok.com,600,"2.16.1.139, 2.16.1.211","ttwid.us.tiktok.com.edgekey.net, e74347.a.akamaiedge.net","{'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412151, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412153, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'a.akamaiedge.net', 'ns': 'n0a.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1731412153, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,,,,,
