input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,cdn_name,cdn,tls_mismatched,csp_domains_,tls_expired
hz.primetime.bluejeans.com,503 - Service Not Available,503,369,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,,ctls,www.bluejeans.com,443,https://hz.primetime.bluejeans.com:443,https,ECAcc (frc/4C86),text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Azure CDN,12,False,https://www.bluejeans.com/,,,,,
i.a2m.bluejeans.com,503 - Service Not Available,503,369,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,,ctls,www.bluejeans.com,443,https://i.a2m.bluejeans.com:443,https,ECAcc (frc/4C86),text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Azure CDN,12,False,https://www.bluejeans.com/,,,,,
i2.bluejeans.com,Blue Jeans Network | Video Collaboration in the Cloud,200,4341,i2.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=*.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",*.bluejeans.com,"Blue Jeans Network, Inc.",bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,1739f9f828d64c21136e0507dccbb4fa,7e588a3b36b9e0a4a306fd8c6f93afb0a8d494cc3225088406360bdc0f7e399f,True,ctls,i2.bluejeans.com,443,https://i2.bluejeans.com:443,https,BlueJeans Proxy,text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Python,149,False,,,,,,
i43.primetime.bluejeans.com,503 - Service Not Available,503,369,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,,ctls,www.bluejeans.com,443,https://i43.primetime.bluejeans.com:443,https,ECAcc (frc/4C86),text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Azure CDN,12,False,https://www.bluejeans.com/,,,,,
i543.primetime.bluejeans.com,503 - Service Not Available,503,369,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,,ctls,www.bluejeans.com,443,https://i543.primetime.bluejeans.com:443,https,ECAcc (frc/4C86),text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Azure CDN,12,False,https://www.bluejeans.com/,,,,,
iamaw.bluejeans.com,Blue Jeans Network | Video Collaboration in the Cloud,200,5054,iamaw.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=*.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",*.bluejeans.com,"Blue Jeans Network, Inc.",bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,1739f9f828d64c21136e0507dccbb4fa,7e588a3b36b9e0a4a306fd8c6f93afb0a8d494cc3225088406360bdc0f7e399f,True,ctls,iamaw.bluejeans.com,443,https://iamaw.bluejeans.com:443,https,BlueJeans Proxy,text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,HSTS,165,False,,,,,,
icai.bluejeans.com,Blue Jeans Network | Video Collaboration in the Cloud,200,3102,icai.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=*.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",*.bluejeans.com,"Blue Jeans Network, Inc.",bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,1739f9f828d64c21136e0507dccbb4fa,7e588a3b36b9e0a4a306fd8c6f93afb0a8d494cc3225088406360bdc0f7e399f,True,ctls,icai.bluejeans.com,443,https://icai.bluejeans.com:443,https,BlueJeans Proxy,text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Python,51,False,,,,,,
ideapublicschools.bluejeans.com,Blue Jeans Network | Video Collaboration in the Cloud,200,4381,ideapublicschools.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=*.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",*.bluejeans.com,"Blue Jeans Network, Inc.",bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,1739f9f828d64c21136e0507dccbb4fa,7e588a3b36b9e0a4a306fd8c6f93afb0a8d494cc3225088406360bdc0f7e399f,True,ctls,ideapublicschools.bluejeans.com,443,https://ideapublicschools.bluejeans.com:443,https,BlueJeans Proxy,text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Python,149,False,,,,,,
ideas.bluejeans.com,BlueJeans Meetings - Ideas Portal,200,3599,ideas.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-03T19:01:38Z,2023-10-01T19:01:37Z,CN=ideas.bluejeans.com,ideas.bluejeans.com,,ideas.bluejeans.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9b4ea70d6e358a19ba1c29b5c8f2e0d5,1ed3e70cf398e9a6c93034c5cbfd18b3503268c74ea8d05ae8c4938c58ae5442,,ctls,ideas.bluejeans.com,443,https://ideas.bluejeans.com:443,https,openresty,text/html,GET,35.171.201.123,/,993116777,35.171.201.123,Ruby on Rails,100,False,https://ideas.bluejeans.com/portal_session/new,,,,,
ih.3awww.www.bluejeans.com,503 - Service Not Available,503,369,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,,ctls,www.bluejeans.com,443,https://ih.3awww.www.bluejeans.com:443,https,ECAcc (frc/4C86),text/html,GET,35.80.24.196,/,-1150303391,35.80.24.196,Azure CDN,12,False,https://www.bluejeans.com/,,,,,
