input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tech_,csp_domains_,webserver,cdn_name,cdn,final_url
53.beta.blendlabs.com,,400,28,53.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-10T02:07:49Z,2023-10-08T02:07:48Z,CN=*.k8s.beta.blend.com,*.k8s.beta.blend.com,beta.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,452c8db83cf16233e4e73d5206544ae1,59d04997a9f78361125aa7f22430502d5fb98ee9458386db937fdfea12829e42,True,ctls,53.beta.blendlabs.com,443,https://53.beta.blendlabs.com:443,https,text/html,GET,54.164.251.10,/,-2025574194,52.6.20.108,1,False,,,,,,,
academy.blend.com,Blend Academy,200,116037,academy.blend.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-22T00:00:00Z,2024-04-20T23:59:59Z,CN=academy.blend.com,academy.blend.com,academy.blend.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8a8a6b417f3028dd50065904107df003,eb0c2b0e3411140c2b4714309720e98756e39763bacb3a6df6e4a7390596645a,,ctls,academy.blend.com,443,https://academy.blend.com:443,https,text/html,GET,18.66.147.4,/,-1840324437,18.66.147.56,315,False,,Ruby on Rails,https://*.vf.force.com,nginx,cloudfront,True,https://academy.blend.com/trainings
academy.blendlabs.com,,400,28,academy.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,academy.blendlabs.com,443,https://academy.blendlabs.com:443,https,text/html,GET,52.22.44.50,/,-2025574194,3.93.118.213,1,False,,,,,,,
academybank.beta.blendlabs.com,,200,114691,academybank.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,academybank.beta.blendlabs.com,443,https://academybank.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,https://connect2.finicity.com,,cloudflare,True,
academybank.blendlabs.com,Not Found,404,12379,academybank.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,academybank.blendlabs.com,443,https://academybank.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,,,cloudflare,True,
aemc.blendlabs.com,,400,28,aemc.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,aemc.blendlabs.com,443,https://aemc.blendlabs.com:443,https,text/html,GET,54.174.124.187,/,-2025574194,3.93.118.213,1,False,,,,,,,
affiliatedbank.blendlabs.com,Not Found,404,12379,affiliatedbank.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,affiliatedbank.blendlabs.com,443,https://affiliatedbank.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,,,cloudflare,True,
afifinancial.blendlabs.com,,200,80532,afifinancial.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-07T02:56:20Z,2023-09-05T02:56:19Z,CN=afifinancial.blendlabs.com,afifinancial.blendlabs.com,afifinancial.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,81b645ebb271a3eccd162e5b88ff1dfa,cd5510f05140aa354c84e5e14eb121f71c7ce8ae1179f0c7fb09a2e6d5f8cc6a,,ctls,afifinancial.blendlabs.com,443,https://afifinancial.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,33,False,,Plaid,https://mfa-registrar.blendlabs.com,,cloudflare,True,
alcova.blendlabs.com,Not Found,404,12379,alcova.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,alcova.blendlabs.com,443,https://alcova.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,,,cloudflare,True,
alending.blendlabs.com,,200,80437,alending.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-07T14:37:26Z,2023-09-05T14:37:25Z,CN=alending.blendlabs.com,alending.blendlabs.com,alending.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0557b337c88d4487145263adfb443b73,c1f8a57c2c83b390286f8ed4678f775f3836ce3dc7e807265d0900ca07310188,,ctls,alending.blendlabs.com,80,http://alending.blendlabs.com:80,http,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,33,False,,Plaid,csi.gstatic.com,,cloudflare,True,https://alending.blendlabs.com/
