input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,final_url
engine.starlingbank.com,SaaS cloud native banking software | Engine by Starling,200,44639,www.enginebystarling.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T13:02:50Z,2024-03-19T13:02:49Z,"CN=*.enginebystarling.com, O=Engine By Starling Limited, L=London, ST=London, C=GB",*.enginebystarling.com,Engine By Starling Limited,enginebystarling.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,e3a4185bc36833689b8a958350892fb8,39432e328e4d801fa0bb9eee7e27972a324ceb57fe5a614d0fdb7d4b34835b24,True,ctls,www.enginebystarling.com,443,https://engine.starlingbank.com:443,https,AmazonS3,text/html,GET,104.22.57.73,/,-946301599,2606:4700:10::6816:3949,React,1,False,cloudflare,True,,https://www.enginebystarling.com
engineering.starlingbank.com,,401,,engineering.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,2024-05-06T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",starlingbank.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a8a3bf521402b5a3dfeb57c3370f8bee,a76e290922fb2719952ef0d0c3c33ead7ca9aac6afb7a8ade0172356c7ee86ef,True,ctls,engineering.starlingbank.com,443,https://engineering.starlingbank.com:443,https,cloudflare,,GET,172.67.40.27,/,-1840324437,2606:4700:10::6816:3849,HSTS,1,False,cloudflare,True,,
grafana.starlingbank.com,400 No required SSL certificate was sent,400,632,grafana.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,grafana.starlingbank.com,443,https://grafana.starlingbank.com:443,https,nginx,text/html,GET,99.81.220.28,/,1752500266,34.252.17.250,Nginx,15,False,,,,
green.starlingbank.com,,401,12,green.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,green.starlingbank.com,443,https://green.starlingbank.com:443,https,CloudFront,,GET,13.32.121.82,/,1788358917,2600:9000:236e:1200:19:3222:1dc0:93a1,Amazon Web Services,1,False,cloudfront,True,,
international.starlingbank.com,Starling Bank: Award-winning bank accounts,200,975169,www.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,www.starlingbank.com,443,https://international.starlingbank.com:443,https,AmazonS3,text/html,GET,108.138.17.4,/,2056180308,2600:9000:2491:1c00:1d:a955:37c0:93a1,webpack,26,False,cloudfront,True,,https://www.starlingbank.com/
media.starlingbank.com,Starling Bank - Media Library,404,7859,media.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,media.starlingbank.com,443,https://media.starlingbank.com:443,https,AmazonS3,text/html,GET,143.204.89.97,/,1697210646,2600:9000:2156:a400:19:927b:29c0:93a1,Amazon Web Services,71,False,cloudfront,True,,
oauth.starlingbank.com,Starling Connect,200,1071,oauth.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,oauth.starlingbank.com,443,https://oauth.starlingbank.com:443,https,nginx,text/html,GET,52.50.225.133,/,1282305470,18.200.136.102,Nginx,1,False,,,,
openbanking-sandbox.starlingbank.com,,404,,openbanking-sandbox.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,openbanking-sandbox.starlingbank.com,443,https://openbanking-sandbox.starlingbank.com:443,https,StarlingServer,,GET,34.252.218.71,/,-1840324437,54.195.72.136,OpenGSE,1,False,,,,
openbanking.starlingbank.com,,404,,openbanking.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,openbanking.starlingbank.com,443,https://openbanking.starlingbank.com:443,https,StarlingServer,,GET,34.241.93.6,/,-1840324437,52.51.208.16,OpenGSE,1,False,,,,
payment-api-sandbox.starlingbank.com,,404,,payment-api-sandbox.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,payment-api-sandbox.starlingbank.com,443,https://payment-api-sandbox.starlingbank.com:443,https,StarlingServer,,GET,54.195.72.136,/,-1840324437,63.32.5.52,OpenGSE,1,False,,,,
