input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_wildcard_certificate,tls_subject_org_,location
amnesia.first.org,,200,4442,amnesia.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-07T11:28:06Z,2023-10-05T11:28:05Z,CN=jira.first.org,jira.first.org,jira.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,360b7c00047d012f6421160ee4cbb013,c7b66c6628085008d29026e666d1fc4a5447b4d65e35107bd6563da183e4cd76,ctls,amnesia.first.org,,443,https://amnesia.first.org:443,https,nginx,text/html,GET,213.208.154.13,/,-2006391994,213.208.154.13,Nginx,27,False,,,https://amnesia.first.org/plugins/servlet/samlsso?redirectTo=%2F,,,
api.first.org,FIRST.Org API v1,200,14877,api.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-17T23:09:15Z,2023-10-15T23:09:14Z,CN=api.first.org,api.first.org,api.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2c7533d38391540202e69ccfd9f553f0,deb30c10a820096e12bf9c76f71e37d3e9ea1880bb2c6ebf7e87b9621c5655c4,ctls,api.first.org,,443,https://api.first.org:443,https,nginx,text/html,GET,213.208.154.9,/,-1193240081,213.208.154.9,Nginx,221,False,,*.first.org,,,,
auth.first.org,Fastly error: unknown domain auth.first.org,500,256,auth.first.org,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-10T04:55:11Z,2024-05-11T04:55:10Z,CN=n.sni-347-default.ssl.fastly.net,n.sni-347-default.ssl.fastly.net,n.sni-347-default.ssl.fastly.net,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,e67535aeec2b1f365040c3f5bb2cb334,ce405f481c095e45001c1df8439b8e0167e675711e7f169eabdf102a059a5b14,ctls,auth.first.org,fastly,443,https://auth.first.org:443,https,Varnish,text/html,GET,151.101.1.91,/,354148323,2a04:4e42:600::347,Varnish,8,False,True,,,,,
cdn.jsdelivr.net,"jsDelivr - A free, fast, and reliable CDN for JS and open source",200,44661,www.jsdelivr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-26T15:08:04Z,2023-10-24T15:08:03Z,CN=www.jsdelivr.com,www.jsdelivr.com,www.jsdelivr.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7c9aa6d4acb2835a2ff15df65f1bc574,a987144dd21dd983b23b7e10bd8eaab02c7802adb499bcbdbc7de6f489a01a26,ctls,www.jsdelivr.com,cloudflare,443,https://cdn.jsdelivr.net:443,https,cloudflare,text/html,GET,104.16.89.20,/,-2029005286,2606:4700::6810:5514,HTTP/3,55,False,True,,https://www.jsdelivr.com,,,
cdn.mathjax.org,,403,111,cdn.mathjax.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-06T05:31:23Z,2023-10-04T05:31:22Z,CN=mathjax.org,mathjax.org,mathjax.org,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,8c58b02daddd4cd6f50f7c44f9b73976,3c17b5fb382b5252aa6327ef124c77d403e91a43f9cf3dfec90401e8cb6c70bc,ctls,cdn.mathjax.org,cloudflare,443,https://cdn.mathjax.org:443,https,cloudflare,application/xml,GET,172.67.72.172,/,1343071695,2606:4700:20::681a:ddc,Cloudflare,1,False,True,,,True,,
cdnjs.cloudflare.com,cdnjs.cloudflare.com,200,8867,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443,https,cloudflare,text/html,GET,104.17.24.14,/,2023033722,2606:4700::6811:190e,HTTP/3,169,False,True,,,True,"Cloudflare, Inc.",
cloud.first.org,,302,,sso.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-18T09:00:57Z,2023-09-16T09:00:56Z,CN=sso.first.org,sso.first.org,sso.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f618d69cbe737ff7217daf8f2bf1e19e,0da26d5090f9cf875ed4993e08373c2fd35e50b20baf4634f0931535a701cbfa,ctls,sso.first.org,,443,https://cloud.first.org:443,https,nginx,,GET,213.208.154.4,/,-1840324437,213.208.154.4,Nginx,1,False,,*.first.org,https://sso.first.org/oxauth/login.htm,,,https://sso.first.org/oxauth/error.htm
conference.first.org,"35th Annual FIRST Conference - Empowering Communities - Save the Date: Montreal, June 4-9, 2023",200,15548,www.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-22T23:17:38Z,2023-09-20T23:17:37Z,CN=www.first.org,www.first.org,www.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2974666bed29f37d2d257c87297ec2a1,f147f6ed8d4bf05ec56b2a8722d61ce0b0e367180609a279d1fe2dc9f037c43f,ctls,www.first.org,,443,https://conference.first.org:443,https,nginx,text/html,GET,213.208.154.14,/,1520438991,213.208.154.14,Nginx,97,False,,*.first.org,https://www.first.org/conference/2023/,,,
create.learn.first.org,create,200,30503,create.learn.first.org,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-09T10:49:25Z,2023-09-07T10:49:24Z,CN=create.learn.first.org,create.learn.first.org,create.learn.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,95d24ea6d2a5da121ea7fa368075ca48,f1343f428b76fbad27c743045a20448b4b8b55d37b83b901195662fe311623f1,ctls,create.learn.first.org,fastly,443,https://create.learn.first.org:443,https,Apache,text/html,GET,151.101.1.91,/,-50803868,2a04:4e42:600::347,Varnish,705,False,True,https://*.ingest.sentry.io,,,,
ctf.first.org,FIRST CTF,200,10017,ctf.first.org,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-28T17:28:32Z,2023-10-26T17:28:31Z,CN=ctf.first.org,ctf.first.org,ctf.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7c0ad36785ee6041cc7d92e9600e947c,94a44efacb28a53ef98b2bbfcd57b4ef2628e2965dd0314925aeb20255ed4dcb,ctls,ctf.first.org,fastly,443,https://ctf.first.org:443,https,,text/html,GET,151.101.1.91,/,636484750,2a04:4e42::347,Varnish,211,False,True,https://*.google.com,,,,
edx-studio.first.org,403 Forbidden,403,146,edx-studio.first.org,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-23T21:08:44Z,2023-10-21T21:08:43Z,CN=learning.first.org,learning.first.org,learning.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c76b7ce5b3da1a1a93880df4a837939a,9f854e439da17a5f1ce35364b2349d154fcfb48c184d6fd788e8d9d2b6fcdb4f,ctls,edx-studio.first.org,,443,https://edx-studio.first.org:443,https,nginx,text/html,GET,213.208.154.8,/,-1561873722,213.208.154.8,Nginx,8,False,,https:,,,,
edx.first.org,| FIRST Learning,200,13247,learning.first.org,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-23T21:08:44Z,2023-10-21T21:08:43Z,CN=learning.first.org,learning.first.org,learning.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c76b7ce5b3da1a1a93880df4a837939a,9f854e439da17a5f1ce35364b2349d154fcfb48c184d6fd788e8d9d2b6fcdb4f,ctls,learning.first.org,,443,https://edx.first.org:443,https,nginx,text/html,GET,213.208.154.8,/,1438912096,213.208.154.8,Nginx,511,False,,cdn.mathjax.org,https://learning.first.org/,,,
edx1-studio.first.org,| FIRST Learning,200,13247,learning.first.org,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-23T21:08:44Z,2023-10-21T21:08:43Z,CN=learning.first.org,learning.first.org,learning.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c76b7ce5b3da1a1a93880df4a837939a,9f854e439da17a5f1ce35364b2349d154fcfb48c184d6fd788e8d9d2b6fcdb4f,ctls,learning.first.org,,443,https://edx1-studio.first.org:443,https,nginx,text/html,GET,213.208.154.8,/,1438912096,213.208.154.8,Nginx,511,False,,*.first.org,https://learning.first.org/,,,
edx1.first.org,| FIRST Learning,200,13247,learning.first.org,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-23T21:08:44Z,2023-10-21T21:08:43Z,CN=learning.first.org,learning.first.org,learning.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c76b7ce5b3da1a1a93880df4a837939a,9f854e439da17a5f1ce35364b2349d154fcfb48c184d6fd788e8d9d2b6fcdb4f,ctls,learning.first.org,,443,https://edx1.first.org:443,https,nginx,text/html,GET,213.208.154.8,/,1438912096,213.208.154.8,Nginx,511,False,,cdn.mathjax.org,https://learning.first.org/,,,
events.first.org,Login | Certain,200,8959,events.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-20T00:00:00Z,2023-10-21T23:59:59Z,"CN=events.first.org, O=Forum of Incident Response and Security Teams\, Inc, L=Cary, ST=North Carolina, C=US",events.first.org,events.first.org,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b9ad6b7978800a1010b27b3f53ca35a2,125ff656a7957fc1fbccdc84655516a65b9d84edd91e3227b9edb348465a2a2b,ctls,events.first.org,,443,https://events.first.org:443,https,Apache,text/html,GET,52.23.125.165,/,-1331446480,52.23.125.165,HSTS,208,False,,,https://events.first.org/user/index.cfm,,"Forum of Incident Response and Security Teams, Inc",
first.org,FIRST - Improving Security Together,200,34170,www.first.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-06-22T23:17:38Z,2023-09-20T23:17:37Z,CN=www.first.org,www.first.org,www.first.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2974666bed29f37d2d257c87297ec2a1,f147f6ed8d4bf05ec56b2a8722d61ce0b0e367180609a279d1fe2dc9f037c43f,ctls,www.first.org,,443,https://first.org:443,https,nginx,text/html,GET,213.208.154.14,/,1015838390,213.208.154.14,Nginx,185,False,,https://api.first.org,https://www.first.org/,,,
