input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,tls_mismatched,tls_expired,cdn_name,cdn,final_url
abonnement.trouw.nl,DPG Media Privacy Gate,200,8835,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://abonnement.trouw.nl:443,https,,text/html,GET,184.86.103.206,/,-318086011,2a02:26f0:ab00::214:8e52,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=3m6ir0yffs9u8e7a&callbackUrl=https://abonnement.trouw.nl/
acc.trouw.nl,Access Denied,401,261,acc.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,acc.trouw.nl,443,https://acc.trouw.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.141,/,224201287,2a02:26f0:480:23::1726:629f,10,False,https://depersgroep.report-uri.io/r/default/csp/enforce,HSTS,,,,,
acc2.trouw.nl,Invalid URL,400,209,acc2.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,acc2.trouw.nl,443,https://acc2.trouw.nl:443,https,AkamaiGHost,text/html,GET,2.16.186.209,/,796409555,2a02:26f0:ab00::5c7a:d728,8,False,,,,,,,
acc43.trouw.nl,Invalid URL,400,209,acc43.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,acc43.trouw.nl,443,https://acc43.trouw.nl:443,https,AkamaiGHost,text/html,GET,184.86.103.207,/,1290299226,2a02:26f0:ab00::214:8e4a,8,False,,,,,,,
account.trouw.nl,Inlogpoging geblokkeerd,406,3321,account.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,account.trouw.nl,443,https://account.trouw.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.137,/,-1906723809,2a02:26f0:3400::215:4f2a,1,False,,,,,,,
archief.trouw.nl,DPG Media Privacy Gate,200,8837,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://archief.trouw.nl:443,https,,text/html,GET,146.185.53.23,/,130975908,146.185.53.23,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252farchief
beta.trouw.nl,DPG Media Privacy Gate,200,8816,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://beta.trouw.nl:443,https,,text/html,GET,2.16.187.152,/,224201287,2a02:26f0:ab00::214:8e62,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
borealis.trouw.nl,DPG Media Privacy Gate,200,8867,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://borealis.trouw.nl:443,https,,text/html,GET,76.223.83.89,/,1159260739,13.248.216.138,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3A%2F%2Fverhalen.trouw.nl%2Fprivacygate-confirm%3FredirectUri%3D%252Fborealis
circulation.trouw.nl,,200,12,circulation.trouw.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T13:43:54Z,2023-07-10T13:43:53Z,CN=circulation.trouw.nl,circulation.trouw.nl,,circulation.trouw.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5892011a8b813546d82a2110f4009566,7f58485e32d4ece3297de07e0de12c74ced5a5cd876bb10e72d3c88801a2e6a7,,ctls,circulation.trouw.nl,443,https://circulation.trouw.nl:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,164.92.144.12,/,-1840324437,164.92.144.12,1,False,,Ubuntu,,,,,
copacabana.trouw.nl,Invalid URL,400,208,copacabana.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,copacabana.trouw.nl,443,https://copacabana.trouw.nl:443,https,AkamaiGHost,text/html,GET,2.16.187.51,/,1453050075,2a02:26f0:ab00::214:8e4a,8,False,,,,,,,
dev-service.trouw.nl,Invalid URL,400,208,dev-service.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,dev-service.trouw.nl,443,https://dev-service.trouw.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.141,/,-401712619,2a02:26f0:480:23::1726:629f,8,False,,,,,,,
digitalekrant.trouw.nl,E-Pages,200,696,digitalekrant.trouw.nl,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-04-11T07:46:56Z,2023-10-07T21:59:00Z,CN=digitalekrant.trouw.nl,digitalekrant.trouw.nl,,digitalekrant.trouw.nl,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,c0ae12c0569c046e20604059c7c04e3d,bf262c9723421967331f95263422ba2a4e89b0c9401ce1494ed1084682b93a6c,,ctls,digitalekrant.trouw.nl,443,https://digitalekrant.trouw.nl:443,https,nginx,text/html,GET,46.30.126.155,/,-1531841733,46.30.127.83,15,False,,PHP,,,,,https://digitalekrant.trouw.nl/trouw/1879/
e.email.trouw.nl,"You received emails from this domain, didn't you?",200,15468,e.email.trouw.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-24T11:11:31Z,2023-08-22T11:11:30Z,CN=e.email.trouw.nl,e.email.trouw.nl,,e.email.trouw.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2359eb39a0ddba8aae825fb71495a188,64ca8206defdac7ff98771815f63381e6a8aa625f11c9e5b26deb3e055ba7960,,ctls,e.email.trouw.nl,443,https://e.email.trouw.nl:443,https,nginx,text/html,GET,185.136.65.6,/,-1812417198,185.136.65.7,344,False,,Webflow,,,,,
exclusief.trouw.nl,DPG Media Privacy Gate,200,8816,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://exclusief.trouw.nl:443,https,,text/html,GET,2.16.187.9,/,-1089150269,2a02:26f0:ab00::5c7a:d728,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
https://depersgroep.report-uri.io/r/default/csp/enforce,Report URI: Welcome to report-uri.com,200,30914,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:09:26Z,2023-07-04T21:09:25Z,CN=*.report-uri.com,*.report-uri.com,,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2128e997ff28af0650b7d95c3213b246,ce65156d72d6ff348f1e593736490978e80976ba3859748a2d4acb57b88b87e5,True,ctls,report-uri.com,443,https://depersgroep.report-uri.io:443/r/default/csp/enforce,https,cloudflare,text/html,GET,104.16.84.77,/r/default/csp/enforce,-1167838735,2606:4700::6810:534d,534,False,https://scotthelme.report-uri.com/r/d/csp/enforce,HTTP/3,,,cloudflare,True,https://report-uri.com
https://ssl.gstatic.com,Error 404 (Not Found)!!1,404,1561,ssl.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:57:42Z,2023-08-11T12:57:41Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7413746c808fa873a6032a283da87fcb,9cad9ade4fa8573dbf2182c566b17175d505d1fed535f7d0c044893d195081b5,True,ctls,ssl.gstatic.com,443,https://ssl.gstatic.com:443,https,sffe,text/html,GET,142.250.184.227,/,302920777,2a00:1450:4001:806::2003,12,False,,HTTP/3,,,,,
img-acc.trouw.nl,,403,42,img-acc.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,img-acc.trouw.nl,443,https://img-acc.trouw.nl:443,https,,application/json,GET,23.11.206.16,/,768769774,2a02:26f0:1700:11::b856:6794,1,False,,,,,,,
img.trouw.nl,,403,42,img.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,img.trouw.nl,443,https://img.trouw.nl:443,https,,application/json,GET,23.11.206.16,/,768769774,2a02:26f0:1700:11::b856:6786,1,False,,,,,,,
ims.trouw.nl,,200,113,,,,,,,,,,,,,,,,,,,,80,http://ims.trouw.nl:80,http,Microsoft-IIS/10.0,text/html,GET,2.16.187.115,/,1631801191,2a02:26f0:ab00::214:8e68,1,False,,Windows Server,,,,,
indebuurt.trouw.nl,,410,,indebuurt.trouw.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-28T15:42:34Z,2024-01-29T15:42:33Z,CN=*.persgroep.be,*.persgroep.be,,persgroep.be,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,fa3ab7d11322715caa5f73295ddfa926,b178ed62925e9aefd23d59a72fe10a7ed2de73932f3bc937e417a6f24f12d85f,True,ctls,indebuurt.trouw.nl,443,https://indebuurt.trouw.nl:443,https,BigIP,,GET,146.185.53.23,/,-1840324437,146.185.53.23,1,False,,F5 BigIP,True,,,,
landingpage.trouw.nl,DPG Media Branded Content -,200,16458,landingpage.trouw.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-15T00:00:00Z,2023-10-18T23:59:59Z,"CN=*.trouw.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.trouw.nl,DPG Media Services N.V.,trouw.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9f2800f08b91a8b2e77d39d1f0074b0,45671d9a1e325a727f32d209a68dc0240c3b8966dbae4ad99164191fc410bcd7,True,ctls,landingpage.trouw.nl,443,https://landingpage.trouw.nl:443,https,Apache,text/html,GET,2.16.186.209,/,-1453954994,2a02:26f0:ab00::5c7a:d728,114,False,,Yoast SEO:19.12,,,,,
m.trouw.nl,DPG Media Privacy Gate,200,8816,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://m.trouw.nl:443,https,,text/html,GET,95.101.111.171,/,224201287,2a02:26f0:3400::170b:ce1a,278,False,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=w38GrtRHtDg4T8xq&callbackUrl=https%3a%2f%2fwww.trouw.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
