input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched
annotation.recordedfuture.com,Anubis,200,1672,annotation.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,annotation.recordedfuture.com,cloudflare,443,https://annotation.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,-738705486,104.18.7.66,Material Design Lite,33,False,True,*.gstatic.com,https://annotation.recordedfuture.com/app/anubis/,
api3.recordedfuture.com,,404,48,api3.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,api3.recordedfuture.com,cloudflare,443,https://api3.recordedfuture.com:443,https,cloudflare,application/json,GET,104.18.6.66,/,834205737,104.18.7.66,HSTS,1,False,True,,,
cal.recordedfuture.com,Sign in - Google Accounts,200,1438,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:22:10Z,2023-08-21T08:22:09Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f2bd4ee4f253f14a043bfb763b9bb802,eb5a312bc993b8f3d4a0157d94b96de55cd045397026970d42984b9ae6930ac6,,ctls,www.google.com,,80,http://cal.recordedfuture.com:80,http,GSE,text/html,GET,142.250.186.179,/,-1852798193,2a00:1450:4001:829::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=recordedfuture.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,https://www.google.com/a/recordedfuture.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,
cms.recordedfuture.com,Welcome to your Strapi app,200,3290,cms.recordedfuture.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-19T15:05:15Z,2023-08-17T15:05:14Z,CN=cms.recordedfuture.com,cms.recordedfuture.com,,www.cms.recordedfuture.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d5bb42c737f13071d5d8ac2f0076f7c5,573b41aa8aecbdf36b1b6fb9ea08e40da715ad2c04a76300c1b0888572eb6344,,ctls,cms.recordedfuture.com,fastly,443,https://cms.recordedfuture.com:443,https,,text/html,GET,151.101.2.216,/,-1144348573,151.101.194.216,Varnish,35,False,True,https://market-assets.strapi.io,,
cms.therecord.media,Welcome to your Strapi app,200,3121,cms.therecord.media,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",therecord.media,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",73eb905a6777f357be3744745b219551,32262f820a0498e48e112f075d1124376a79ce1ffa1a85ba462740b0a33ff8f4,True,ctls,cms.therecord.media,cloudflare,443,https://cms.therecord.media:443,https,cloudflare,text/html,GET,104.18.28.120,/,-1144348573,2606:4700::6812:1d78,Strapi,31,False,True,https:,,
community.recordedfuture.com,,200,989,community.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,community.recordedfuture.com,cloudflare,443,https://community.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,-402506565,104.18.7.66,HSTS,24,False,True,,https://community.recordedfuture.com/s/,
futuristuniversity.recordedfuture.com,Recorded Future - Sign In,200,22255,1rf.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,1rf.okta.com,cloudfront,443,https://futuristuniversity.recordedfuture.com:443,https,nginx,text/html,GET,143.204.215.85,/,-1270044346,143.204.215.109,Nginx,494,False,True,*.authenticatorlocalprod.com:65121,https://1rf.okta.com/app/1rf_skilljar_1/exk3emk2sqFaBy1Nh697/sso/saml?SAMLRequest=fZJBc9owEIXv%2FAqP79iWSQxogBkCTcsMBU%2BgOfTCCHldFGzJ0Uok%2FPtaIjTNIbFP3t337Zu3HiGrq4ZOrTnIB3i2gKYTBK91JZH61ji0WlLFUCCVrAakhtPN9OeSplFCG62M4qoKP4i%2B1jBE0EYo6USL%2BThcr74t198Xqx0ftG%2BvIDxLUtjvM0g5GfQYYeWwyPqsnwwHjJXljRM%2BgsaWMQ5bpPsOglyrkyhAr9qN43BzFFX1xHQwU1YjBHnFTKl07ZciWlhINEyaFpCkvW6SddNsm9zQ5JbeDn67qXmbhZDM%2BC0HYxqkcUx0GamjYRFXdcyaxhV2%2BLZrR2J4PfagPqb4fM%2FuzmR1yIb9GFHFLhdHzd8SuxOyEPLP11HtL0NIf2y3eTdfb7YOMb0GOFMSbQ16A%2FokOPx6WL4bZZwrKw1GV3MXx%2B2dvZWYHMjxRQyeSLIX0E5jOPEpjlyX%2BoT05AorrbFaoLFSnFzu5hxp4EoXUPgWePgo%2Fl%2F7TmuoO8linqtK8LOvu%2Be%2BvQYznwdAIuIrouiWfpRCzUQ1LQoNiOE%2FzrSq1MtMAzPt2Y22EAbxpNO5uPn4a0%2F%2BAg%3D%3D&RelayState=%2Fauth%2Fendpoint%2Flogin%2Fresult%3Fnext%3D%252F%26d%3D1h1kwi8j10bie&Signature=edn4um1NSVyWO4I%2FrzopodQHVeqVhHrEmerNWF%2BTeSOhS0l9a00fL6izelFZ6YMAaoNyTnb5Zy2U8uULzdNZ4wzunGu7OhrcAANTLmQC7xYxY7mqvu6yCEuWcaa372Q4b5FJ6yNeaUH%2F2N64MgAH5Ec1PbkfOwJqo9H278JUK4g%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256,
get.recordedfuture.com,,200,3678,get.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,get.recordedfuture.com,cloudflare,443,https://get.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,-1335621053,104.18.7.66,Unbounce,73,False,True,,,
gslink.recordedfuture.com,404 Not Found,404,162,gslink.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=gslink.recordedfuture.com,gslink.recordedfuture.com,,gslink.recordedfuture.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,04917aaabd3530cc7879945339e53610,e0da3d308832b0cd0d525989c6e21b2b25a46a24b4fc04ed56bd79e4066628b0,,ctls,gslink.recordedfuture.com,cloudfront,443,https://gslink.recordedfuture.com:443,https,nginx,text/html,GET,143.204.215.73,/,190856733,2600:9000:214f:e600:2:bd7d:f9c0:93a1,Nginx,8,False,True,,,
gsnlink.recordedfuture.com,404 Not Found,404,155,gsnlink.recordedfuture.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.recordedfuture.com, O=Recorded Future\, Inc, L=Somerville, ST=Massachusetts, C=US",*.recordedfuture.com,"Recorded Future, Inc",recordedfuture.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b5bb51d21e0749aed31f4c2cffeeaa03,40d04c5828dc5dd8b70a332293cde38a42e72a97d5cb6161b8074a1d4f711944,True,ctls,gsnlink.recordedfuture.com,cloudflare,443,https://gsnlink.recordedfuture.com:443,https,cloudflare,text/html,GET,104.18.6.66,/,718397587,104.18.7.66,HSTS,8,False,True,,,
