input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,lines,failed,tls_subject_org_,content_type,tech_,cdn_name,cdn,final_url,csp_domains_
academy.on2it.net,academy.on2it.net: Log in to the site,200,24747,academy.on2it.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-20T06:34:50Z,2023-08-18T06:34:49Z,CN=academy.on2it.net,academy.on2it.net,academy.on2it.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,034e2e65230477413f3f0bbda0bd8a9c,00614d458f2014ea4b733646f36cbc763cf95432b6c902e7877c9e7f14bea681,ctls,academy.on2it.net,443,https://academy.on2it.net:443,https,Apache,GET,87.233.196.82,/,1448169026,87.233.196.82,233,False,,text/html,PHP,,,https://academy.on2it.net/login/index.php,
api.on2it.net,,404,,api.on2it.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T07:43:04Z,2023-08-05T07:43:03Z,CN=api.on2it.net,api.on2it.net,api.on2it.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1970bcd607a7eda5346e1d2d6f812575,823a3399d593f3e3c8806ea8e422453ed28e6db981d87c90f8436cc3df8aac05,ctls,api.on2it.net,443,https://api.on2it.net:443,https,istio-envoy,GET,185.46.234.72,/,-1840324437,185.46.234.72,1,False,,,,,,,
edl.on2it.net,,404,,edl.on2it.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T07:43:23Z,2023-08-05T07:43:22Z,CN=edl.on2it.net,edl.on2it.net,edl.on2it.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d2af3205590ea779f38d3288b062f73,7388097284905e2defdf81e0c995552e28cf043fcb3d45cbf7903967ecbfdef2,ctls,edl.on2it.net,443,https://edl.on2it.net:443,https,istio-envoy,GET,185.46.234.85,/,-1840324437,185.46.234.85,1,False,,,,,,,
enrollment.eu.soc.on2it.net,403 Forbidden,403,454,enrollment.eu.soc.on2it.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2023-10-26T23:59:59Z,CN=enrollment.eu.soc.on2it.net,enrollment.eu.soc.on2it.net,enrollment.eu.soc.on2it.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ea0d0ab166fd7bf10af123cebbe6e1d,49b677bbbb679fba8c3f633cbfe85246683ed95d8cf17007089f69b56d4c1434,ctls,enrollment.eu.soc.on2it.net,443,https://enrollment.eu.soc.on2it.net:443,https,AmazonS3,GET,13.225.78.4,/,-777528,2600:9000:21f3:9800:0:b2a2:1400:93a1,19,False,,text/html,Amazon Web Services,cloudfront,True,,
enrollment.test-eu1.soc.on2it.net,403 Forbidden,403,454,enrollment.test-eu1.soc.on2it.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-10-26T23:59:59Z,CN=enrollment.test-eu1.soc.on2it.net,enrollment.test-eu1.soc.on2it.net,enrollment.test-eu1.soc.on2it.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,018b8417146028f1c761fff364063344,66689d5cbf13a8dfbbc01476a83281152d3e478f95c6e6cc5533903cb956f101,ctls,enrollment.test-eu1.soc.on2it.net,443,https://enrollment.test-eu1.soc.on2it.net:443,https,AmazonS3,GET,52.222.236.62,/,1277408248,2600:9000:223e:9e00:16:e296:cb40:93a1,19,False,,text/html,Amazon Web Services,cloudfront,True,,
enrollment.test-us1.soc.on2it.net,403 Forbidden,403,454,enrollment.test-us1.soc.on2it.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-26T23:59:59Z,CN=enrollment.test-us1.soc.on2it.net,enrollment.test-us1.soc.on2it.net,enrollment.test-us1.soc.on2it.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cc22042c158b6dfbfd9d506839a94c34,8e986d9ada6843c06ea2183ad093077a73844f301d0ebd1db9c1f4787c288dc7,ctls,enrollment.test-us1.soc.on2it.net,443,https://enrollment.test-us1.soc.on2it.net:443,https,AmazonS3,GET,65.9.66.15,/,-1026355482,2600:9000:206f:3e00:3:7e5b:e700:93a1,19,False,,text/html,Amazon Web Services,cloudfront,True,,
enrollment.us.soc.on2it.net,403 Forbidden,403,454,enrollment.us.soc.on2it.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-10-26T23:59:59Z,CN=enrollment.us.soc.on2it.net,enrollment.us.soc.on2it.net,enrollment.us.soc.on2it.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2cdc192276854df2598dba08abb24c45,3c529a3c4276d2fb3230f6d8f552057fc92d15b81b980a4f92513459bb8b8ccc,ctls,enrollment.us.soc.on2it.net,443,https://enrollment.us.soc.on2it.net:443,https,AmazonS3,GET,18.66.97.83,/,-1280418135,2600:9000:223c:5600:7:a338:6bc0:93a1,19,False,,text/html,Amazon Web Services,cloudfront,True,,
filerdemo.on2it.net,Demo ON2IT Filer,200,16317,filerdemo.on2it.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T13:10:35Z,2023-08-14T13:10:34Z,CN=filerdemo.on2it.net,filerdemo.on2it.net,filerdemo.on2it.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d019897ea097a5d1ffc6b91a2a8d389b,cf5a762d44bdec47749e2a6ac7885d2918d82e591c76d24470b0d2ba70e895ad,ctls,filerdemo.on2it.net,443,https://filerdemo.on2it.net:443,https,,GET,185.46.232.71,/,1781709202,185.46.232.71,97,False,,text/html,HSTS,,,https://filerdemo.on2it.net/login,
goto.on2it.net,ON2IT Zero Trust Innovators - Zero Trust Innovators,200,288280,on2it.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-24T18:43:55Z,2023-08-22T18:43:54Z,CN=on2it.net,on2it.net,on2it.net,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,df31673d28c7f16cf810525c9e79b7ec,d7bf0738e3653b23621931a5a6318f3219b3b2f6a16fa0f3c1d55c669987060b,ctls,on2it.net,443,https://goto.on2it.net:443,https,cloudflare,GET,185.46.232.74,/,786073122,185.46.232.74,1765,False,,text/html,ZURB Foundation,,,https://on2it.net/,
gp.on2it.net,,200,170,gp.on2it.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-28T00:00:00Z,2024-03-23T23:59:59Z,CN=gp.on2it.net,gp.on2it.net,gp2.on2it.net,"CN=Trust Provider B.V. TLS RSA CA G1, OU=Domain Validated SSL, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA CA G1,Trust Provider B.V.,b37523d13be130ba2a2d78ae32d091e7,34c18a9bdaa83244731b66909cda5332fb0b0aa2b78d464ecff613cf8f48e6c3,ctls,gp.on2it.net,443,https://gp.on2it.net:443,https,,GET,85.17.178.48,/,593259606,85.17.178.48,4,False,,text/html,HSTS,,,,
