new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns
[x],ads.swiggy.com,"54.255.53.232, 18.142.201.37, 18.139.183.153","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,makemesuper-1378912376.ap-southeast-1.elb.amazonaws.com,,,,
[x],analytics-test.swiggy.com,"18.136.83.19, 52.220.159.196, 54.169.213.96","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,dp-p-event-collector-alb-126822912.ap-southeast-1.elb.amazonaws.com,,,,
[x],analytics-uat.swiggy.com,13.229.51.132,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,
[x],analytics.swiggy.com,,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,public-analytics-swiggy-com-766210341.ap-southeast-1.elb.amazonaws.com,,,,"ns-1502.awsdns-59.org, ns-2013.awsdns-59.co.uk, ns-214.awsdns-26.com, ns-882.awsdns-46.net"
[x],apg.swiggy.com,52.221.201.236,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1502.awsdns-59.org, ns-2013.awsdns-59.co.uk, ns-214.awsdns-26.com, ns-882.awsdns-46.net"
[x],api.swiggy.com,,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,ns-api-swiggy-com-2005216846.ap-southeast-1.elb.amazonaws.com,,,,
[x],app-stage.swiggy.com,13.250.167.81,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,
[x],app.swiggy.com,"13.250.192.26, 52.76.94.58, 52.74.23.183","ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,
[x],assets.swiggy.com,"99.86.4.129, 99.86.4.2, 99.86.4.84, 99.86.4.46","ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,
[x],bifrost.swiggy.com,"3.109.112.150, 65.0.229.52","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,vodafone-bifrost-prod-elb-1662891757.ap-south-1.elb.amazonaws.com,,,,
[x],bytes.swiggy.com,"52.1.173.203, 52.0.16.118, 52.5.181.79, 52.1.147.205, 52.6.46.142, 52.4.175.111, 52.1.119.170, 52.4.145.119, 52.4.38.70, 52.4.225.124, 52.4.240.221, 52.6.3.192","ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,
