new,host,ttl,a,cname,soa,status_code,txt,aaaa,has_internal_ips,internal_ips,caa,mx,ns
[x],096e3128d19e2fc479234d717ebea1574448504f.1.damoh.web.de,300,217.72.199.4,partnerproxy.ui-portal.de,"{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],096f07832e611c9365900827f41bc67beb86a81d.3.damoh.web.de,300,,partnerproxy.ui-portal.de,"{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],0b9569f237c710c545d951419465f66003367961.2.damoh.web.de,300,,"partnerproxy.ui-portal.de, PArTnErProXY.Ui-portal.de","{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'Ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],1.damoh.web.de,298,,partnerproxy.ui-portal.de,"{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],10189deac759658e3a1d807f6070b582b94465d3.3.damoh.web.de,300,217.72.199.4,"partnerproxy.ui-portal.de, PArTnErProXY.Ui-portal.de","{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'Ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],11d9994ff6057bcef6f514228f67db871005d21d.3.damoh.web.de,300,217.72.199.4,partnerproxy.ui-portal.de,"{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],1429f5937edb975455520e4d280908a91815226f.3.damoh.web.de,300,,partnerproxy.ui-portal.de,"{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],143e6d2959592db8ef6476294a55f5dc73040dbc.2.damoh.web.de,300,,partnerproxy.ui-portal.de,"{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],157abf4f827202fc69205e43876a488d7b550443.3.damoh.web.de,300,217.72.199.4,partnerproxy.ui-portal.de,"{'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'ui-portal.de', 'ns': 'rns.ui-dns.de', 'mailbox': 'dnsadmin.1und1.de', 'serial': 2013083673, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,
[x],164-6.software.web.de,300,82.165.229.152,"redir.web.de, redir.g-ha-web.de","{'name': 'g-ha-web.de', 'ns': 'ns1.po.ui-dns.de', 'mailbox': 'hostmaster.ns1.po.ui-dns.de', 'serial': 2024020502, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'g-ha-web.de', 'ns': 'ns1.po.ui-dns.de', 'mailbox': 'hostmaster.ns1.po.ui-dns.de', 'serial': 2024020502, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'g-ha-web.de', 'ns': 'ns1.po.ui-dns.de', 'mailbox': 'hostmaster.ns1.po.ui-dns.de', 'serial': 2024020502, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'g-ha-web.de', 'ns': 'ns1.po.ui-dns.de', 'mailbox': 'hostmaster.ns1.po.ui-dns.de', 'serial': 2024020502, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'g-ha-web.de', 'ns': 'ns1.po.ui-dns.de', 'mailbox': 'hostmaster.ns1.po.ui-dns.de', 'serial': 2024020502, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}, {'name': 'g-ha-web.de', 'ns': 'ns1.po.ui-dns.de', 'mailbox': 'hostmaster.ns1.po.ui-dns.de', 'serial': 2024020502, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,,,
