new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,mx,txt,caa,has_internal_ips,internal_ips
[x],centrify.com,"75.2.74.202, 99.83.138.122",,"ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-390.awsdns-48.com, ns-893.awsdns-47.net, ns-1465.awsdns-55.org, ns-1653.awsdns-14.co.uk",,centrify-com.mail.protection.outlook.com,"J0mcjKD7fO/mHPG9ovjELor0pJB8R4I01C2/QL+KGZIcJjVkt9R3Dq0BlgQUB7gSmsV83fgBLdXWTHGtNzDqKw==, MS=ms21505735, _Fastly-domain-delegation-EvBodPmo6wjsS7FJSUyC, atlassian-domain-verification=s8SNnNaOlQMHbTLBqVI3aLQDUQibX7iBF3Cl2QP1wuX1G+UI807yV-9WvDzB8KcN, bugcrowd-verification=e454d1bf984508062476e3b6ce3af3d6, citrix-verification-code=d53ab954-90d6-4244-8e58-c9fa052459f3, docusign=0e11b6d9-945e-486c-9485-fd27c4a32093, google-site-verification=402Ght5DYiLhRONaVArpR1ABCee5P0M7GOQuKOtaWMg, google-site-verification=HnZvZHolkTY0O7ilXehVzKvoegtYg9KjLsJMvgSXTsE, google-site-verification=l-8GDdph1k5Qq_Tk77yBlgKbJsnTqm_di_gv_ap1HdU, google-site-verification=x3uiDWgY67I4dvvx94t5UkOgI9RHTXJC-R9kj474F5I, have-i-been-pwned-verification=f9f350b9b90b21435eb282214324ea02, onetrust-domain-verification=69e5a2470d6d4e5daa2f92b1033a4218, s56no0Su9rj9mrzBWsjmMOy/XuSZDKI1Iu2MFgm79PFOa4J3sldJzufes2Ild6nlByVMczDyxDSVoygjia65Ig==, smartsheet-site-validation=jJ4x5oWztTz3xOBXYp55lvx730HEK6GQ, v=spf1 include:_s00147857.autospf.email include:spf.protection.outlook.com -all, 244A97B5CD","letsencrypt.org, sectigo.com, amazonaws.com, digicert.com, globalsign.com, godaddy.com",,
,01e72ea7-f2a1-41d5-95b0-77237bf43260-gw.gateway.centrify.com,"3.84.64.22, 3.86.137.55","pod1002-pod.gateway.idaptive.app, pod2001-gw.gateway.idaptive.app, pod2001.idaptive.app, idaptive-pod2001-nlb-f62a17-d0c83647cd70e453.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,089801b8-6aad-4344-9ffa-f1be3440c0cc-gw.gateway.centrify.com,"35.165.87.242, 35.155.240.98","pod1102-pod.gateway.idaptive.app, pod2101-gw.gateway.idaptive.app, pod2101.idaptive.app, idaptive-pod2101-nlb-91b88e-da576bfbe6ff8ec7.elb.us-west-2.amazonaws.com","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0c990fcb-3af2-493a-8d1b-26e232ccd451-gw.gateway.centrify.com,"3.84.64.22, 3.86.137.55","pod1005-pod.gateway.idaptive.app, pod2001-gw.gateway.idaptive.app, pod2001.idaptive.app, idaptive-pod2001-nlb-f62a17-d0c83647cd70e453.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,0ee303ef-337b-4c5a-a12d-9ce46e08a10a-gw.gateway.centrify.com,"3.86.137.55, 3.84.64.22","pod1007-pod.gateway.idaptive.app, pod2001-gw.gateway.idaptive.app, pod2001.idaptive.app, idaptive-pod2001-nlb-f62a17-d0c83647cd70e453.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,10k.my-qa.centrify.com,40.112.167.58,"aan0157.my-qa.centrify.com, station-pod1.centrify.com, station-pod1.trafficmanager.net, station-pod001.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
,111.my-qa.centrify.com,168.62.189.137,"station.centrify.com, station-pod0.trafficmanager.net, station-pod0.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
,122.my-qa.centrify.com,40.112.167.58,"aac0750.my-qa.centrify.com, station-pod1.centrify.com, station-pod1.trafficmanager.net, station-pod001.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
,123.my-dev.centrify.com,40.71.99.88,"ddpod1.centrify.com, devdog-pod1.trafficmanager.net, devdog-pod1.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
,168de255-8031-47b0-b234-9b9d2bfb8133-gw.gateway.centrify.com,"3.84.64.22, 3.86.137.55","pod1005-pod.gateway.idaptive.app, pod2001-gw.gateway.idaptive.app, pod2001.idaptive.app, idaptive-pod2001-nlb-f62a17-d0c83647cd70e453.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
