input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn_name,webserver,cdn,csp_domains_,content_type,tls_mismatched
01e72ea7-f2a1-41d5-95b0-77237bf43260-gw.gateway.centrify.com,,400,,,,,,,,,,,,,,,,,,,,,,80,http://01e72ea7-f2a1-41d5-95b0-77237bf43260-gw.gateway.centrify.com:80,http,GET,3.86.137.55,/,-1840324437,,3.84.64.22,,1,False,,,,,,
089801b8-6aad-4344-9ffa-f1be3440c0cc-gw.gateway.centrify.com,,200,5489,corp.my.idaptive.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-21T07:16:07Z,2023-12-23T07:16:06Z,"CN=*.my.idaptive.app, O=CYBERARK SOFTWARE LTD., L=Petah Tikva, ST=Central, C=IL",*.my.idaptive.app,CYBERARK SOFTWARE LTD.,my.idaptive.app,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,7f7e8e45945e943ed49a8b369fdd73c0,369b060174c570dea298f9588d1cde769be315ae546830d73bfeb823179c04ed,True,ctls,corp.my.idaptive.app,80,http://089801b8-6aad-4344-9ffa-f1be3440c0cc-gw.gateway.centrify.com:80,http,GET,35.165.87.242,/,-1976902251,https://corp.my.idaptive.app/login?appkey=089801b8-6aad-4344-9ffa-f1be3440c0cc-gw&customerId=LG602&relaystate=eyJJbml0QXV0aCI6dHJ1ZSwiTWV0aG9kIjoiR0VUIiwiVXJpIjoiaHR0cDovLzA4OTgwMWI4LTZhYWQtNDM0NC05ZmZhLWYxYmUzNDQwYzBjYy1ndy5nYXRld2F5LmNlbnRyaWZ5LmNvbS8ifQ__&zsoInProg=true&yfirtnecrun=true,35.155.240.98,HSTS,137,False,,,,,text/html,
0c990fcb-3af2-493a-8d1b-26e232ccd451-gw.gateway.centrify.com,,200,5489,hoopp.my.idaptive.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-21T07:16:07Z,2023-12-23T07:16:06Z,"CN=*.my.idaptive.app, O=CYBERARK SOFTWARE LTD., L=Petah Tikva, ST=Central, C=IL",*.my.idaptive.app,CYBERARK SOFTWARE LTD.,my.idaptive.app,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,7f7e8e45945e943ed49a8b369fdd73c0,369b060174c570dea298f9588d1cde769be315ae546830d73bfeb823179c04ed,True,ctls,hoopp.my.idaptive.app,80,http://0c990fcb-3af2-493a-8d1b-26e232ccd451-gw.gateway.centrify.com:80,http,GET,3.86.137.55,/,1185852455,https://hoopp.my.idaptive.app/login?appkey=0c990fcb-3af2-493a-8d1b-26e232ccd451-gw&customerId=AAM0477&relaystate=eyJJbml0QXV0aCI6dHJ1ZSwiTWV0aG9kIjoiR0VUIiwiVXJpIjoiaHR0cDovLzBjOTkwZmNiLTNhZjItNDkzYS04ZDFiLTI2ZTIzMmNjZDQ1MS1ndy5nYXRld2F5LmNlbnRyaWZ5LmNvbS8ifQ__&zsoInProg=true&yfirtnecrun=true,3.84.64.22,HSTS,137,False,,,,,text/html,
0ee303ef-337b-4c5a-a12d-9ce46e08a10a-gw.gateway.centrify.com,,200,5489,eotss.my.idaptive.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-21T07:16:07Z,2023-12-23T07:16:06Z,"CN=*.my.idaptive.app, O=CYBERARK SOFTWARE LTD., L=Petah Tikva, ST=Central, C=IL",*.my.idaptive.app,CYBERARK SOFTWARE LTD.,my.idaptive.app,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,7f7e8e45945e943ed49a8b369fdd73c0,369b060174c570dea298f9588d1cde769be315ae546830d73bfeb823179c04ed,True,ctls,eotss.my.idaptive.app,80,http://0ee303ef-337b-4c5a-a12d-9ce46e08a10a-gw.gateway.centrify.com:80,http,GET,3.84.64.22,/,1346321563,https://eotss.my.idaptive.app/login?appkey=0ee303ef-337b-4c5a-a12d-9ce46e08a10a-gw&customerId=AAQ0416&relaystate=eyJJbml0QXV0aCI6dHJ1ZSwiTWV0aG9kIjoiR0VUIiwiVXJpIjoiaHR0cDovLzBlZTMwM2VmLTMzN2ItNGM1YS1hMTJkLTljZTQ2ZTA4YTEwYS1ndy5nYXRld2F5LmNlbnRyaWZ5LmNvbS8ifQ__&zsoInProg=true&yfirtnecrun=true,3.86.137.55,HSTS,137,False,,,,,text/html,
111.my-qa.centrify.com,,200,5434,111.my-qa.centrify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-07T00:00:00Z,2024-07-07T23:59:59Z,"CN=*.my-qa.centrify.com, O=Delinea Inc, ST=California, C=US",*.my-qa.centrify.com,Delinea Inc,my-qa.centrify.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2022ff590a2bbe455ee1c5594e2053a4,82e76e9ae464fefc93a8c17ebc6ac6b6cecf3c87e27a6f07de99588bc864ac7d,True,ctls,111.my-qa.centrify.com,443,https://111.my-qa.centrify.com:443,https,GET,168.62.189.137,/,-1840324437,https://111.my-qa.centrify.com/my?customerId=AAJ0825&zsoInProg=true,168.62.189.137,HSTS,140,False,azure,,True,,text/html,
123.my-dev.centrify.com,Admin Portal,200,4303,123.my-dev.centrify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.my-dev.centrify.com, O=Delinea Inc., ST=California, C=US",*.my-dev.centrify.com,Delinea Inc.,my-dev.centrify.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e5fbb5c73ab438624a1162da3e0d3791,179ffbe5f2bf85e0160963ebbaf6291e22c92303c6c40493cc78ec0b5dce8aad,True,ctls,123.my-dev.centrify.com,443,https://123.my-dev.centrify.com:443,https,GET,40.71.99.88,/,-1840324437,https://123.my-dev.centrify.com/my,40.71.99.88,HSTS,70,False,azure,,True,https://fonts.googleapis.com,text/html,
168de255-8031-47b0-b234-9b9d2bfb8133-gw.gateway.centrify.com,,200,5489,aba.my.idaptive.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-21T07:16:07Z,2023-12-23T07:16:06Z,"CN=*.my.idaptive.app, O=CYBERARK SOFTWARE LTD., L=Petah Tikva, ST=Central, C=IL",*.my.idaptive.app,CYBERARK SOFTWARE LTD.,my.idaptive.app,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,7f7e8e45945e943ed49a8b369fdd73c0,369b060174c570dea298f9588d1cde769be315ae546830d73bfeb823179c04ed,True,ctls,aba.my.idaptive.app,80,http://168de255-8031-47b0-b234-9b9d2bfb8133-gw.gateway.centrify.com:80,http,GET,3.84.64.22,/,-1093815476,https://aba.my.idaptive.app/login?appkey=168de255-8031-47b0-b234-9b9d2bfb8133-gw&customerId=AAM0116&relaystate=eyJJbml0QXV0aCI6dHJ1ZSwiTWV0aG9kIjoiR0VUIiwiVXJpIjoiaHR0cDovLzE2OGRlMjU1LTgwMzEtNDdiMC1iMjM0LTliOWQyYmZiODEzMy1ndy5nYXRld2F5LmNlbnRyaWZ5LmNvbS8ifQ__&zsoInProg=true&yfirtnecrun=true,3.86.137.55,HSTS,137,False,,,,,text/html,
179285da-412e-458f-b504-bcd1dba9f476-gw.gateway.centrify.com,,400,,,,,,,,,,,,,,,,,,,,,,80,http://179285da-412e-458f-b504-bcd1dba9f476-gw.gateway.centrify.com:80,http,GET,3.86.137.55,/,-1840324437,,3.84.64.22,,1,False,,,,,,
18161db0-1543-440c-b019-76089db69ba9-gw.gateway.centrify.com,,400,,,,,,,,,,,,,,,,,,,,,,80,http://18161db0-1543-440c-b019-76089db69ba9-gw.gateway.centrify.com:80,http,GET,3.123.130.252,/,-1840324437,,52.57.58.9,,1,False,,,,,,
1c80e4e5-7159-4096-8680-054adbcfb4c1-gw.gateway.centrify.com,,400,,,,,,,,,,,,,,,,,,,,,,80,http://1c80e4e5-7159-4096-8680-054adbcfb4c1-gw.gateway.centrify.com:80,http,GET,3.84.64.22,/,-1840324437,,3.86.137.55,,1,False,,,,,,
