new,host,a,cname,soa,status_code,aaaa,mx,ns,txt,cdn,cdn-name
[x],0.0api-okta.00-scores.d.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
[x],0.0api-okta.ironport2.d.kinepolis.be,"188.93.155.238, 188.93.155.241",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
[x],0.picard.okta.prep.kinepolis.be,"188.93.155.238, 188.93.155.241",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
[x],2018-system-doc-helpdesk.mjrtheatres.com,216.41.219.209,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,
[x],2020portal.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
[x],2021sponsorship.kinepolis.fr,"23.32.238.72, 23.32.238.82",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],browser.kinepolis.ch,"2.16.202.59, 95.101.54.232",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:780::5f65:3672, 2a02:26f0:780::5f65:36d3",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a5-66.akam.net, a13-66.akam.net, a1-67.akam.net, a4-67.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
[x],capmed-47-16-39.hp.kinepolis.fr,"92.122.101.26, 92.122.101.58",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:fe00::5c7a:653a, 2a02:26f0:fe00::5c7a:651a",kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a1-67.akam.net, a13-66.akam.net, a24-67.akam.net, a4-67.akam.net, a5-66.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],enterpriseregistration.klubcinema.fr,20.190.137.40,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, www.tm.prd.adrs.akadns.net","internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,,,,,True,azure
[x],gcpjenkinsbucket.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
