input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_
account.flickr.com,ERROR: The request could not be satisfied,403,915,account.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,account.flickr.com,cloudfront,443,https://account.flickr.com:443,https,CloudFront,text/html,GET,143.204.209.183,/,1421472597,143.204.209.183,Amazon Web Services,20,False,True,,,
api.flickr.com,Find your inspiration. | Flickr,200,355110,api.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,api.flickr.com,cloudfront,443,https://api.flickr.com:443,https,,text/html,GET,143.204.209.183,/,1716034974,2600:9000:214f:ba00:1b:3d3c:224a:1261,Amazon Web Services,929,False,True,https://ice.360yield.com,,
appletv-production.flickr.com,,200,15,appletv-production.flickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,appletv-production.flickr.com,,443,https://appletv-production.flickr.com:443,https,,text/html,GET,174.129.20.78,/,-1456221551,54.156.156.230,,1,False,,,,
appletv.flickr.com,,200,15,appletv.flickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,appletv.flickr.com,,443,https://appletv.flickr.com:443,https,,text/html,GET,54.156.156.230,/,-1456221551,174.129.20.78,,1,False,,,,
blog.flickr.com,Flickr Blog,200,44584,blog.flickr.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-05T01:16:11Z,2023-07-04T01:16:10Z,CN=blog.flickr.net,blog.flickr.net,blog.flickr.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aaa82145ddbefbe8bcc900373a88b6bc,a4a34283fa8350a63b249bba0e6ebff76c55992b9cc19ffc522d8dd8b15b9c5c,,ctls,blog.flickr.net,,443,https://blog.flickr.com:443,https,nginx,text/html,GET,192.0.66.95,/,1274734426,2a04:fa87:fffd::c000:425f,WordPress:6.2.2,532,False,,,https://blog.flickr.net/en,
bots.flickr.com,Find your inspiration. | Flickr,200,355148,bots.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,bots.flickr.com,cloudfront,443,https://bots.flickr.com:443,https,,text/html,GET,143.204.209.183,/,-1366882441,143.204.209.183,Amazon Web Services,929,False,True,https://ssum-sec.casalemedia.com,,
bup-resume.flickr.com,Welcome to Flickr - Photo Sharing,200,176855,bup-resume.flickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,bup-resume.flickr.com,,443,https://bup-resume.flickr.com:443,https,Apache/2.4.57 (Ubuntu),text/html,GET,52.73.150.123,/,-1366882441,44.216.33.140,Ubuntu,3900,False,,https://*.facebook.com,,
code.flickr.com,code.flickr.com,200,175667,code.flickr.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-04T06:01:15Z,2023-08-02T06:01:14Z,CN=code.flickr.net,code.flickr.net,code.flickr.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,04930fea7f129e61cd61bdc7e605fb84,2510f3334050668f4fd70f3ae19b510809866142614efd9ef8c01c1594f2b011,,ctls,code.flickr.net,,443,https://code.flickr.com:443,https,nginx,text/html,GET,192.0.66.95,/,1274734426,2a04:fa87:fffd::c000:425f,WordPress:6.2.2,1032,False,,,https://code.flickr.net/,
dagobah.flickr.com,Sign In with Auth0,200,2350,flickr.auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-03T00:00:00Z,2023-09-01T23:59:59Z,"CN=auth0.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",auth0.com,*.guardian.auth0.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c734b1e8da0afbaee90416e0fd6ecf8b,371b8212a2f62dc97f47693f25aa36b0347fcbadfc885c7227e708475f808d71,True,ctls,flickr.auth0.com,,443,https://dagobah.flickr.com:443,https,cloudflare,text/html,GET,34.224.107.183,/,550714251,44.194.133.23,HTTP/3,62,False,,,https://flickr.auth0.com/login?state=hKFo2SBPbmxpWWZjRmJvdmlhMzdfQVVtdUgxMTh5Z2IxTW5uLaFupWxvZ2luo3RpZNkgVUtKT1l5a3Y5bXYyY1VKS2JoMk9Qb1J6MXp2SzZKekqjY2lk2SBNSGVrc1JjSm9ETXg0bjdkOUYwNHluRUtVb3ZNakRRWg&client=MHeksRcJoDMx4n7d9F04ynEKUovMjDQZ&protocol=oauth2&response_type=code&redirect_uri=https%3A%2F%2Fdagobah.flickr.com%2Fcallback%3Fredirect_uri%3D&scope=openid%20profile&audience=https%3A%2F%2Fflickr.auth0.com%2Fuserinfo&nonce=UluK34m24bqCLhkXRQDG,"Cloudflare, Inc."
downloads.flickr.com,,403,243,downloads.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,downloads.flickr.com,cloudfront,443,https://downloads.flickr.com:443,https,AmazonS3,application/xml,GET,143.204.98.74,/,1247401247,143.204.98.111,Amazon Web Services,2,False,True,,,
