input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,final_url
arkadiyt.com,Arkadiy Tetelman | A security blog,200,7553,https://img.shields.io,arkadiyt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T23:00:59Z,2023-08-24T23:00:58Z,CN=arkadiyt.com,arkadiyt.com,arkadiyt.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e9431abfc90d5895fdc98592cd97b525,8f074818d3bcf1095b2f2b628cb8b4f829a0134b305e09328e90d44f8525f7f2,ctls,arkadiyt.com,cloudfront,443,https://arkadiyt.com:443,https,CloudFront,text/html,GET,108.138.7.119,/,-426777505,2600:9000:2490:f200:15:a47e:cc0:93a1,HTTP/3,1,False,True,,,
https://cloudflareinsights.com,,200,498,,cloudflareinsights.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.cloudflareinsights.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4e0bf2db15a4f004e02b1f87abe0a034,4a2187c4f351a5ae145ebe9f5fa421ced6a00ee1d2d3144822cba053d702d362,ctls,cloudflareinsights.com,cloudflare,443,https://cloudflareinsights.com:443,https,cloudflare,text/html,GET,104.16.57.101,/,1139640750,2606:4700::6810:3865,Cloudflare,10,False,True,"Cloudflare, Inc.",True,
https://img.shields.io,Shields.io | Shields.io,200,12351,,shields.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T00:43:55Z,2023-08-07T00:43:54Z,CN=shields.io,shields.io,*.shields.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3166f46d17fd005f84e22d166545653d,ec60736d05ab896d0fbaeda0d35ac32c82660864784111af1469b459ca1546b2,ctls,shields.io,cloudflare,443,https://img.shields.io:443,https,cloudflare,text/html,GET,172.64.132.6,/,-1363613984,2606:4700:e2::ac40:8506,webpack,16,False,True,,True,https://shields.io/
mta-sts.arkadiyt.com,Arkadiy Tetelman | A security blog,200,274,https://cloudflareinsights.com,mta-sts.arkadiyt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-27T11:01:00Z,2023-08-25T11:00:59Z,CN=mta-sts.arkadiyt.com,mta-sts.arkadiyt.com,mta-sts.arkadiyt.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b7622a800a5e1d38005e7bedd0b28e4b,d5f60a8fade52741e24720244bcbb5adfe42028b03abf7eef43eebbce6a75d63,ctls,mta-sts.arkadiyt.com,cloudfront,443,https://mta-sts.arkadiyt.com:443,https,CloudFront,text/html,GET,143.204.9.38,/,-1598297179,2600:9000:2057:2e00:5:33f3:ac80:93a1,HTTP/3,10,False,True,,,
