new,host,ttl,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name,cname
[x],arkadiyt.com,60,"143.204.215.60, 143.204.215.106, 143.204.215.81, 143.204.215.76","2600:9000:214f:ac00:15:a47e:cc0:93a1, 2600:9000:214f:7600:15:a47e:cc0:93a1, 2600:9000:214f:b800:15:a47e:cc0:93a1, 2600:9000:214f:7e00:15:a47e:cc0:93a1, 2600:9000:214f:f200:15:a47e:cc0:93a1, 2600:9000:214f:d600:15:a47e:cc0:93a1, 2600:9000:214f:5400:15:a47e:cc0:93a1, 2600:9000:214f:6800:15:a47e:cc0:93a1","mail.protonmail.ch, mailsec.protonmail.ch","{'name': 'arkadiyt.com', 'ns': 'megan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356912702, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'arkadiyt.com', 'ns': 'megan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356912702, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","megan.ns.cloudflare.com, nile.ns.cloudflare.com","protonmail-verification=c0823d390b0d5594fad293f5bf4a8a9ef4514541, google-site-verification=YK9HnWI9d8ND0Oz-8H7IM9Zf72eydfOBBWWZfLkl3vQ, keybase-site-verification=nuZhtnCUUbAz8As958l5gD4o_xgI8HVhrBfVX_MUInw, v=spf1 include:_spf.protonmail.ch mx ~all",NOERROR,True,cloudfront,
,mta-sts.arkadiyt.com,300,"52.222.214.115, 52.222.214.111, 52.222.214.57, 52.222.214.128","2600:9000:2304:2e00:5:33f3:ac80:93a1, 2600:9000:2304:8c00:5:33f3:ac80:93a1, 2600:9000:2304:e600:5:33f3:ac80:93a1, 2600:9000:2304:3c00:5:33f3:ac80:93a1, 2600:9000:2304:8a00:5:33f3:ac80:93a1, 2600:9000:2304:9200:5:33f3:ac80:93a1, 2600:9000:2304:e400:5:33f3:ac80:93a1, 2600:9000:2304:1000:5:33f3:ac80:93a1",,"{'name': 'd29fgh5jkejbg2.cloudfront.net', 'ns': 'ns-1701.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd29fgh5jkejbg2.cloudfront.net', 'ns': 'ns-1701.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-503.awsdns-62.com, ns-1506.awsdns-60.org, ns-755.awsdns-30.net, ns-1701.awsdns-20.co.uk",,NOERROR,True,cloudfront,d29fgh5jkejbg2.cloudfront.net
,www.arkadiyt.com,300,"205.251.192.61, 205.251.195.225, 205.251.196.223, 205.251.198.210","2600:9000:214f:2e00:15:a47e:cc0:93a1, 2600:9000:214f:8000:15:a47e:cc0:93a1, 2600:9000:214f:6400:15:a47e:cc0:93a1, 2600:9000:214f:6a00:15:a47e:cc0:93a1, 2600:9000:214f:5200:15:a47e:cc0:93a1, 2600:9000:214f:a800:15:a47e:cc0:93a1, 2600:9000:214f:ca00:15:a47e:cc0:93a1, 2600:9000:214f:1000:15:a47e:cc0:93a1",,"{'name': 'd3fk28yo6w001f.cloudfront.net', 'ns': 'ns-1247.awsdns-27.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3fk28yo6w001f.cloudfront.net', 'ns': 'ns-1247.awsdns-27.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3fk28yo6w001f.cloudfront.net', 'ns': 'ns-1247.awsdns-27.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-993.awsdns-60.net, ns-61.awsdns-07.com, ns-1746.awsdns-26.co.uk, ns-1247.awsdns-27.org",,NOERROR,True,cloudfront,d3fk28yo6w001f.cloudfront.net
