input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
api.opensea.io,,404,18,api.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,api.opensea.io,cloudflare,443,https://api.opensea.io:443,https,cloudflare,application/json,GET,104.18.12.217,/,1574860551,2606:4700::6812:dd9,HSTS,1,False,True,
blog.opensea.io,,403,16,opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,opensea.io,cloudflare,443,https://blog.opensea.io:443,https,cloudflare,text/plain,GET,104.18.12.217,/,1253481126,2606:4700::6812:cd9,HSTS,1,False,True,https://opensea.io/blog/
email.opensea.io,,403,16,email.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,email.opensea.io,cloudflare,443,https://email.opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,1253481126,2606:4700::6812:cd9,HSTS,1,False,True,
learn.opensea.io,Learn Center: NFT Guides and Education | OpenSea,200,117626,learn.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,learn.opensea.io,cloudflare,443,https://learn.opensea.io:443,https,cloudflare,text/html,GET,104.18.12.217,/,1295745614,2606:4700::6812:cd9,Webflow,416,False,True,
links1.opensea.io,404 Not Found,404,150,links1.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,links1.opensea.io,cloudflare,443,https://links1.opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,-1840324437,2606:4700::6812:dd9,HSTS,8,False,True,
matic.opensea.io,,403,16,opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,opensea.io,cloudflare,443,https://matic.opensea.io:443,https,cloudflare,text/plain,GET,104.18.12.217,/,750075847,2606:4700::6812:cd9,HSTS,1,False,True,https://opensea.io/assets?search%5Bchains%5D%5B0%5D=MATIC
og.opensea.io,,404,23,og.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,og.opensea.io,cloudflare,443,https://og.opensea.io:443,https,cloudflare,application/json,GET,104.18.12.217,/,631524574,2606:4700::6812:dd9,HSTS,1,False,True,
open-graph.opensea.io,,404,72,open-graph.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,open-graph.opensea.io,cloudflare,443,https://open-graph.opensea.io:443,https,cloudflare,application/json,GET,104.18.13.217,/,-522708096,2606:4700::6812:cd9,HSTS,1,False,True,
open-graph.testnets.opensea.io,,404,72,open-graph.testnets.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,open-graph.testnets.opensea.io,cloudflare,443,https://open-graph.testnets.opensea.io:443,https,cloudflare,application/json,GET,104.18.12.217,/,-522708096,2606:4700::6812:dd9,HSTS,1,False,True,
opensea.io,,403,16,opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,opensea.io,cloudflare,443,https://opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,1253481126,2606:4700::6812:cd9,HSTS,1,False,True,
partners.opensea.io,Make waves. Drop on OpenSea.,200,63962,partners.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,partners.opensea.io,cloudflare,443,https://partners.opensea.io:443,https,cloudflare,text/html,GET,104.18.13.217,/,48039600,2606:4700::6812:cd9,Webflow,433,False,True,https://partners.opensea.io/drops
partnerships.opensea.io,facebook-f icon,404,45958,partnerships.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:05:55Z,2023-08-05T00:05:54Z,CN=partnerships.opensea.io,partnerships.opensea.io,partnerships.opensea.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3cba02f225391c91b5be62bd44a450e7,1406a5078acb0b8cd1118f225ad86536c60772f0d52fca0e960b5279356f3c4f,,ctls,partnerships.opensea.io,,443,https://partnerships.opensea.io:443,https,cloudflare,text/html,GET,199.60.103.226,/,68831571,2606:2c40::c73c:67e2,HubSpot CMS Hub,2349,False,,
rinkeby-api.opensea.io,,404,18,testnets-api.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,testnets-api.opensea.io,cloudflare,443,https://rinkeby-api.opensea.io:443,https,cloudflare,application/json,GET,104.18.12.217,/,1574860551,2606:4700::6812:cd9,HSTS,1,False,True,https://testnets-api.opensea.io/
