input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,tls_wildcard_certificate,final_url,tls_self_signed,tls_expired
035-0.vgz.nl,Not Found,404,315,,035-0.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,035-0.vgz.nl,443,https://035-0.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
117-4-4.chatbox.vgz.nl,VGZ Zorgverzekering - Voorop in gezondheid en zorg. Voor iedereen.,200,141308,inloggen.cooperatievgz.nl,www.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-24T11:50:31Z,2023-06-24T11:54:00Z,"CN=www.vgz.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",www.vgz.nl,VGZ Zorgverzekeraar N.V.,inloggen.vgz.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,33b0f87d95d722c7733e262747b9dbae,c092a33cfe2a72e63f3a99ea7f8f2c9510cecd23f0236592e8fcbca27ceb57eb,ctls,www.vgz.nl,80,http://117-4-4.chatbox.vgz.nl:80,http,,text/html,GET,195.42.135.39,/,-1785683782,195.42.135.39,Sitecore,2242,False,,,,,https://www.vgz.nl/,,
1416571096299any.vgz.nl,Not Found,404,315,,1416571096299any.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,1416571096299any.vgz.nl,443,https://1416571096299any.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
207-171-182-45.vgz.nl,Not Found,404,315,,207-171-182-45.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,207-171-182-45.vgz.nl,443,https://207-171-182-45.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
51-58.aadds.vgz.nl,Not Found,404,315,,51-58.aadds.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,51-58.aadds.vgz.nl,443,https://51-58.aadds.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
69-174-110-226.vgz.nl,Not Found,404,315,,69-174-110-226.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,69-174-110-226.vgz.nl,443,https://69-174-110-226.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
7-9-84.vgz.nl,Not Found,404,315,,7-9-84.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,7-9-84.vgz.nl,443,https://7-9-84.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
7488.vgz.nl,Not Found,404,315,,7488.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,7488.vgz.nl,443,https://7488.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
888b.vgz.nl,Not Found,404,315,,888b.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,888b.vgz.nl,443,https://888b.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
a-nzhelik.vgz.nl,Not Found,404,315,,a-nzhelik.vgz.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T08:44:52Z,2024-04-24T08:39:00Z,"CN=werkgevers.vgzvoordezorg.nl, O=VGZ Zorgverzekeraar N.V., L=Arnhem, ST=Gelderland, C=NL",werkgevers.vgzvoordezorg.nl,VGZ Zorgverzekeraar N.V.,werkgevers.vgzvoordezorg.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,c57aec7db6607cccbc8bd867d8080ed7,83225351826c2796811d2e2056a5cb59405ae75916f381752a1fbf21c3d5ffc9,ctls,a-nzhelik.vgz.nl,443,https://a-nzhelik.vgz.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.42.135.39,/,225052475,195.42.135.39,Microsoft HTTPAPI:2.0,7,False,True,,,,,,
