new,host,status_code,a,soa,cdn,cdn-name,mx,txt,cname,aaaa,has_internal_ips,internal_ips,ns,caa,ptr
[x],sancssp02.nokia.com,NOERROR,147.243.177.71,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sanedit01.nokia.com,NOERROR,147.243.10.100,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sanedit02.nokia.com,NOERROR,147.243.10.101,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],saog07.rnd.nokia.com,NOERROR,,,,,,,,,,,,,
[x],sapi.stg.ent.nokia.com,NOERROR,,,,,,,,,,,,,
[x],sas2.nokia.com,NOERROR,135.2.19.45,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],saxd1imes.ext.nokia.com,NOERROR,147.243.176.33,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],saxj1imes.ext.nokia.com,NOERROR,147.243.176.21,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sbm-srm.nokia.com,NOERROR,147.243.3.243,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sbm.nokia.com,NOERROR,147.243.3.236,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],schwarz.nokia.com,NOERROR,131.228.100.28,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],scportal.networks.nokia.com,NOERROR,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,,,dualstack.mc-2201-752027336.us-east-1.elb.amazonaws.com,,,,,,
[x],scribe.ext.nokia.com,NOERROR,212.50.137.126,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sdengine2.ext.net.nokia.com,NOERROR,20.76.221.33,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sdengine4.ext.net.nokia.com,NOERROR,20.76.221.33,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sdengine5.ext.net.nokia.com,NOERROR,20.76.221.33,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sdengine6.ext.net.nokia.com,NOERROR,20.76.221.33,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sdengine7.ext.net.nokia.com,NOERROR,20.76.221.33,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sdwwwext.americas.nokia.com,NOERROR,65.200.17.73,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],search.forum.nokia.com,NOERROR,62.61.85.154,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],search.networks.nokia.com,NOERROR,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,,,ec2e2d91-3fab-4d5d-b726-07d92a2d4aed.cloudapp.net,,True,0.0.0.0,,,
[x],search.nokia.com,NOERROR,,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],searchstage.networks.nokia.com,NOERROR,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,,,"www6stage.alcatel-lucent.com, staging-search.customers.nokia.com, 53255db6-fa07-4986-acc7-2fe8a82c9273.cloudapp.net",,True,0.0.0.0,,,
[x],seasonsgreetings.nokia.com,NOERROR,162.13.165.127,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],secure.nokia.com,NOERROR,147.243.3.74,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],securid2.access.nokia.com,NOERROR,192.100.130.18,"admin.nsatc.net, dns.level3.net",,,,,access.nokia.com.nsatc.net,,,,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net",,
[x],segmentation.nokia.com,NOERROR,147.243.14.118,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],selfhelp.careforbusiness.nokia.com,NOERROR,170.252.208.131,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],selftest.iot.nokia.com,NOERROR,54.215.81.175,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sep.ext.net.nokia.com,NOERROR,,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],serviceactivation.stg.ext.nokia.com,NOERROR,131.228.17.53,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],services.online.nokia.com,NOERROR,147.243.14.19,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],services.support.nokia.com,NOERROR,192.11.249.14,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],servicesuat.us.nokia.com,NOERROR,135.3.26.20,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sftp-ams.ext.net.nokia.com,NOERROR,135.245.16.253,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sftp01.nbcm.nokia.com,NOERROR,195.68.35.168,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sg1fwa.ext.net.nokia.com,NOERROR,124.155.196.114,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],sg2fwa.ext.net.nokia.com,NOERROR,124.155.196.116,"ns7.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],share.int.net.nokia.com,NOERROR,,,,,,,,,,,,,
[x],share.prod.nokia.com,NOERROR,,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
[x],shop.nokia.com,NOERROR,52.213.213.13,"ns2.nokia.com, dns.cloudflare.com",,,,,,,,,,,
