input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_mismatched,tls_wildcard_certificate,webserver,cdn_name,cdn,final_url,tls_expired
adapt-dev.ups.com,,503,19,,,,,,,,,,,,,,,,,,,80,http://adapt-dev.ups.com:80,http,text/plain,GET,34.96.119.234,/,87638684,34.96.119.234,Google Cloud CDN,1,False,,,,,google,True,,
adapt-intl-dev.ups.com,Sign in - Google Accounts,200,613834,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,ctls,accounts.google.com,80,http://adapt-intl-dev.ups.com:80,http,text/html,GET,34.98.127.159,/,-1360211272,34.98.127.159,HTTP/3,76,False,,,True,ESF,google,True,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S-234372340%3A1689474307367608&client_id=1094709611279-m36ik47gbv3o725e56mllh40rk9i60gr.apps.googleusercontent.com&code_challenge=yXd0PeB2fII2Xmp4xHOKj15wp1YO986C55TKaixnVNw&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F1094709611279-m36ik47gbv3o725e56mllh40rk9i60gr.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAETOQuCtOCtkkKnCOQivfPj09xA9Ko3CHIkFLVcDxhsalmTKEgzg7Y8X-gO-UNolYBNtG-tH9B7MWPzbZV5kS6QBObpJxQCQA6f--7WLAODXXImBJ2uII5OCqspMjPdgnab0cc3vo7LhW4iCYyCK8DD75ObWmUK_MU8zxKBs7PgaAkeqkfG-zQ2izA6hWOTTLjrWGO4iJbtyzPGDEE0ihhG8eDJj3wZSnRyLA8U1Zlv3egCzWO1g88o4WJivaWwBOlCedBof4VXjbmJom49_0ficu49KB7YKI7VkQVS8CMZoHHaMlF_hYJ1_8aqwnRWjcLvfZb6gVD0ekq2WMNsEFjABpGnorDBz4ZoIuUAcR27z99XCVoVo6O0qCduCowdPRYs0TceVHLg_pwEsQX0WpqWxxGGnBaCR6mc930EzAfqXxtWUPlfzR2XJ_NJsJtKQwKm_acMOnkvalkWlsp1brgQNn1Vfxsd-Mnh2eNK8ZvUxGIen6Yd-AwJqj09Hr97k6p8MrnwYeSEhYZkb4Xdco1iEJ7dIOFDC0s6dxDvFFLwB9c563QUSXtgCNTyTcbWS-9jg_h-q0UB78GlPLdfGg8V4g3qnxaTI5vtOmzrEIM1F2ImyKqZdVFxY_cf8FIx2_z-WxOWTFkopfmMGv6vuV-mzB9HeM5PGzw08dPfwQlg4iHjPvpCDaT0Ani1pkVXt1J17H6qF1QpJf-6M_ZHHzlh9rA2rPHEGBSQjmpoymiHf-AXeVtGFgT-h2Z9iWcoPITUQOyGyYjd11lvybeAHk6vxTCP1CTYWe7hI8BTDQe_vs5BeL6eJFTUL-CUTstJAaDlG98PkkHIEdvny-QAj8R3dPKZYjTeIKgos_i6tRaLVpZFIbZ26D2a8RZ5pcWWPeq7sjUIRv3MWejAtPtUo4iIIUL4psmuVqBYAGclWjG8sit3V0vyNSGeASQfHdO22OZ4LCzgNZIFy-0bdkx0uUHc47LbAumaa_YzLFJLeSF2zEoXDUnuGHYpSq54nDTUmd4X708tvlp8o2ou7t1CWtRMX3Ygg&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAOZBQ1In8aZsIfpdmVtSX7zb99SCaQoCiv6gb2hjbMmJA0MoZWCwkWrxC_C2RULqNHLq3VPD8Plsh2n2W9uEttrjbGpNA1ZwapCxlHUqa79a1-TQAWAwqG2MozoHDuAody8xB3nJKISo1bZhXTpc3JXaAlSHgNyHJukPvOa9M6q-1YICzvsq7BLAZa2hc61tepqd5YsQbmc5Q9p3Ma7H7R2tLMCZTvG2c-h9rNkv_KomSm2boCMbrdjJZan1Iw8mwR3k-3OeH7mbnExQDKMGZZAEBwzbN_Lh2nCKiOGXIfbh22XpENg0dapFuawtBD7Wp7gQMG2B5pYa4jn-4vDjj5UxDYGrozXoWho97YFGbo0e7HePEe82-dc6KcJzfXYwzMsWeUq0SiGU7aqFoCubVyULRXDRlWnWcN4Ysjeooko3UYKLGuJDQVG43JdrqplnP0MdLFXLDY9rxpdo2R_dnMXVHwrMg%26as%3DS-234372340%253A1689474307367608%26client_id%3D1094709611279-m36ik47gbv3o725e56mllh40rk9i60gr.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxceHsHgXl4G9meSmhU6thMbNIdZwe7qi9Yw_ueqRyVhJ8iLsvKDukhAvd4fxpMAFW3t8bjVYwGdUqLImGzeGVCO0VdZ_Rg,
adapt-intl-prod.ups.com,Sign in - Google Accounts,200,613847,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,ctls,accounts.google.com,80,http://adapt-intl-prod.ups.com:80,http,text/html,GET,35.244.139.161,/,2050214459,35.244.139.161,HTTP/3,76,False,,,True,ESF,google,True,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S-653707963%3A1689474316831874&client_id=597317728207-1qfrtf5vrlm5i1n19r6re59ua6ufj44a.apps.googleusercontent.com&code_challenge=6Q_i91P_P3fjI7SiEIGm3-sK2WmFuIsgpg-U3I052EQ&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F597317728207-1qfrtf5vrlm5i1n19r6re59ua6ufj44a.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAEsYVhjpJ_oPOjZXmkiUqBGDRqmetd-sLgQt6NLBbWoInb3QZ5AJ1b__tySolbEFL40egoE7THjpDgEAyeMGVXoq5iM7rowLV4tc0HYBhVYZXjBgV-Q8MWb8A8F2WYNuwLGxdFRFgsIiFpv-G-083Zh9r5C3WkiFxft_b01iaEe-ypMjQ3reaTyP924wVvs2oxF3DmkbApHTl3fXiPCEiV9jVxrN-EwXKJm1SIVygktygrEavDXEo3NSIjq78ogrcNujfOJZv2OfQX16rjDPfs4ZYWBelehcwX5ygA1cAKvm74M5GBpamo0qfRdBqy_-ZXxmg4WPcRywrDS7kxl-iDVXwT8-HGShhqG6AnAG5pxQ-QPwo_NJhyAJ0gA2wtlxTy5Ok2AYzOV_12C6cTxVnHcIv3tbrgg0iYlJfM44yqZOgHRdKIHAHlK4I1RgTuY9LlAGuF2cokqIqo7LGK-f54oDS-y_5rz4nQeP323KAMVgnazBXBzlxz-rHJTk1DsQ8q2BB-_UgRmVUh5tJ3dGviZ3X695yDDHfwVKK6-sDkxKGKdankXR8IhoFmM3dhss4a_3b5U1V86HJsh4ujeG1V9kDH0lNrsjZYylzvPS620MAWynLq9hqnYSbYEj1TL83f9MfwHcv5xyx4duKsZ4MWCQKTfb-k5eWK1MCB1wQ6aNrE8yFNh_mTIY7mHDsJO1lZiXkqITZ3ax5SdiW1B8rYKDUgjU1UJkiuu_HX7XfoD28VMUT6I0JL6mNwsEjA5mLszMHa803P_ze3OIUNypDosDPg3g7ZvFFHbpCEAnst81C-VHSW4ki4nZTIaRJPXaFDt_Cjw0tmHJID82qdcDGqQJ6xcsmfIrlam9HVopKuX54_YgxmcE4unCZ3ja29X3ljsNPz0pWePubg20zlhW9c1RGoDoF91WZosZlZhOzmoU2BBNhiDMrGb1OMCklednhRvlEoXdy7fQESvb5oi4gG2ZaDPIgVGHfxnEJFA4Gc-hgma6lyQo49UBbGNKvCMf4QS6othMVO4L4EpXZ5EsGh02pkrwM&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAMZE7mRyAMdS1OTW3PCTlXM1bVqwJrANmkXktGkC1VA_0E9ANxY-fEvn0kwHcDnKTqTTWleercacdFEUFQHLfVF2ozEsSI8Ja17zo6uUI2F6XpnCmyRF077C9wzeGYc_gitgI2LMnw-LWFxJICu4PN3q8SzGciLaHl-BAqwXBShRN9IMJbOGgFU_4piThp7Gcc2Y0i5tVHpZn2rs0pC_FSE6mTsLeH2eWlvR1q2G4KrBcnwPuV9GiAlijREMFxooeXuEoD9o4UX6F7dHIage3bHXpKY5ql86_kHmy1D2qQY3yJwZFEwco6_OlrZkYmsG1YnwQWoEU9roHBAgnyce7ghTh7rT4XbfCunJ-LWcyhXb2HGhCp21CfzccSEL0BnduxVVey3eKs41tT7OLsgmkVmwC7UAcrmGq7ag5x3i5DtE8H5HDnbIDHlJpTHda9sxKWDWB1bHz2-pW4zs6A2NWtXq9FKlQ%26as%3DS-653707963%253A1689474316831874%26client_id%3D597317728207-1qfrtf5vrlm5i1n19r6re59ua6ufj44a.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxcdHKNjQ7Px-5UZh52jjZjwfRt3qqqlOXsITDqYTLSVVXyUY8MJbAn7Iqmd1icsjAXnvJzwh8qGges4ntRG3hHG0-RuIow,
adapt-intl-test.ups.com,Sign in - Google Accounts,200,613768,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,ctls,accounts.google.com,443,https://adapt-intl-test.ups.com:443,https,text/html,GET,34.102.231.21,/,-2086191115,34.102.231.21,HTTP/3,76,False,,,True,ESF,google,True,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S-737734579%3A1689474301841262&client_id=831059494515-ugf8th8qa5mlr9rkl8nl00jt06vr96dt.apps.googleusercontent.com&code_challenge=uuwUyp9D9ZlVeiwMmW7u3QvckjzNntzy4uTa8Jz4z3Y&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F831059494515-ugf8th8qa5mlr9rkl8nl00jt06vr96dt.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAEzI305xI8EFOyEqnWH98KrnM54Vj2MXFMg0KzTIaXt6V8CVtwGux8fdWxlzEIjVjMvTaCwlVmvVqsJ8IzUhzmaqXpc8_opVLJAmXg9fkRqE1_9IU2Raxzf3zmsj6EqjX5V63JqKIdFTlYd40Xf54TLG6paG-5joEzWXSKuBPqz5lyjAEUtsd89L2hvfuu36oTJp1IWlYfZuMU5GGZSCg-hmmL4SZCBHDufflnjTn8glbnbZwFLI-Zmg_tmDm9FJXbnxPu7NYN2qbcXTUtgFlAbEZqI1vkQVrlUTy8Rn6GxMdvhZyjEK13XJCKEtiffT8JH-ql0kuhdC7k0SOnGpdVYgxIxw8XX0nYDmzLOviF8RV_T9AbJpFVFJ_2IQz1KmVOA5YRSqOBgkwVSxlSYi4a6Lv3nHneIRv1655E_v3Lo679XO8evEWWaMwkKHBTmy9hNBzeg0cVROq6Gher6c95Y-wImud-pQUEV3f4Tm17dR9kJvXKgBj5IDaQ4mlEqSVLu_yBr_DZnooV7epehuV3b9tt5csxcMRAl2iuybzAPqGytcAhGKhPxwtpL1HSheLWpbLiowY-RBBRDxiSC-jEwI6ayXoLOR_fF_AwelgKv4XDUd0Z4ATIPLF7PbZDkkyHgVTpM-71jKlglFSZUF1iIhXZgB41YRKamiTSpymDbDxVbwZ90jWg8faa73wM-0_WGpMkMITFAeSNlgPgIf07ZFkMA-hPbP_6E5KTWB1e0uPC7CEA43DpS2mCatfZjcH0fSvJoxzF0RcYakL5GB5KGZrKOBKYtXkv-vu5rdgxGZNYlTuuny8y0Bhf-fJ5J-OZ2ftNeSqvsIo67wXI2fpJDEuS74ni_IjJNLeMnlbU593duUqq_p2i6V3b6px4pmwnbbUWQPq2bV0pDkWEDNbSNm2hLGZ4BBYdyOjOnNMr2GRMZYfBtk1zq3uP3-WLRc-aPT4AaQDE51nIRUiVBBwWDPbfcMFqK4ZAbCO7GYF3taoeny-EtYoacrN9kAKMKWRoVw8mVrs3wP075Oe51SLrARcZ4Oc&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAPe1CamQT73FvbCXAhJrJsUCC5l0cZVeZwSH2OsiyPsKmkMtpRVjQX3EgB75ahz9qdz1iPDv4LZHzZmEyAacndNlpLfXO6kP8FV8FmL80xardlvaBqzKE1fnINsuaAyabMrN_DOSvQptuSxRNIq9FE7181_-aUuKCbBEY-HFsu8NryEHdTQvIc8jvxz5QcgPvxT-NB2aXIMn_IYzbeDjyX0UICXQS3RoMM70rqnXdmoM_EOA5p2hcI-UD_VUiKXjJrVu8GGfimj6mpCL-Mb_Zkkxma3JMlHQ9589Ooc-ryjUNWtlVzNN2KWcVrnw6sSUxBMaJ7l66uWzzQ81X_11aIHex4v4D5AaCw86623C-Ik8-55zRCaTporKDq4hKMv7qjwXa8MkaocFt6wVTE0ZDeS76DvCdqJdnpigR803snJi98w__KuoHQ6yoBGKsg1LEl_1JHvPvnmyoFtcKlDg4N_fl5OZQ%26as%3DS-737734579%253A1689474301841262%26client_id%3D831059494515-ugf8th8qa5mlr9rkl8nl00jt06vr96dt.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxcc4AAsaWgQ-LPiFFUImzaGVw2jxdi1gdqe0-UAoNZ-GNVD8d9_xq0KIfZzxnOV24JWxJPmkA7W2qZc-Ri33iFnevGiNLA,
adapt-test.ups.com,Sign in - Google Accounts,200,613727,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,ctls,accounts.google.com,80,http://adapt-test.ups.com:80,http,text/html,GET,35.244.134.139,/,1540000759,35.244.134.139,HTTP/3,76,False,,,True,ESF,google,True,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S-737734579%3A1689474308592199&client_id=621596606621-90bh37se6l6dr10e226n0v7jcugq2cq1.apps.googleusercontent.com&code_challenge=uZTeYtqHIpV2VcvY0M34sTmNGTxaT5ELPEZ6teDcro4&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F621596606621-90bh37se6l6dr10e226n0v7jcugq2cq1.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAEqXuR5P3batbgEXNLHe5bKIqipGQie2KI9xSyezSKoFcy8X7HC-epGZAs-CrjRhJHCQiqNdIEpSYLwhf586SQ-x0T7Ibg_pgNdcXRPA-hm5stm1zOYGp4kAKcZztM3SiOfCl6DHgqfdxLxU4tv9IWLl4vxIReu_ggBGXdObhSpHLOwsZX9L-daEi1-7ghyWqOQZJdZONJb1EnSToZisQ2C_JWR4JWU9jt8xxznxYMTsa7URAJ2_aCCEfF-RFBKLh1dKQKRMhC7wUwMHplunw_V0xwXyqmuzj-ayd_75jY0UnEWVliCrsyXa82L-HvDqZ40JMYzMlUPidGCxktKc3m7oE_-_75bxTRxFnEgcaUqZBM6_D63xPB06kYka7ccdpQ7GvJS53fwGimd3vwPqJKEoXb2SRGGHI6DwVv2guOcaqhcIVEs5N7FEArjReIdPFOpt8lcGzEc2EQvlQig9rwGTo_Se-JJBkmlqqgHzteZBQnvcRW8RyYJ8I-fMmUSxjGaTjzBs_UhXkhMb5lzM1a0j9dtaiGRKR7f9MDRChOLG13PuFGP23olous0t5Q6z-ENV4E9BXDeISXS29idb_aZF7Vdfj1KXISGKOvMVJ-hNs1HjrJhmc80PnbgOwdOg1-V0TIFaNDxpLCVPGSZt8ss6LDEs1Y7wuYFiIwF8U6AmiBdaofSWloQe4e5Cd7u8cBEYgG9xwH_8yHKZ5SAy_AdCjd4fItFxg82k8-m2LDLN9Qv2sWKWNMlTBKMvDRBa8swwFvWLheRyOPep4BPngzQJGDN-8EMjrO-1CRkZRSLj60vWnuGc2m0Nu1YbBoe-SX_TrbRKHBEX1Q_L1B8C9v4AiLjJQPIlWB7j3jHPNramP4LDzO6W77j5_Xg7w61CrPeK4w2aYHU14GjwkM8rVUq9U7vH27PlsLTdsKV5mAEMLFq2XUpRxGmlU0jIOlX1fOpv2Ahl3uW7C_9d0MSSKAG2fS63AgL0Lfnv285Jr4VHT9eNYCuD_OAaVI7ZF-qFaz4h9xRVT2Fw&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hANVSuPijSifUNRugUHyqSi5LrXSkq_wJYLsxWw6MvASamvpBGyVmCMBqxH4-C0xBJ7xWzyruLRvjQQweJ5mnM4nps-f9MWAtbCBJaTQqSTiCEmnZoQWJ1HEtLqgymCfOU3GSqK3Sie2EPMZTNlF_hvpy3BwZDOive6uRAmLsasjTInEoQNm9D7DmnwYs_CXv9Z29Y9qzNmh_7qH7wEiCVPvSkFMuI_3s-xUoUOBQjc1YViIVajODKJzk8YORpXQ7g8b5CSmpaYk1orvcH3EYG0entC5Azbo8FTKELoe_R7ci32oDohXOXzdJICGWWOdVnk4QteXEgPaX8qfd0AVlRr24dyvj8zrLycYs6dTAbXQ1rtGXGmlA0RR3lZIduaucQwssiZz-LvH9rwMCf3qteXHgNqbGIHIAqTizWautQegp16btThgvfrBo55q9NfZmy6JCT4OeWR_YzyrkWejBJRTK7dzaQ%26as%3DS-737734579%253A1689474308592199%26client_id%3D621596606621-90bh37se6l6dr10e226n0v7jcugq2cq1.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxce7wRrklQNcUFQN0kUU2_ngJ78eaWWrJmkKF4pqy5GK9XLHV5BPTOnipRwgp5f3jkuT3_I3whhgIcSGa3_SaqrxeusRZw,
adapt-uat.ups.com,Anmelden – Google Konten,200,2625181,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,ctls,accounts.google.com,443,https://adapt-uat.ups.com:443,https,text/html,GET,34.102.138.18,/,1099676707,34.102.138.18,OpenGSE,3761,False,,,True,GSE,google,True,https://accounts.google.com/signin/oauth/error?authError=ChVyZWRpcmVjdF91cmlfbWlzbWF0Y2gS3AEKU2llIGvDtm5uZW4gc2ljaCBuaWNodCBpbiBkaWVzZXIgQXBwIGFubWVsZGVuLCB3ZWlsIHNpZSBuaWNodCBkZW4gR29vZ2xlLVJpY2h0bGluaWVuIGbDvHIgT0F1dGjCoDIuMCBlbnRzcHJpY2h0LgoKV2VubiBTaWUgZGVyIEFwcC1FbnR3aWNrbGVyIHNpbmQsIHJlZ2lzdHJpZXJlbiBTaWUgZGVuIFdlaXRlcmxlaXR1bmdzLVVSSSBpbiBkZXIgR29vZ2xlIENsb3VkIENvbnNvbGUuCiAgGm1odHRwczovL2RldmVsb3BlcnMuZ29vZ2xlLmNvbS9pZGVudGl0eS9wcm90b2NvbHMvb2F1dGgyL3dlYi1zZXJ2ZXIjYXV0aG9yaXphdGlvbi1lcnJvcnMtcmVkaXJlY3QtdXJpLW1pc21hdGNoIJADKpYBCgxyZWRpcmVjdF91cmkShQFodHRwczovL2lhcC5nb29nbGVhcGlzLmNvbS92MS9vYXV0aC9jbGllbnRJZHMvMjMxOTg1MzAxOTI4LWV2N25oMHFuZDhsMW9sN3Vwb204dnJhdTAxbWZrMml0LmFwcHMuZ29vZ2xldXNlcmNvbnRlbnQuY29tOmhhbmRsZVJlZGlyZWN0MtACCAES3AEKU2llIGvDtm5uZW4gc2ljaCBuaWNodCBpbiBkaWVzZXIgQXBwIGFubWVsZGVuLCB3ZWlsIHNpZSBuaWNodCBkZW4gR29vZ2xlLVJpY2h0bGluaWVuIGbDvHIgT0F1dGjCoDIuMCBlbnRzcHJpY2h0LgoKV2VubiBTaWUgZGVyIEFwcC1FbnR3aWNrbGVyIHNpbmQsIHJlZ2lzdHJpZXJlbiBTaWUgZGVuIFdlaXRlcmxlaXR1bmdzLVVSSSBpbiBkZXIgR29vZ2xlIENsb3VkIENvbnNvbGUuCiAgGm1odHRwczovL2RldmVsb3BlcnMuZ29vZ2xlLmNvbS9pZGVudGl0eS9wcm90b2NvbHMvb2F1dGgyL3dlYi1zZXJ2ZXIjYXV0aG9yaXphdGlvbi1lcnJvcnMtcmVkaXJlY3QtdXJpLW1pc21hdGNo&client_id=231985301928-ev7nh0qnd8l1ol7upom8vrau01mfk2it.apps.googleusercontent.com,
addinfo.wweconomy.ups.com,,403,58,addinfo.wweconomy.ups.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=wweconomy.ups.com, O=United Parcel Service\, Inc., ST=New Jersey, C=US",wweconomy.ups.com,"United Parcel Service, Inc.",www.wweconomy.ups.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,adbd89edcf2a7c5bb3decb31392d5a50,453fa4b844886a118e5ed86ae955f6d80b5065afee71a2079893ae5d6068fd9c,ctls,addinfo.wweconomy.ups.com,80,http://addinfo.wweconomy.ups.com:80,http,text/html,GET,13.107.213.45,/,-20275242,2620:1ec:bdf::45,HSTS,1,False,,,,,,,https://addinfo.wweconomy.ups.com/,
admsdmz.dmz-gslb.ups.com,Sign in to your account,200,43315,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://admsdmz.dmz-gslb.ups.com:443,https,text/html,GET,153.2.183.171,/,-677978820,153.2.183.171,HSTS,95,False,,,,,,,https://login.microsoftonline.com/e7520e4d-d5a0-488d-9e9f-949faae7dce8/oauth2/v2.0/authorize?client_id=7a2e41cb-363b-4007-a702-7528b4f5ab71&redirect_uri=https%3A%2F%2Fadmsdmz.ups.com%2F&response_type=id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DOVVRahsFXbGvkrmmx7DyiV4pg5AAC6nrnW7xbD4qXXS_yilvuD77HSHgAOsGDG1_5KvMRoO8rx1hpt1PnuthJRGpkXb36AvgReKv4_qa6XGnKvmiOZ5jE_5oH-Y8-Djk2NXXQo_ejnnmu7Mq8sOGRre4IH_e_EBo11SoxH97Lhs&response_mode=form_post&nonce=638250711073030991.MGUxOTVlYTEtNzY0ZS00NDM5LTliMDgtNzk4YTU5NjYzYzU4YWU4NzQ5ZDEtMzExMi00ZjUwLWE4OTktOWNiMWE4MDJiYjY2&x-client-SKU=ID_NET472&x-client-ver=6.27.0.0,
alp-b.dmz-gslb.ups.com,403 - Forbidden: Access is denied.,403,1233,alp-b.dmz-gslb.ups.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=alp-rr-b.ups.com, O=United Parcel Service\, Inc., ST=New Jersey, C=US",alp-rr-b.ups.com,"United Parcel Service, Inc.",alp.ups.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,dc9e55b5dc1e424f77025fdcaa27b729,a01e6acb5869cd9c139b0ee63730ea4397407134a1baeacc6ea9817ba35e4154,ctls,alp-b.dmz-gslb.ups.com,443,https://alp-b.dmz-gslb.ups.com:443,https,text/html,GET,153.2.181.228,/,1631801191,153.2.181.228,HSTS,30,False,,True,,,,,,
alp-rr-b.ups.com,403 - Forbidden: Access is denied.,403,1233,alp-rr-b.ups.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=alp-rr-b.ups.com, O=United Parcel Service\, Inc., ST=New Jersey, C=US",alp-rr-b.ups.com,"United Parcel Service, Inc.",alp.ups.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,dc9e55b5dc1e424f77025fdcaa27b729,a01e6acb5869cd9c139b0ee63730ea4397407134a1baeacc6ea9817ba35e4154,ctls,alp-rr-b.ups.com,443,https://alp-rr-b.ups.com:443,https,text/html,GET,153.2.181.228,/,1631801191,153.2.181.228,HSTS,30,False,,,,,,,,
